box_1_Parle-G-GOLD(Clone) stack 42 Shelf_0 Rack_1_0_0
-7.544582, 0.1916559, 8.256677, 464.9341, 253.8191
-7.522768, 0.1916559, 8.46423, 460.6402, 250.6672
-7.323863, 0.1916559, 8.443324, 476.5251, 250.9771
-7.522768, 0.1916559, 8.46423, 460.6402, 250.6672
-7.522768, 0.0191559, 8.46423, 460.6402, 263.8953
-7.323863, 0.0191559, 8.443324, 476.5251, 264.2406
-7.323863, 0.1916559, 8.443324, 476.5251, 250.9771
-7.323863, 0.1916559, 8.443324, 476.5251, 250.9771
-7.323863, 0.0191559, 8.443324, 476.5251, 264.2406
-7.544582, 0.0191559, 8.256677, 464.9341, 267.4077
-7.323863, 0.0191559, 8.443324, 476.5251, 264.2406
-7.522768, 0.0191559, 8.46423, 460.6402, 263.8953
-7.544582, 0.1916559, 8.256677, 464.9341, 253.8191
-7.544582, 0.0191559, 8.256677, 464.9341, 267.4077
-7.522768, 0.0191559, 8.46423, 460.6402, 263.8953
-7.522768, 0.1916559, 8.46423, 460.6402, 250.6672
-7.544582, 0.0191559, 8.256677, 464.9341, 267.4077
-7.544582, 0.1916559, 8.256677, 464.9341, 253.8191
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.726587, 0.1961813, 8.21682, 451.7046, 254.0858
-7.925492, 0.1961813, 8.237725, 435.4144, 253.7581
-7.899693, 0.1961813, 8.483181, 431.2724, 250.0415
-7.700789, 0.1961813, 8.462276, 447.0403, 250.349
-7.899693, 0.1961813, 8.483181, 431.2724, 250.0415
-7.899693, 0.0199313, 8.483181, 431.2724, 263.5245
-7.700789, 0.0199313, 8.462276, 447.0403, 263.868
-7.700789, 0.1961813, 8.462276, 447.0403, 250.349
-7.700789, 0.1961813, 8.462276, 447.0403, 250.349
-7.700789, 0.0199313, 8.462276, 447.0403, 263.868
-7.726587, 0.0199313, 8.21682, 451.7046, 268.0428
-7.726587, 0.1961813, 8.21682, 451.7046, 254.0858
-7.925492, 0.0199313, 8.237725, 435.4144, 267.6767
-7.726587, 0.0199313, 8.21682, 451.7046, 268.0428
-7.700789, 0.0199313, 8.462276, 447.0403, 263.868
-7.899693, 0.0199313, 8.483181, 431.2724, 263.5245
-7.925492, 0.1961813, 8.237725, 435.4144, 253.7581
-7.925492, 0.0199313, 8.237725, 435.4144, 267.6767
-7.899693, 0.0199313, 8.483181, 431.2724, 263.5245
-7.899693, 0.1961813, 8.483181, 431.2724, 250.0415
-7.726587, 0.1961813, 8.21682, 451.7046, 254.0858
-7.726587, 0.0199313, 8.21682, 451.7046, 268.0428
-7.925492, 0.0199313, 8.237725, 435.4144, 267.6767
-7.925492, 0.1961813, 8.237725, 435.4144, 253.7581
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.698847, 0.3724313, 8.239703, 453.2573, 239.8122
-7.897356, 0.3724313, 8.215329, 438.2206, 240.1494
-7.927434, 0.3724313, 8.460298, 429.7037, 236.8556
-7.728925, 0.3724313, 8.484672, 444.2973, 236.5391
-7.927434, 0.3724313, 8.460298, 429.7037, 236.8556
-7.927434, 0.1961813, 8.460298, 429.7037, 250.3781
-7.728925, 0.1961813, 8.484672, 444.2973, 250.0196
-7.728925, 0.3724313, 8.484672, 444.2973, 236.5391
-7.728925, 0.3724313, 8.484672, 444.2973, 236.5391
-7.728925, 0.1961813, 8.484672, 444.2973, 250.0196
-7.698847, 0.1961813, 8.239703, 453.2573, 253.7272
-7.698847, 0.3724313, 8.239703, 453.2573, 239.8122
-7.897356, 0.1961813, 8.215329, 438.2206, 254.1092
-7.698847, 0.1961813, 8.239703, 453.2573, 253.7272
-7.728925, 0.1961813, 8.484672, 444.2973, 250.0196
-7.927434, 0.1961813, 8.460298, 429.7037, 250.3781
-7.897356, 0.3724313, 8.215329, 438.2206, 240.1494
-7.897356, 0.1961813, 8.215329, 438.2206, 254.1092
-7.927434, 0.1961813, 8.460298, 429.7037, 250.3781
-7.927434, 0.3724313, 8.460298, 429.7037, 236.8556
-7.698847, 0.3724313, 8.239703, 453.2573, 239.8122
-7.698847, 0.1961813, 8.239703, 453.2573, 253.7272
-7.897356, 0.1961813, 8.215329, 438.2206, 254.1092
-7.897356, 0.3724313, 8.215329, 438.2206, 240.1494
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.726587, 0.5486813, 8.21682, 451.7046, 226.1717
-7.925492, 0.5486813, 8.237725, 435.4144, 225.9208
-7.899693, 0.5486813, 8.483181, 431.2724, 223.0754
-7.700789, 0.5486813, 8.462276, 447.0403, 223.3108
-7.899693, 0.5486813, 8.483181, 431.2724, 223.0754
-7.899693, 0.3724313, 8.483181, 431.2724, 236.5584
-7.700789, 0.3724313, 8.462276, 447.0403, 236.8299
-7.700789, 0.5486813, 8.462276, 447.0403, 223.3108
-7.700789, 0.5486813, 8.462276, 447.0403, 223.3108
-7.700789, 0.3724313, 8.462276, 447.0403, 236.8299
-7.726587, 0.3724313, 8.21682, 451.7046, 240.1287
-7.726587, 0.5486813, 8.21682, 451.7046, 226.1717
-7.925492, 0.3724313, 8.237725, 435.4144, 239.8394
-7.726587, 0.3724313, 8.21682, 451.7046, 240.1287
-7.700789, 0.3724313, 8.462276, 447.0403, 236.8299
-7.899693, 0.3724313, 8.483181, 431.2724, 236.5584
-7.925492, 0.5486813, 8.237725, 435.4144, 225.9208
-7.925492, 0.3724313, 8.237725, 435.4144, 239.8394
-7.899693, 0.3724313, 8.483181, 431.2724, 236.5584
-7.899693, 0.5486813, 8.483181, 431.2724, 223.0754
-7.726587, 0.5486813, 8.21682, 451.7046, 226.1717
-7.726587, 0.3724313, 8.21682, 451.7046, 240.1287
-7.925492, 0.3724313, 8.237725, 435.4144, 239.8394
-7.925492, 0.5486813, 8.237725, 435.4144, 225.9208
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.708895, 0.7249313, 8.230162, 452.7311, 212.0789
-7.908773, 0.7249313, 8.223182, 437.112, 212.1498
-7.917386, 0.7249314, 8.469839, 430.2425, 209.7195
-7.717508, 0.7249314, 8.476819, 445.3761, 209.6529
-7.917386, 0.7249314, 8.469839, 430.2425, 209.7195
-7.917386, 0.5486813, 8.469839, 430.2425, 223.2255
-7.717508, 0.5486813, 8.476819, 445.3761, 223.1469
-7.717508, 0.7249314, 8.476819, 445.3761, 209.6529
-7.717508, 0.7249314, 8.476819, 445.3761, 209.6529
