box_5_LMRR(Clone) stack 41 Shelf_0 Rack_1_0_0
-7.140437, 0.162368, 8.493829, 473.738, 252.4687
-7.140437, 0.162368, 8.493829, 473.738, 252.4687
-7.140437, 0.01986802, 8.493829, 473.738, 263.3551
-7.140437, 0.01986802, 8.493829, 473.738, 263.3551
-7.140437, 0.01986802, 8.493829, 473.738, 263.3551
-7.140437, 0.162368, 8.493829, 473.738, 252.4687
box_1_Parle-G-GOLD(Clone) stack 42 Shelf_0 Rack_1_0_0
-7.345678, 0.1916559, 8.235771, 465.4667, 254.1461
-7.544582, 0.1916559, 8.256677, 449.1792, 253.8191
-7.522768, 0.1916559, 8.46423, 445.3032, 250.6672
-7.323863, 0.1916559, 8.443324, 461.147, 250.9771
-7.522768, 0.1916559, 8.46423, 445.3032, 250.6672
-7.522768, 0.0191559, 8.46423, 445.3032, 263.8953
-7.323863, 0.0191559, 8.443324, 461.147, 264.2406
-7.323863, 0.1916559, 8.443324, 461.147, 250.9771
-7.323863, 0.1916559, 8.443324, 461.147, 250.9771
-7.323863, 0.0191559, 8.443324, 461.147, 264.2406
-7.345678, 0.0191559, 8.235771, 465.4667, 267.7721
-7.345678, 0.1916559, 8.235771, 465.4667, 254.1461
-7.544582, 0.0191559, 8.256677, 449.1792, 267.4077
-7.345678, 0.0191559, 8.235771, 465.4667, 267.7721
-7.323863, 0.0191559, 8.443324, 461.147, 264.2406
-7.522768, 0.0191559, 8.46423, 445.3032, 263.8953
-7.544582, 0.1916559, 8.256677, 449.1792, 253.8191
-7.544582, 0.0191559, 8.256677, 449.1792, 267.4077
-7.522768, 0.0191559, 8.46423, 445.3032, 263.8953
-7.522768, 0.1916559, 8.46423, 445.3032, 250.6672
-7.345678, 0.1916559, 8.235771, 465.4667, 254.1461
-7.345678, 0.0191559, 8.235771, 465.4667, 267.7721
-7.544582, 0.0191559, 8.256677, 449.1792, 267.4077
-7.544582, 0.1916559, 8.256677, 449.1792, 253.8191
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.726587, 0.1961813, 8.21682, 435.8668, 254.0858
-7.925492, 0.1961813, 8.237725, 419.6202, 253.7581
-7.899693, 0.1961813, 8.483181, 415.9725, 250.0415
-7.700789, 0.1961813, 8.462276, 431.6996, 250.349
-7.899693, 0.1961813, 8.483181, 415.9725, 250.0415
-7.899693, 0.0199313, 8.483181, 415.9725, 263.5245
-7.700789, 0.0199313, 8.462276, 431.6996, 263.868
-7.700789, 0.1961813, 8.462276, 431.6996, 250.349
-7.700789, 0.1961813, 8.462276, 431.6996, 250.349
-7.700789, 0.0199313, 8.462276, 431.6996, 263.868
-7.726587, 0.0199313, 8.21682, 435.8668, 268.0428
-7.726587, 0.1961813, 8.21682, 435.8668, 254.0858
-7.925492, 0.0199313, 8.237725, 419.6202, 267.6767
-7.726587, 0.0199313, 8.21682, 435.8668, 268.0428
-7.700789, 0.0199313, 8.462276, 431.6996, 263.868
-7.899693, 0.0199313, 8.483181, 415.9725, 263.5245
-7.925492, 0.1961813, 8.237725, 419.6202, 253.7581
-7.925492, 0.0199313, 8.237725, 419.6202, 267.6767
-7.899693, 0.0199313, 8.483181, 415.9725, 263.5245
-7.899693, 0.1961813, 8.483181, 415.9725, 250.0415
-7.726587, 0.1961813, 8.21682, 435.8668, 254.0858
-7.726587, 0.0199313, 8.21682, 435.8668, 268.0428
-7.925492, 0.0199313, 8.237725, 419.6202, 267.6767
-7.925492, 0.1961813, 8.237725, 419.6202, 253.7581
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.698847, 0.3724313, 8.239703, 437.4672, 239.8122
-7.897356, 0.3724313, 8.215329, 422.3797, 240.1494
-7.927434, 0.3724313, 8.460298, 414.359, 236.8556
-7.728925, 0.3724313, 8.484672, 429.0003, 236.5391
-7.927434, 0.3724313, 8.460298, 414.359, 236.8556
-7.927434, 0.1961813, 8.460298, 414.359, 250.3781
-7.728925, 0.1961813, 8.484672, 429.0003, 250.0196
-7.728925, 0.3724313, 8.484672, 429.0003, 236.5391
-7.728925, 0.3724313, 8.484672, 429.0003, 236.5391
-7.728925, 0.1961813, 8.484672, 429.0003, 250.0196
-7.698847, 0.1961813, 8.239703, 437.4672, 253.7272
-7.698847, 0.3724313, 8.239703, 437.4672, 239.8122
-7.897356, 0.1961813, 8.215329, 422.3797, 254.1092
-7.698847, 0.1961813, 8.239703, 437.4672, 253.7272
-7.728925, 0.1961813, 8.484672, 429.0003, 250.0196
-7.927434, 0.1961813, 8.460298, 414.359, 250.3781
-7.897356, 0.3724313, 8.215329, 422.3797, 240.1494
-7.897356, 0.1961813, 8.215329, 422.3797, 254.1092
-7.927434, 0.1961813, 8.460298, 414.359, 250.3781
-7.927434, 0.3724313, 8.460298, 414.359, 236.8556
-7.698847, 0.3724313, 8.239703, 437.4672, 239.8122
-7.698847, 0.1961813, 8.239703, 437.4672, 253.7272
-7.897356, 0.1961813, 8.215329, 422.3797, 254.1092
-7.897356, 0.3724313, 8.215329, 422.3797, 240.1494
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.726587, 0.5486813, 8.21682, 435.8668, 226.1717
-7.925492, 0.5486813, 8.237725, 419.6202, 225.9208
-7.899693, 0.5486813, 8.483181, 415.9725, 223.0754
-7.700789, 0.5486813, 8.462276, 431.6996, 223.3108
-7.899693, 0.5486813, 8.483181, 415.9725, 223.0754
-7.899693, 0.3724313, 8.483181, 415.9725, 236.5584
-7.700789, 0.3724313, 8.462276, 431.6996, 236.8299
-7.700789, 0.5486813, 8.462276, 431.6996, 223.3108
-7.700789, 0.5486813, 8.462276, 431.6996, 223.3108
-7.700789, 0.3724313, 8.462276, 431.6996, 236.8299
-7.726587, 0.3724313, 8.21682, 435.8668, 240.1287
-7.726587, 0.5486813, 8.21682, 435.8668, 226.1717
-7.925492, 0.3724313, 8.237725, 419.6202, 239.8394
-7.726587, 0.3724313, 8.21682, 435.8668, 240.1287
-7.700789, 0.3724313, 8.462276, 431.6996, 236.8299
-7.899693, 0.3724313, 8.483181, 415.9725, 236.5584
-7.925492, 0.5486813, 8.237725, 419.6202, 225.9208
-7.925492, 0.3724313, 8.237725, 419.6202, 239.8394
-7.899693, 0.3724313, 8.483181, 415.9725, 236.5584
-7.899693, 0.5486813, 8.483181, 415.9725, 223.0754
-7.726587, 0.5486813, 8.21682, 435.8668, 226.1717
-7.726587, 0.3724313, 8.21682, 435.8668, 240.1287
-7.925492, 0.3724313, 8.237725, 419.6202, 239.8394
-7.925492, 0.5486813, 8.237725, 419.6202, 225.9208
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.708895, 0.7249313, 8.230162, 436.9211, 212.0789
-7.908773, 0.7249313, 8.223182, 421.2875, 212.1498
-7.917386, 0.7249314, 8.469839, 414.9165, 209.7195
-7.717508, 0.7249314, 8.476819, 430.0638, 209.6529
-7.917386, 0.7249314, 8.469839, 414.9165, 209.7195
-7.917386, 0.5486813, 8.469839, 414.9165, 223.2255
-7.717508, 0.5486813, 8.476819, 430.0638, 223.1469
-7.717508, 0.7249314, 8.476819, 430.0638, 209.6529
-7.717508, 0.7249314, 8.476819, 430.0638, 209.6529
-7.717508, 0.5486813, 8.476819, 430.0638, 223.1469
-7.708895, 0.5486813, 8.230162, 436.9211, 226.0114
-7.708895, 0.7249313, 8.230162, 436.9211, 212.0789
-7.908773, 0.5486813, 8.223182, 421.2875, 226.0952
-7.708895, 0.5486813, 8.230162, 436.9211, 226.0114
-7.717508, 0.5486813, 8.476819, 430.0638, 223.1469
-7.917386, 0.5486813, 8.469839, 414.9165, 223.2255
-7.908773, 0.7249313, 8.223182, 421.2875, 212.1498
-7.908773, 0.5486813, 8.223182, 421.2875, 226.0952
-7.917386, 0.5486813, 8.469839, 414.9165, 223.2255
-7.917386, 0.7249314, 8.469839, 414.9165, 209.7195
-7.708895, 0.7249313, 8.230162, 436.9211, 212.0789
-7.708895, 0.5486813, 8.230162, 436.9211, 226.0114
-7.908773, 0.5486813, 8.223182, 421.2875, 226.0952
-7.908773, 0.7249313, 8.223182, 421.2875, 212.1498
box4_Fairever(Clone) stack 44 Shelf_1 Rack_1_0_0
-8.096589, 1.369311, 8.225131, 406.3843, 161.1582
-8.296103, 1.369311, 8.239082, 390.3258, 161.1102
-8.279614, 1.369311, 8.47487, 387.0645, 160.3244
-8.080101, 1.369311, 8.460918, 402.633, 160.3696
-8.279614, 1.369311, 8.47487, 387.0645, 160.3244
-8.279614, 1.204311, 8.47487, 387.0645, 172.9602
-8.080101, 1.204311, 8.460918, 402.633, 173.0279
-8.080101, 1.369311, 8.460918, 402.633, 160.3696
-8.080101, 1.369311, 8.460918, 402.633, 160.3696
-8.080101, 1.204311, 8.460918, 402.633, 173.0279
-8.096589, 1.204311, 8.225131, 406.3843, 174.21
-8.096589, 1.369311, 8.225131, 406.3843, 161.1582
-8.296103, 1.204311, 8.239082, 390.3258, 174.1381
-8.096589, 1.204311, 8.225131, 406.3843, 174.21
-8.080101, 1.204311, 8.460918, 402.633, 173.0279
-8.279614, 1.204311, 8.47487, 387.0645, 172.9602
-8.296103, 1.369311, 8.239082, 390.3258, 161.1102
-8.296103, 1.204311, 8.239082, 390.3258, 174.1381
-8.279614, 1.204311, 8.47487, 387.0645, 172.9602
-8.279614, 1.369311, 8.47487, 387.0645, 160.3244
-8.096589, 1.369311, 8.225131, 406.3843, 161.1582
-8.096589, 1.204311, 8.225131, 406.3843, 174.21
-8.296103, 1.204311, 8.239082, 390.3258, 174.1381
-8.296103, 1.369311, 8.239082, 390.3258, 161.1102
box4_Fairever(Clone) stack 44 Shelf_1 Rack_1_0_0
-8.084038, 1.534311, 8.23538, 407.1512, 148.0886
-8.283916, 1.534311, 8.2284, 391.501, 148.1007
-8.292166, 1.534311, 8.464621, 386.2946, 147.7052
-8.092287, 1.534311, 8.471601, 401.4776, 147.6938
-8.292166, 1.534311, 8.464621, 386.2946, 147.7052
-8.292166, 1.369311, 8.464621, 386.2946, 160.3575
-8.092287, 1.369311, 8.471601, 401.4776, 160.335
-8.092287, 1.534311, 8.471601, 401.4776, 147.6938
-8.092287, 1.534311, 8.471601, 401.4776, 147.6938
-8.092287, 1.369311, 8.471601, 401.4776, 160.335
-8.084038, 1.369311, 8.23538, 407.1512, 161.1229
-8.084038, 1.534311, 8.23538, 407.1512, 148.0886
-8.283916, 1.369311, 8.2284, 391.501, 161.1469
-8.084038, 1.369311, 8.23538, 407.1512, 161.1229
-8.092287, 1.369311, 8.471601, 401.4776, 160.335
-8.292166, 1.369311, 8.464621, 386.2946, 160.3575
-8.283916, 1.534311, 8.2284, 391.501, 148.1007
-8.283916, 1.369311, 8.2284, 391.501, 161.1469
-8.292166, 1.369311, 8.464621, 386.2946, 160.3575
-8.292166, 1.534311, 8.464621, 386.2946, 147.7052
-8.084038, 1.534311, 8.23538, 407.1512, 148.0886
-8.084038, 1.369311, 8.23538, 407.1512, 161.1229
-8.283916, 1.369311, 8.2284, 391.501, 161.1469
-8.283916, 1.534311, 8.2284, 391.501, 148.1007
box4_Fairever(Clone) stack 44 Shelf_1 Rack_1_0_0
-8.101003, 1.699311, 8.222013, 406.1035, 135.0545
-8.299908, 1.699311, 8.242919, 389.9497, 135.0544
-8.275201, 1.699311, 8.477987, 387.3439, 135.0527
-8.076296, 1.699311, 8.457082, 403.0049, 135.0529
-8.275201, 1.699311, 8.477987, 387.3439, 135.0527
-8.275201, 1.534311, 8.477987, 387.3439, 147.6835
-8.076296, 1.534311, 8.457082, 403.0049, 147.7174
-8.076296, 1.699311, 8.457082, 403.0049, 135.0529
-8.076296, 1.699311, 8.457082, 403.0049, 135.0529
-8.076296, 1.534311, 8.457082, 403.0049, 147.7174
-8.101003, 1.534311, 8.222013, 406.1035, 148.1117
-8.101003, 1.699311, 8.222013, 406.1035, 135.0545
-8.299908, 1.534311, 8.242919, 389.9497, 148.0757
-8.101003, 1.534311, 8.222013, 406.1035, 148.1117
-8.076296, 1.534311, 8.457082, 403.0049, 147.7174
-8.275201, 1.534311, 8.477987, 387.3439, 147.6835
-8.299908, 1.699311, 8.242919, 389.9497, 135.0544
-8.299908, 1.534311, 8.242919, 389.9497, 148.0757
-8.275201, 1.534311, 8.477987, 387.3439, 147.6835
-8.275201, 1.699311, 8.477987, 387.3439, 135.0527
-8.101003, 1.699311, 8.222013, 406.1035, 135.0545
-8.101003, 1.534311, 8.222013, 406.1035, 148.1117
-8.299908, 1.534311, 8.242919, 389.9497, 148.0757
-8.299908, 1.699311, 8.242919, 389.9497, 135.0544
box_8_lizol(Clone) stack 45 Shelf_1 Rack_1_0_0
-7.701157, 1.380775, 8.237725, 437.3361, 160.2095
-7.900062, 1.380775, 8.21682, 422.1296, 160.2791
-7.92586, 1.380775, 8.462276, 414.4357, 159.4859
-7.726955, 1.380775, 8.483181, 429.1869, 159.4206
-7.92586, 1.380775, 8.462276, 414.4357, 159.4859
-7.92586, 1.204525, 8.462276, 414.4357, 173.0049
-7.726955, 1.204525, 8.483181, 429.1869, 172.9037
-7.726955, 1.380775, 8.483181, 429.1869, 159.4206
-7.726955, 1.380775, 8.483181, 429.1869, 159.4206
-7.726955, 1.204525, 8.483181, 429.1869, 172.9037
-7.701157, 1.204525, 8.237725, 437.3361, 174.1282
-7.701157, 1.380775, 8.237725, 437.3361, 160.2095
-7.900062, 1.204525, 8.21682, 422.1296, 174.2361
-7.701157, 1.204525, 8.237725, 437.3361, 174.1282
-7.726955, 1.204525, 8.483181, 429.1869, 172.9037
-7.92586, 1.204525, 8.462276, 414.4357, 173.0049
-7.900062, 1.380775, 8.21682, 422.1296, 160.2791
-7.900062, 1.204525, 8.21682, 422.1296, 174.2361
-7.92586, 1.204525, 8.462276, 414.4357, 173.0049
-7.92586, 1.380775, 8.462276, 414.4357, 159.4859
-7.701157, 1.380775, 8.237725, 437.3361, 160.2095
-7.701157, 1.204525, 8.237725, 437.3361, 174.1282
-7.900062, 1.204525, 8.21682, 422.1296, 174.2361
-7.900062, 1.380775, 8.21682, 422.1296, 160.2791
box_8_lizol(Clone) stack 45 Shelf_1 Rack_1_0_0
-7.724645, 1.557025, 8.21835, 435.9811, 146.3198
-7.923883, 1.557025, 8.235782, 419.7932, 146.2938
-7.902372, 1.557025, 8.48165, 415.8018, 145.9397
-7.703134, 1.557025, 8.464219, 431.4721, 145.9641
-7.902372, 1.557025, 8.48165, 415.8018, 145.9397
-7.902372, 1.380775, 8.48165, 415.8018, 159.4254
-7.703134, 1.380775, 8.464219, 431.4721, 159.4798
-7.703134, 1.557025, 8.464219, 431.4721, 145.9641
-7.703134, 1.557025, 8.464219, 431.4721, 145.9641
-7.703134, 1.380775, 8.464219, 431.4721, 159.4798
-7.724645, 1.380775, 8.21835, 435.9811, 160.274
-7.724645, 1.557025, 8.21835, 435.9811, 146.3198
-7.923883, 1.380775, 8.235782, 419.7932, 160.216
-7.724645, 1.380775, 8.21835, 435.9811, 160.274
-7.703134, 1.380775, 8.464219, 431.4721, 159.4798
-7.902372, 1.380775, 8.48165, 415.8018, 159.4254
-7.923883, 1.557025, 8.235782, 419.7932, 146.2938
-7.923883, 1.380775, 8.235782, 419.7932, 160.216
-7.902372, 1.380775, 8.48165, 415.8018, 159.4254
-7.902372, 1.557025, 8.48165, 415.8018, 145.9397
-7.724645, 1.557025, 8.21835, 435.9811, 146.3198
-7.724645, 1.380775, 8.21835, 435.9811, 160.274
-7.923883, 1.380775, 8.235782, 419.7932, 160.216
-7.923883, 1.557025, 8.235782, 419.7932, 146.2938
box_8_lizol(Clone) stack 45 Shelf_1 Rack_1_0_0
-7.703134, 1.733275, 8.235782, 437.2305, 132.3716
-7.902372, 1.733275, 8.21835, 421.9098, 132.3656
-7.923883, 1.733275, 8.464219, 414.5439, 132.4483
-7.724645, 1.733275, 8.48165, 429.4006, 132.454
-7.923883, 1.733275, 8.464219, 414.5439, 132.4483
-7.923883, 1.557025, 8.464219, 414.5439, 145.9641
-7.724645, 1.557025, 8.48165, 429.4006, 145.9397
-7.724645, 1.733275, 8.48165, 429.4006, 132.454
-7.724645, 1.733275, 8.48165, 429.4006, 132.454
-7.724645, 1.557025, 8.48165, 429.4006, 145.9397
-7.703134, 1.557025, 8.235782, 437.2305, 146.2938
-7.703134, 1.733275, 8.235782, 437.2305, 132.3716
-7.902372, 1.557025, 8.21835, 421.9098, 146.3198
-7.703134, 1.557025, 8.235782, 437.2305, 146.2938
-7.724645, 1.557025, 8.48165, 429.4006, 145.9397
-7.923883, 1.557025, 8.464219, 414.5439, 145.9641
-7.902372, 1.733275, 8.21835, 421.9098, 132.3656
-7.902372, 1.557025, 8.21835, 421.9098, 146.3198
-7.923883, 1.557025, 8.464219, 414.5439, 145.9641
-7.923883, 1.733275, 8.464219, 414.5439, 132.4483
-7.703134, 1.733275, 8.235782, 437.2305, 132.3716
-7.703134, 1.557025, 8.235782, 437.2305, 146.2938
