box_3_Hareli(Clone) stack 80 Shelf_0 Rack_0_1_0
1.512241, 0.1692639, 0.2365774, 473.9665, 255.902
1.504563, 0.1692639, 0.4564434, 466.796, 252.5012
1.504563, 0.1692639, 0.4564434, 466.796, 252.5012
1.504563, 0.01926389, 0.4564435, 466.796, 264.0154
1.512241, 0.01926386, 0.2365774, 473.9665, 267.7495
1.504563, 0.01926389, 0.4564435, 466.796, 264.0154
1.512241, 0.1692639, 0.2365774, 473.9665, 255.902
1.512241, 0.01926386, 0.2365774, 473.9665, 267.7495
1.504563, 0.01926389, 0.4564435, 466.796, 264.0154
1.504563, 0.1692639, 0.4564434, 466.796, 252.5012
1.512241, 0.01926386, 0.2365774, 473.9665, 267.7495
1.512241, 0.1692639, 0.2365774, 473.9665, 255.902
box_6_melody(Clone) stack 84 Shelf_1 Rack_0_1_0
1.522443, 1.391943, 0.2187079, 475.3258, 159.3886
1.493194, 1.391943, 0.456919, 465.9095, 158.6454
1.493194, 1.391943, 0.456919, 465.9095, 158.6454
1.493194, 1.204443, 0.456919, 465.9095, 173.0373
1.522443, 1.204443, 0.2187079, 475.3258, 174.2328
1.493194, 1.204443, 0.456919, 465.9095, 173.0373
1.522443, 1.391943, 0.2187079, 475.3258, 159.3886
1.522443, 1.204443, 0.2187079, 475.3258, 174.2328
1.493194, 1.204443, 0.456919, 465.9095, 173.0373
1.493194, 1.391943, 0.456919, 465.9095, 158.6454
1.522443, 1.204443, 0.2187079, 475.3258, 174.2328
1.522443, 1.391943, 0.2187079, 475.3258, 159.3886
box_6_melody(Clone) stack 84 Shelf_1 Rack_0_1_0
1.502946, 1.579443, 0.2335633, 473.3249, 144.5257
1.511322, 1.579443, 0.4734173, 466.8222, 144.2341
1.511322, 1.579443, 0.4734173, 466.8222, 144.2341
1.511322, 1.391943, 0.4734173, 466.8222, 158.5956
1.502946, 1.391943, 0.2335634, 473.3249, 159.3409
1.511322, 1.391943, 0.4734173, 466.8222, 158.5956
1.502946, 1.579443, 0.2335633, 473.3249, 144.5257
1.502946, 1.391943, 0.2335634, 473.3249, 159.3409
1.511322, 1.391943, 0.4734173, 466.8222, 158.5956
1.511322, 1.579443, 0.4734173, 466.8222, 144.2341
1.502946, 1.391943, 0.2335634, 473.3249, 159.3409
1.502946, 1.579443, 0.2335633, 473.3249, 144.5257
box_6_melody(Clone) stack 84 Shelf_1 Rack_0_1_0
1.498946, 1.766943, 0.2372683, 472.8952, 129.7131
1.515687, 1.766943, 0.4766837, 467.062, 129.8746
1.515687, 1.766943, 0.4766837, 467.062, 129.8746
