box_8_lizol(Clone) stack 0 Shelf_0 Rack_0_0_0
2.884809, 0.1961813, 8.231998, 440.3275, 253.8477
2.685083, 0.1961813, 8.221532, 424.7978, 254.0117
2.672166, 0.1961813, 8.468002, 417.9892, 250.2646
2.871892, 0.1961813, 8.478469, 433.0397, 250.1107
2.672166, 0.1961813, 8.468002, 417.9892, 250.2646
2.672166, 0.0199313, 8.468002, 417.9892, 263.7738
2.871892, 0.0199313, 8.478469, 433.0397, 263.6018
2.871892, 0.1961813, 8.478469, 433.0397, 250.1107
2.871892, 0.1961813, 8.478469, 433.0397, 250.1107
2.871892, 0.0199313, 8.478469, 433.0397, 263.6018
2.884809, 0.0199313, 8.231998, 440.3275, 267.7768
2.884809, 0.1961813, 8.231998, 440.3275, 253.8477
2.685083, 0.0199313, 8.221532, 424.7978, 267.9601
2.884809, 0.0199313, 8.231998, 440.3275, 267.7768
2.871892, 0.0199313, 8.478469, 433.0397, 263.6018
2.672166, 0.0199313, 8.468002, 417.9892, 263.7738
2.685083, 0.1961813, 8.221532, 424.7978, 254.0117
2.685083, 0.0199313, 8.221532, 424.7978, 267.9601
2.672166, 0.0199313, 8.468002, 417.9892, 263.7738
2.672166, 0.1961813, 8.468002, 417.9892, 250.2646
2.884809, 0.1961813, 8.231998, 440.3275, 253.8477
2.884809, 0.0199313, 8.231998, 440.3275, 267.7768
2.685083, 0.0199313, 8.221532, 424.7978, 267.9601
2.685083, 0.1961813, 8.221532, 424.7978, 254.0117
box_5_LMRR(Clone) stack 1 Shelf_0 Rack_0_0_0
2.491613, 0.162368, 8.202856, 409.9051, 256.9882
2.291887, 0.162368, 8.213324, 393.8469, 256.8196
2.306762, 0.162368, 8.497145, 389.4254, 252.4191
2.506487, 0.162368, 8.486677, 404.8969, 252.5758
2.306762, 0.162368, 8.497145, 389.4254, 252.4191
2.306762, 0.019868, 8.497145, 389.4254, 263.301
2.506487, 0.019868, 8.486677, 404.8969, 263.4721
2.506487, 0.162368, 8.486677, 404.8969, 252.5758
2.506487, 0.162368, 8.486677, 404.8969, 252.5758
2.506487, 0.019868, 8.486677, 404.8969, 263.4721
2.491613, 0.019868, 8.202856, 409.9051, 268.2935
2.491613, 0.162368, 8.202856, 409.9051, 256.9882
2.291887, 0.019868, 8.213324, 393.8469, 268.1092
2.491613, 0.019868, 8.202856, 409.9051, 268.2935
2.506487, 0.019868, 8.486677, 404.8969, 263.4721
2.306762, 0.019868, 8.497145, 389.4254, 263.301
2.291887, 0.162368, 8.213324, 393.8469, 256.8196
2.291887, 0.019868, 8.213324, 393.8469, 268.1092
2.306762, 0.019868, 8.497145, 389.4254, 263.301
2.306762, 0.162368, 8.497145, 389.4254, 252.4191
2.491613, 0.162368, 8.202856, 409.9051, 256.9882
2.491613, 0.019868, 8.202856, 409.9051, 268.2935
2.291887, 0.019868, 8.213324, 393.8469, 268.1092
2.291887, 0.162368, 8.213324, 393.8469, 256.8196
box_5_LMRR(Clone) stack 1 Shelf_0 Rack_0_0_0
2.506487, 0.304868, 8.213324, 410.8487, 245.53
2.306762, 0.304868, 8.202856, 395.2399, 245.683
2.291887, 0.304868, 8.486677, 388.4874, 241.6795
2.491613, 0.304868, 8.497145, 403.5413, 241.5373
2.291887, 0.304868, 8.486677, 388.4874, 241.6795
2.291887, 0.162368, 8.486677, 388.4874, 252.5758
2.491613, 0.162368, 8.497145, 403.5413, 252.4192
2.491613, 0.304868, 8.497145, 403.5413, 241.5373
2.491613, 0.304868, 8.497145, 403.5413, 241.5373
2.491613, 0.162368, 8.497145, 403.5413, 252.4192
2.506487, 0.162368, 8.213324, 410.8487, 256.8196
2.506487, 0.304868, 8.213324, 410.8487, 245.53
2.306762, 0.162368, 8.202856, 395.2399, 256.9882
2.506487, 0.162368, 8.213324, 410.8487, 256.8196
2.491613, 0.162368, 8.497145, 403.5413, 252.4192
2.291887, 0.162368, 8.486677, 388.4874, 252.5758
2.306762, 0.304868, 8.202856, 395.2399, 245.683
2.306762, 0.162368, 8.202856, 395.2399, 256.9882
2.291887, 0.162368, 8.486677, 388.4874, 252.5758
2.291887, 0.304868, 8.486677, 388.4874, 241.6795
2.506487, 0.304868, 8.213324, 410.8487, 245.53
2.506487, 0.162368, 8.213324, 410.8487, 256.8196
2.306762, 0.162368, 8.202856, 395.2399, 256.9882
2.306762, 0.304868, 8.202856, 395.2399, 245.683
box_5_LMRR(Clone) stack 1 Shelf_0 Rack_0_0_0
2.501652, 0.447368, 8.209662, 410.5481, 234.2884
2.301683, 0.447368, 8.206172, 394.7691, 234.3342
2.296722, 0.447368, 8.490338, 388.7877, 230.7384
2.496692, 0.447368, 8.493829, 403.9984, 230.6959
2.296722, 0.447368, 8.490338, 388.7877, 230.7384
2.296722, 0.304868, 8.490338, 388.7877, 241.6297
2.496692, 0.304868, 8.493829, 403.9984, 241.5823
2.496692, 0.447368, 8.493829, 403.9984, 230.6959
2.496692, 0.447368, 8.493829, 403.9984, 230.6959
2.496692, 0.304868, 8.493829, 403.9984, 241.5823
2.501652, 0.3048679, 8.209662, 410.5481, 245.5834
2.501652, 0.447368, 8.209662, 410.5481, 234.2884
2.301683, 0.3048679, 8.206172, 394.7691, 245.6345
2.501652, 0.3048679, 8.209662, 410.5481, 245.5834
2.496692, 0.304868, 8.493829, 403.9984, 241.5823
2.296722, 0.304868, 8.490338, 388.7877, 241.6297
2.301683, 0.447368, 8.206172, 394.7691, 234.3342
2.301683, 0.3048679, 8.206172, 394.7691, 245.6345
2.296722, 0.304868, 8.490338, 388.7877, 241.6297
2.296722, 0.447368, 8.490338, 388.7877, 230.7384
2.501652, 0.447368, 8.209662, 410.5481, 234.2884
2.501652, 0.3048679, 8.209662, 410.5481, 245.5834
2.301683, 0.3048679, 8.206172, 394.7691, 245.6345
2.301683, 0.447368, 8.206172, 394.7691, 234.3342
box_5_LMRR(Clone) stack 1 Shelf_0 Rack_0_0_0
2.494167, 0.5898679, 8.204492, 410.071, 223.0534
2.294289, 0.5898679, 8.211472, 394.0748, 222.9722
2.304208, 0.589868, 8.495509, 389.2614, 219.7914
2.504086, 0.589868, 8.488529, 404.6743, 219.8668
2.304208, 0.589868, 8.495509, 389.2614, 219.7914
2.304208, 0.447368, 8.495509, 389.2614, 230.6754
2.504086, 0.447368, 8.488529, 404.6743, 230.7605
2.504086, 0.589868, 8.488529, 404.6743, 219.8668
2.504086, 0.589868, 8.488529, 404.6743, 219.8668
2.504086, 0.447368, 8.488529, 404.6743, 230.7605
2.494167, 0.4473679, 8.204492, 410.071, 234.3562
2.494167, 0.5898679, 8.204492, 410.071, 223.0534
2.294289, 0.4473679, 8.211472, 394.0748, 234.2646
2.494167, 0.4473679, 8.204492, 410.071, 234.3562
2.504086, 0.447368, 8.488529, 404.6743, 230.7605
2.304208, 0.447368, 8.495509, 389.2614, 230.6754
2.294289, 0.5898679, 8.211472, 394.0748, 222.9722
2.294289, 0.4473679, 8.211472, 394.0748, 234.2646
2.304208, 0.447368, 8.495509, 389.2614, 230.6754
2.304208, 0.589868, 8.495509, 389.2614, 219.7914
2.494167, 0.5898679, 8.204492, 410.071, 223.0534
2.494167, 0.4473679, 8.204492, 410.071, 234.3562
2.294289, 0.4473679, 8.211472, 394.0748, 234.2646
2.294289, 0.5898679, 8.211472, 394.0748, 222.9722
box_5_LMRR(Clone) stack 1 Shelf_0 Rack_0_0_0
2.483785, 0.7323679, 8.198221, 409.3879, 211.8143
2.284881, 0.7323679, 8.219127, 393.1745, 211.6024
2.314589, 0.7323679, 8.50178, 389.9347, 208.8483
2.513494, 0.7323679, 8.480874, 405.5551, 209.0452
