box_5_LMRR(Clone) stack 41 Shelf_0 Rack_1_0_0
-7.145397, 0.162368, 8.209662, 474.193, 256.8785
-7.140437, 0.162368, 8.493829, 466.0984, 252.4687
-7.140437, 0.162368, 8.493829, 466.0984, 252.4687
-7.140437, 0.01986802, 8.493829, 466.0984, 263.3551
-7.145397, 0.01986799, 8.209662, 474.193, 268.1736
-7.140437, 0.01986802, 8.493829, 466.0984, 263.3551
-7.145397, 0.162368, 8.209662, 474.193, 256.8785
-7.145397, 0.01986799, 8.209662, 474.193, 268.1736
-7.140437, 0.01986802, 8.493829, 466.0984, 263.3551
-7.140437, 0.162368, 8.493829, 466.0984, 252.4687
-7.145397, 0.01986799, 8.209662, 474.193, 268.1736
-7.145397, 0.162368, 8.209662, 474.193, 256.8785
box_1_Parle-G-GOLD(Clone) stack 42 Shelf_0 Rack_1_0_0
-7.345678, 0.1916559, 8.235771, 457.5675, 254.1461
-7.544582, 0.1916559, 8.256677, 441.3017, 253.8191
-7.522768, 0.1916559, 8.46423, 437.6346, 250.6672
-7.323863, 0.1916559, 8.443324, 453.4579, 250.9771
-7.522768, 0.1916559, 8.46423, 437.6346, 250.6672
-7.522768, 0.0191559, 8.46423, 437.6346, 263.8953
-7.323863, 0.0191559, 8.443324, 453.4579, 264.2406
-7.323863, 0.1916559, 8.443324, 453.4579, 250.9771
-7.323863, 0.1916559, 8.443324, 453.4579, 250.9771
-7.323863, 0.0191559, 8.443324, 453.4579, 264.2406
-7.345678, 0.0191559, 8.235771, 457.5675, 267.7721
-7.345678, 0.1916559, 8.235771, 457.5675, 254.1461
-7.544582, 0.0191559, 8.256677, 441.3017, 267.4077
-7.345678, 0.0191559, 8.235771, 457.5675, 267.7721
-7.323863, 0.0191559, 8.443324, 453.4579, 264.2406
-7.522768, 0.0191559, 8.46423, 437.6346, 263.8953
-7.544582, 0.1916559, 8.256677, 441.3017, 253.8191
-7.544582, 0.0191559, 8.256677, 441.3017, 267.4077
-7.522768, 0.0191559, 8.46423, 437.6346, 263.8953
-7.522768, 0.1916559, 8.46423, 437.6346, 250.6672
-7.345678, 0.1916559, 8.235771, 457.5675, 254.1461
-7.345678, 0.0191559, 8.235771, 457.5675, 267.7721
-7.544582, 0.0191559, 8.256677, 441.3017, 267.4077
-7.544582, 0.1916559, 8.256677, 441.3017, 253.8191
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.726587, 0.1961813, 8.21682, 427.9479, 254.0858
-7.925492, 0.1961813, 8.237725, 411.723, 253.7581
-7.899693, 0.1961813, 8.483181, 408.3224, 250.0415
-7.700789, 0.1961813, 8.462276, 424.0291, 250.349
-7.899693, 0.1961813, 8.483181, 408.3224, 250.0415
-7.899693, 0.0199313, 8.483181, 408.3224, 263.5245
-7.700789, 0.0199313, 8.462276, 424.0291, 263.868
-7.700789, 0.1961813, 8.462276, 424.0291, 250.349
-7.700789, 0.1961813, 8.462276, 424.0291, 250.349
-7.700789, 0.0199313, 8.462276, 424.0291, 263.868
-7.726587, 0.0199313, 8.21682, 427.9479, 268.0428
-7.726587, 0.1961813, 8.21682, 427.9479, 254.0858
-7.925492, 0.0199313, 8.237725, 411.723, 267.6767
-7.726587, 0.0199313, 8.21682, 427.9479, 268.0428
-7.700789, 0.0199313, 8.462276, 424.0291, 263.868
-7.899693, 0.0199313, 8.483181, 408.3224, 263.5245
-7.925492, 0.1961813, 8.237725, 411.723, 253.7581
-7.925492, 0.0199313, 8.237725, 411.723, 267.6767
