box_1_Parle-G-GOLD(Clone) stack 42 Shelf_0 Rack_1_0_0
-7.345678, 0.1916559, 8.235771, 473.3658, 254.1461
-7.544582, 0.1916559, 8.256677, 457.0567, 253.8191
-7.522768, 0.1916559, 8.46423, 452.9717, 250.6672
-7.323863, 0.1916559, 8.443324, 468.8361, 250.9771
-7.522768, 0.1916559, 8.46423, 452.9717, 250.6672
-7.522768, 0.0191559, 8.46423, 452.9717, 263.8953
-7.323863, 0.0191559, 8.443324, 468.8361, 264.2406
-7.323863, 0.1916559, 8.443324, 468.8361, 250.9771
-7.323863, 0.1916559, 8.443324, 468.8361, 250.9771
-7.323863, 0.0191559, 8.443324, 468.8361, 264.2406
-7.345678, 0.0191559, 8.235771, 473.3658, 267.7721
-7.345678, 0.1916559, 8.235771, 473.3658, 254.1461
-7.544582, 0.0191559, 8.256677, 457.0567, 267.4077
-7.345678, 0.0191559, 8.235771, 473.3658, 267.7721
-7.323863, 0.0191559, 8.443324, 468.8361, 264.2406
-7.522768, 0.0191559, 8.46423, 452.9717, 263.8953
-7.544582, 0.1916559, 8.256677, 457.0567, 253.8191
-7.544582, 0.0191559, 8.256677, 457.0567, 267.4077
-7.522768, 0.0191559, 8.46423, 452.9717, 263.8953
-7.522768, 0.1916559, 8.46423, 452.9717, 250.6672
-7.345678, 0.1916559, 8.235771, 473.3658, 254.1461
-7.345678, 0.0191559, 8.235771, 473.3658, 267.7721
-7.544582, 0.0191559, 8.256677, 457.0567, 267.4077
-7.544582, 0.1916559, 8.256677, 457.0567, 253.8191
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.726587, 0.1961813, 8.21682, 443.7857, 254.0858
-7.925492, 0.1961813, 8.237725, 427.5173, 253.7581
-7.899693, 0.1961813, 8.483181, 423.6224, 250.0415
-7.700789, 0.1961813, 8.462276, 439.37, 250.349
-7.899693, 0.1961813, 8.483181, 423.6224, 250.0415
-7.899693, 0.0199313, 8.483181, 423.6224, 263.5245
-7.700789, 0.0199313, 8.462276, 439.37, 263.868
-7.700789, 0.1961813, 8.462276, 439.37, 250.349
-7.700789, 0.1961813, 8.462276, 439.37, 250.349
-7.700789, 0.0199313, 8.462276, 439.37, 263.868
-7.726587, 0.0199313, 8.21682, 443.7857, 268.0428
-7.726587, 0.1961813, 8.21682, 443.7857, 254.0858
-7.925492, 0.0199313, 8.237725, 427.5173, 267.6767
-7.726587, 0.0199313, 8.21682, 443.7857, 268.0428
-7.700789, 0.0199313, 8.462276, 439.37, 263.868
