box_8_lizol(Clone) stack 115 Shelf_0 Rack_1_1_0
-6.611214, 0.1961813, 0.2248697, 349.8597, 253.9594
-6.811183, 0.1961813, 0.2283601, 333.9979, 253.9046
-6.806876, 0.1961813, 0.4751311, 331.3672, 250.1597
-6.606906, 0.1961813, 0.4716406, 346.7281, 250.211
-6.806876, 0.1961813, 0.4751311, 331.3672, 250.1597
-6.806876, 0.01993132, 0.4751311, 331.3672, 263.6566
-6.606906, 0.01993132, 0.4716406, 346.7281, 263.7139
-6.606906, 0.1961813, 0.4716406, 346.7281, 250.211
-6.606906, 0.1961813, 0.4716406, 346.7281, 250.211
-6.606906, 0.01993132, 0.4716406, 346.7281, 263.7139
-6.611214, 0.01993129, 0.2248697, 349.8597, 267.9016
-6.611214, 0.1961813, 0.2248697, 349.8597, 253.9594
-6.811183, 0.01993129, 0.2283601, 333.9979, 267.8405
-6.611214, 0.01993129, 0.2248697, 349.8597, 267.9016
-6.606906, 0.01993132, 0.4716406, 346.7281, 263.7139
-6.806876, 0.01993132, 0.4751311, 331.3672, 263.6566
-6.811183, 0.1961813, 0.2283601, 333.9979, 253.9046
-6.811183, 0.01993129, 0.2283601, 333.9979, 267.8405
-6.806876, 0.01993132, 0.4751311, 331.3672, 263.6566
-6.806876, 0.1961813, 0.4751311, 331.3672, 250.1597
-6.611214, 0.1961813, 0.2248697, 349.8597, 253.9594
-6.611214, 0.01993129, 0.2248697, 349.8597, 267.9016
-6.811183, 0.01993129, 0.2283601, 333.9979, 267.8405
-6.811183, 0.1961813, 0.2283601, 333.9979, 253.9046
box_3_Hareli(Clone) stack 116 Shelf_0 Rack_1_1_0
-6.990609, 0.1692639, 0.2472439, 319.6128, 255.7325
-7.190121, 0.1692639, 0.2332926, 303.9942, 255.9543
-7.205468, 0.1692639, 0.4527568, 301.018, 252.5567
-7.005955, 0.1692639, 0.4667081, 316.204, 252.3471
-7.205468, 0.1692639, 0.4527568, 301.018, 252.5567
-7.205468, 0.01926389, 0.4527568, 301.018, 264.0763
-7.005955, 0.01926389, 0.4667081, 316.204, 263.8462
-7.005955, 0.1692639, 0.4667081, 316.204, 252.3471
-7.005955, 0.1692639, 0.4667081, 316.204, 252.3471
-7.005955, 0.01926389, 0.4667081, 316.204, 263.8462
-6.990609, 0.01926386, 0.247244, 319.6128, 267.5634
-6.990609, 0.1692639, 0.2472439, 319.6128, 255.7325
-7.190121, 0.01926386, 0.2332927, 303.9942, 267.8069
-6.990609, 0.01926386, 0.247244, 319.6128, 267.5634
-7.005955, 0.01926389, 0.4667081, 316.204, 263.8462
-7.205468, 0.01926389, 0.4527568, 301.018, 264.0763
-7.190121, 0.1692639, 0.2332926, 303.9942, 255.9543
-7.190121, 0.01926386, 0.2332927, 303.9942, 267.8069
-7.205468, 0.01926389, 0.4527568, 301.018, 264.0763
-7.205468, 0.1692639, 0.4527568, 301.018, 252.5567
-6.990609, 0.1692639, 0.2472439, 319.6128, 255.7325
-6.990609, 0.01926386, 0.247244, 319.6128, 267.5634
-7.190121, 0.01926386, 0.2332927, 303.9942, 267.8069
-7.190121, 0.1692639, 0.2332926, 303.9942, 255.9543
box_1_Parle-G-GOLD(Clone) stack 117 Shelf_0 Rack_1_1_0
-7.368715, 0.1916559, 0.2474137, 289.7897, 253.9638
-7.568684, 0.1916559, 0.2439232, 274.0336, 254.0184
-7.572326, 0.1916559, 0.4525871, 272.8449, 250.8396
-7.372357, 0.1916559, 0.4560776, 288.1808, 250.7878
-7.572326, 0.1916559, 0.4525871, 272.8449, 250.8396
-7.572326, 0.01915592, 0.4525871, 272.8449, 264.0874
-7.372357, 0.01915592, 0.4560776, 288.1808, 264.0298
-7.372357, 0.1916559, 0.4560776, 288.1808, 250.7878
-7.372357, 0.1916559, 0.4560776, 288.1808, 250.7878
-7.372357, 0.01915592, 0.4560776, 288.1808, 264.0298
-7.368715, 0.01915589, 0.2474137, 289.7897, 267.5689
-7.368715, 0.1916559, 0.2474137, 289.7897, 253.9638
-7.568684, 0.01915589, 0.2439232, 274.0336, 267.6298
-7.368715, 0.01915589, 0.2474137, 289.7897, 267.5689
-7.372357, 0.01915592, 0.4560776, 288.1808, 264.0298
-7.572326, 0.01915592, 0.4525871, 272.8449, 264.0874
-7.568684, 0.1916559, 0.2439232, 274.0336, 254.0184
-7.568684, 0.01915589, 0.2439232, 274.0336, 267.6298
-7.572326, 0.01915592, 0.4525871, 272.8449, 264.0874
-7.572326, 0.1916559, 0.4525871, 272.8449, 250.8396
-7.368715, 0.1916559, 0.2474137, 289.7897, 253.9638
-7.368715, 0.01915589, 0.2474137, 289.7897, 267.5689
-7.568684, 0.01915589, 0.2439232, 274.0336, 267.6298
-7.568684, 0.1916559, 0.2439232, 274.0336, 254.0184
box_1_Parle-G-GOLD(Clone) stack 117 Shelf_0 Rack_1_1_0
-7.372357, 0.3641559, 0.2439232, 289.5251, 240.407
-7.572326, 0.3641559, 0.2474137, 273.7308, 240.3586
-7.568684, 0.3641559, 0.4560776, 273.1098, 237.5459
-7.368715, 0.3641559, 0.4525871, 288.4821, 237.5917
-7.568684, 0.3641559, 0.4560776, 273.1098, 237.5459
-7.568684, 0.1916559, 0.4560776, 273.1098, 250.7878
-7.368715, 0.1916559, 0.4525871, 288.4821, 250.8396
-7.368715, 0.3641559, 0.4525871, 288.4821, 237.5917
-7.368715, 0.3641559, 0.4525871, 288.4821, 237.5917
-7.368715, 0.1916559, 0.4525871, 288.4821, 250.8396
-7.372357, 0.1916559, 0.2439232, 289.5251, 254.0184
-7.372357, 0.3641559, 0.2439232, 289.5251, 240.407
-7.572326, 0.1916559, 0.2474137, 273.7308, 253.9638
-7.372357, 0.1916559, 0.2439232, 289.5251, 254.0184
-7.368715, 0.1916559, 0.4525871, 288.4821, 250.8396
-7.568684, 0.1916559, 0.4560776, 273.1098, 250.7878
-7.572326, 0.3641559, 0.2474137, 273.7308, 240.3586
-7.572326, 0.1916559, 0.2474137, 273.7308, 253.9638
