box_8_lizol(Clone) stack 115 Shelf_0 Rack_1_1_0
-6.611214, 0.1961813, 0.2248697, 409.1884, 253.9594
-6.811183, 0.1961813, 0.2283601, 393.2993, 253.9046
-6.806876, 0.1961813, 0.4751311, 388.8008, 250.1597
-6.606906, 0.1961813, 0.4716406, 404.1873, 250.211
-6.806876, 0.1961813, 0.4751311, 388.8008, 250.1597
-6.806876, 0.01993132, 0.4751311, 388.8008, 263.6566
-6.606906, 0.01993132, 0.4716406, 404.1873, 263.7139
-6.606906, 0.1961813, 0.4716406, 404.1873, 250.211
-6.606906, 0.1961813, 0.4716406, 404.1873, 250.211
-6.606906, 0.01993132, 0.4716406, 404.1873, 263.7139
-6.611214, 0.01993129, 0.2248697, 409.1884, 267.9016
-6.611214, 0.1961813, 0.2248697, 409.1884, 253.9594
-6.811183, 0.01993129, 0.2283601, 393.2993, 267.8405
-6.611214, 0.01993129, 0.2248697, 409.1884, 267.9016
-6.606906, 0.01993132, 0.4716406, 404.1873, 263.7139
-6.806876, 0.01993132, 0.4751311, 388.8008, 263.6566
-6.811183, 0.1961813, 0.2283601, 393.2993, 253.9046
-6.811183, 0.01993129, 0.2283601, 393.2993, 267.8405
-6.806876, 0.01993132, 0.4751311, 388.8008, 263.6566
-6.806876, 0.1961813, 0.4751311, 388.8008, 250.1597
-6.611214, 0.1961813, 0.2248697, 409.1884, 253.9594
-6.611214, 0.01993129, 0.2248697, 409.1884, 267.9016
-6.811183, 0.01993129, 0.2283601, 393.2993, 267.8405
-6.811183, 0.1961813, 0.2283601, 393.2993, 253.9046
box_3_Hareli(Clone) stack 116 Shelf_0 Rack_1_1_0
-6.990609, 0.1692639, 0.2472439, 378.767, 255.7325
-7.190121, 0.1692639, 0.2332926, 363.2571, 255.9543
-7.205468, 0.1692639, 0.4527568, 358.6161, 252.5567
-7.005955, 0.1692639, 0.4667081, 373.6995, 252.3471
-7.205468, 0.1692639, 0.4527568, 358.6161, 252.5567
-7.205468, 0.01926389, 0.4527568, 358.6161, 264.0763
-7.005955, 0.01926389, 0.4667081, 373.6995, 263.8462
-7.005955, 0.1692639, 0.4667081, 373.6995, 252.3471
-7.005955, 0.1692639, 0.4667081, 373.6995, 252.3471
-7.005955, 0.01926389, 0.4667081, 373.6995, 263.8462
-6.990609, 0.01926386, 0.247244, 378.767, 267.5634
-6.990609, 0.1692639, 0.2472439, 378.767, 255.7325
-7.190121, 0.01926386, 0.2332927, 363.2571, 267.8069
-6.990609, 0.01926386, 0.247244, 378.767, 267.5634
-7.005955, 0.01926389, 0.4667081, 373.6995, 263.8462
-7.205468, 0.01926389, 0.4527568, 358.6161, 264.0763
-7.190121, 0.1692639, 0.2332926, 363.2571, 255.9543
-7.190121, 0.01926386, 0.2332927, 363.2571, 267.8069
-7.205468, 0.01926389, 0.4527568, 358.6161, 264.0763
-7.205468, 0.1692639, 0.4527568, 358.6161, 252.5567
-6.990609, 0.1692639, 0.2472439, 378.767, 255.7325
-6.990609, 0.01926386, 0.247244, 378.767, 267.5634
-7.190121, 0.01926386, 0.2332927, 363.2571, 267.8069
-7.190121, 0.1692639, 0.2332926, 363.2571, 255.9543
box_1_Parle-G-GOLD(Clone) stack 117 Shelf_0 Rack_1_1_0
-7.368715, 0.1916559, 0.2474137, 348.9425, 253.9638
-7.568684, 0.1916559, 0.2439232, 333.2137, 254.0184
-7.572326, 0.1916559, 0.4525871, 330.4444, 250.8396
-7.372357, 0.1916559, 0.4560776, 345.7545, 250.7878
-7.572326, 0.1916559, 0.4525871, 330.4444, 250.8396
-7.572326, 0.01915592, 0.4525871, 330.4444, 264.0874
-7.372357, 0.01915592, 0.4560776, 345.7545, 264.0298
-7.372357, 0.1916559, 0.4560776, 345.7545, 250.7878
-7.372357, 0.1916559, 0.4560776, 345.7545, 250.7878
-7.372357, 0.01915592, 0.4560776, 345.7545, 264.0298
-7.368715, 0.01915589, 0.2474137, 348.9425, 267.5689
-7.368715, 0.1916559, 0.2474137, 348.9425, 253.9638
-7.568684, 0.01915589, 0.2439232, 333.2137, 267.6298
-7.368715, 0.01915589, 0.2474137, 348.9425, 267.5689
-7.372357, 0.01915592, 0.4560776, 345.7545, 264.0298
-7.572326, 0.01915592, 0.4525871, 330.4444, 264.0874
-7.568684, 0.1916559, 0.2439232, 333.2137, 254.0184
-7.568684, 0.01915589, 0.2439232, 333.2137, 267.6298
-7.572326, 0.01915592, 0.4525871, 330.4444, 264.0874
-7.572326, 0.1916559, 0.4525871, 330.4444, 250.8396
-7.368715, 0.1916559, 0.2474137, 348.9425, 253.9638
-7.368715, 0.01915589, 0.2474137, 348.9425, 267.5689
-7.568684, 0.01915589, 0.2439232, 333.2137, 267.6298
-7.568684, 0.1916559, 0.2439232, 333.2137, 254.0184
box_1_Parle-G-GOLD(Clone) stack 117 Shelf_0 Rack_1_1_0
-7.372357, 0.3641559, 0.2439232, 348.7052, 240.407
-7.572326, 0.3641559, 0.2474137, 332.8837, 240.3586
-7.568684, 0.3641559, 0.4560776, 330.6835, 237.5459
-7.368715, 0.3641559, 0.4525871, 346.0815, 237.5917
-7.568684, 0.3641559, 0.4560776, 330.6835, 237.5459
-7.568684, 0.1916559, 0.4560776, 330.6835, 250.7878
-7.368715, 0.1916559, 0.4525871, 346.0815, 250.8396
-7.368715, 0.3641559, 0.4525871, 346.0815, 237.5917
-7.368715, 0.3641559, 0.4525871, 346.0815, 237.5917
-7.368715, 0.1916559, 0.4525871, 346.0815, 250.8396
-7.372357, 0.1916559, 0.2439232, 348.7052, 254.0184
-7.372357, 0.3641559, 0.2439232, 348.7052, 240.407
-7.572326, 0.1916559, 0.2474137, 332.8837, 253.9638
-7.372357, 0.1916559, 0.2439232, 348.7052, 254.0184
-7.368715, 0.1916559, 0.4525871, 346.0815, 250.8396
-7.568684, 0.1916559, 0.4560776, 330.6835, 250.7878
-7.572326, 0.3641559, 0.2474137, 332.8837, 240.3586
-7.572326, 0.1916559, 0.2474137, 332.8837, 253.9638
-7.568684, 0.1916559, 0.4560776, 330.6835, 250.7878
-7.568684, 0.3641559, 0.4560776, 330.6835, 237.5459
-7.372357, 0.3641559, 0.2439232, 348.7052, 240.407
-7.372357, 0.1916559, 0.2439232, 348.7052, 254.0184
-7.572326, 0.1916559, 0.2474137, 332.8837, 253.9638
-7.572326, 0.3641559, 0.2474137, 332.8837, 240.3586
box4_Fairever(Clone) stack 118 Shelf_0 Rack_1_1_0
-7.730128, 0.1847178, 0.2429189, 320.4853, 254.5816
-7.929032, 0.1847178, 0.2220132, 304.967, 254.9113
-7.953739, 0.1847178, 0.4570819, 301.117, 251.3055
-7.754835, 0.1847178, 0.4779876, 316.1801, 250.9953
-7.953739, 0.1847178, 0.4570819, 301.117, 251.3055
-7.953739, 0.01971789, 0.4570819, 301.117, 263.97
-7.754835, 0.01971789, 0.4779876, 316.1801, 263.626
-7.754835, 0.1847178, 0.4779876, 316.1801, 250.9953
-7.754835, 0.1847178, 0.4779876, 316.1801, 250.9953
-7.754835, 0.01971789, 0.4779876, 316.1801, 263.626
-7.730128, 0.01971789, 0.2429189, 320.4853, 267.6029
-7.730128, 0.1847178, 0.2429189, 320.4853, 254.5816
-7.929032, 0.01971789, 0.2220132, 304.967, 267.9686
-7.730128, 0.01971789, 0.2429189, 320.4853, 267.6029
-7.754835, 0.01971789, 0.4779876, 316.1801, 263.626
-7.953739, 0.01971789, 0.4570819, 301.117, 263.97
-7.929032, 0.1847178, 0.2220132, 304.967, 254.9113
-7.929032, 0.01971789, 0.2220132, 304.967, 267.9686
-7.953739, 0.01971789, 0.4570819, 301.117, 263.97
-7.953739, 0.1847178, 0.4570819, 301.117, 251.3055
-7.730128, 0.1847178, 0.2429189, 320.4853, 254.5816
-7.730128, 0.01971789, 0.2429189, 320.4853, 267.6029
-7.929032, 0.01971789, 0.2220132, 304.967, 267.9686
-7.929032, 0.1847178, 0.2220132, 304.967, 254.9113
box4_Fairever(Clone) stack 118 Shelf_0 Rack_1_1_0
-7.744011, 0.3497178, 0.2300913, 319.5238, 241.7404
-7.943981, 0.3497178, 0.2335818, 303.6869, 241.6913
-7.939856, 0.3497179, 0.4699094, 302.0807, 238.4711
-7.739886, 0.3497179, 0.4664189, 317.4388, 238.5172
-7.939856, 0.3497179, 0.4699094, 302.0807, 238.4711
-7.939856, 0.1847179, 0.4699094, 302.0807, 251.1149
-7.739886, 0.1847179, 0.4664189, 317.4388, 251.1667
-7.739886, 0.3497179, 0.4664189, 317.4388, 238.5172
-7.739886, 0.3497179, 0.4664189, 317.4388, 238.5172
-7.739886, 0.1847179, 0.4664189, 317.4388, 251.1667
-7.744011, 0.1847178, 0.2300914, 319.5238, 254.7837
-7.744011, 0.3497178, 0.2300913, 319.5238, 241.7404
-7.943981, 0.1847178, 0.2335818, 303.6869, 254.7287
-7.744011, 0.1847178, 0.2300914, 319.5238, 254.7837
-7.739886, 0.1847179, 0.4664189, 317.4388, 251.1667
-7.939856, 0.1847179, 0.4699094, 302.0807, 251.1149
-7.943981, 0.3497178, 0.2335818, 303.6869, 241.6913
-7.943981, 0.1847178, 0.2335818, 303.6869, 254.7287
-7.939856, 0.1847179, 0.4699094, 302.0807, 251.1149
-7.939856, 0.3497179, 0.4699094, 302.0807, 238.4711
-7.744011, 0.3497178, 0.2300913, 319.5238, 241.7404
-7.744011, 0.1847178, 0.2300914, 319.5238, 254.7837
-7.943981, 0.1847178, 0.2335818, 303.6869, 254.7287
-7.943981, 0.3497178, 0.2335818, 303.6869, 241.6913
box4_Fairever(Clone) stack 118 Shelf_0 Rack_1_1_0
-7.728276, 0.5147178, 0.2448864, 320.6106, 228.5148
-7.926785, 0.5147178, 0.2205126, 305.1577, 228.8155
-7.955591, 0.5147178, 0.4551143, 300.9902, 225.9992
-7.757082, 0.5147178, 0.4794882, 315.9936, 225.7163
-7.955591, 0.5147178, 0.4551143, 300.9902, 225.9992
-7.955591, 0.3497178, 0.4551143, 300.9902, 238.667
-7.757082, 0.3497178, 0.4794882, 315.9936, 238.3447
-7.757082, 0.5147178, 0.4794882, 315.9936, 225.7163
-7.757082, 0.5147178, 0.4794882, 315.9936, 225.7163
-7.757082, 0.3497178, 0.4794882, 315.9936, 238.3447
-7.728276, 0.3497178, 0.2448865, 320.6106, 241.5327
-7.728276, 0.5147178, 0.2448864, 320.6106, 228.5148
-7.926785, 0.3497178, 0.2205126, 305.1577, 241.8753
-7.728276, 0.3497178, 0.2448865, 320.6106, 241.5327
-7.757082, 0.3497178, 0.4794882, 315.9936, 238.3447
-7.955591, 0.3497178, 0.4551143, 300.9902, 238.667
-7.926785, 0.5147178, 0.2205126, 305.1577, 228.8155
-7.926785, 0.3497178, 0.2205126, 305.1577, 241.8753
-7.955591, 0.3497178, 0.4551143, 300.9902, 238.667
-7.955591, 0.5147178, 0.4551143, 300.9902, 225.9992
-7.728276, 0.5147178, 0.2448864, 320.6106, 228.5148
-7.728276, 0.3497178, 0.2448865, 320.6106, 241.5327
-7.926785, 0.3497178, 0.2205126, 305.1577, 241.8753
-7.926785, 0.5147178, 0.2205126, 305.1577, 228.8155
box4_Fairever(Clone) stack 118 Shelf_0 Rack_1_1_0
-7.733933, 0.6797177, 0.2390821, 320.2255, 215.5583
-7.933446, 0.6797177, 0.2251308, 304.5911, 215.7065
-7.949934, 0.6797178, 0.4609186, 301.3789, 213.2733
-7.750421, 0.6797178, 0.4748699, 316.5485, 213.134
-7.949934, 0.6797178, 0.4609186, 301.3789, 213.2733
-7.949934, 0.5147178, 0.4609186, 301.3789, 225.9317
-7.750421, 0.5147178, 0.4748699, 316.5485, 225.7698
-7.750421, 0.6797178, 0.4748699, 316.5485, 213.134
-7.750421, 0.6797178, 0.4748699, 316.5485, 213.134
-7.750421, 0.5147178, 0.4748699, 316.5485, 225.7698
-7.733933, 0.5147178, 0.2390821, 320.2255, 228.5862
-7.733933, 0.6797177, 0.2390821, 320.2255, 215.5583
-7.933446, 0.5147178, 0.2251309, 304.5911, 228.7583
-7.733933, 0.5147178, 0.2390821, 320.2255, 228.5862
-7.750421, 0.5147178, 0.4748699, 316.5485, 225.7698
-7.949934, 0.5147178, 0.4609186, 301.3789, 225.9317
-7.933446, 0.6797177, 0.2251308, 304.5911, 215.7065
-7.933446, 0.5147178, 0.2251309, 304.5911, 228.7583
-7.949934, 0.5147178, 0.4609186, 301.3789, 225.9317
-7.949934, 0.6797178, 0.4609186, 301.3789, 213.2733
-7.733933, 0.6797177, 0.2390821, 320.2255, 215.5583
-7.733933, 0.5147178, 0.2390821, 320.2255, 228.5862
-7.933446, 0.5147178, 0.2251309, 304.5911, 228.7583
-7.933446, 0.6797177, 0.2251308, 304.5911, 215.7065
