box_3_Hareli(Clone) stack 116 Shelf_0 Rack_1_1_0
-6.990609, 0.1692639, 0.2472439, 473.4136, 255.7325
-7.190121, 0.1692639, 0.2332926, 458.0776, 255.9543
-7.205468, 0.1692639, 0.4527568, 450.7731, 252.5567
-7.005955, 0.1692639, 0.4667081, 465.6922, 252.3471
-7.205468, 0.1692639, 0.4527568, 450.7731, 252.5567
-7.205468, 0.01926389, 0.4527568, 450.7731, 264.0763
-7.005955, 0.01926389, 0.4667081, 465.6922, 263.8462
-7.005955, 0.1692639, 0.4667081, 465.6922, 252.3471
-7.005955, 0.1692639, 0.4667081, 465.6922, 252.3471
-7.005955, 0.01926389, 0.4667081, 465.6922, 263.8462
-6.990609, 0.01926386, 0.247244, 473.4136, 267.5634
-6.990609, 0.1692639, 0.2472439, 473.4136, 255.7325
-7.190121, 0.01926386, 0.2332927, 458.0776, 267.8069
-6.990609, 0.01926386, 0.247244, 473.4136, 267.5634
-7.005955, 0.01926389, 0.4667081, 465.6922, 263.8462
-7.205468, 0.01926389, 0.4527568, 450.7731, 264.0763
-7.190121, 0.1692639, 0.2332926, 458.0776, 255.9543
-7.190121, 0.01926386, 0.2332927, 458.0776, 267.8069
-7.205468, 0.01926389, 0.4527568, 450.7731, 264.0763
-7.205468, 0.1692639, 0.4527568, 450.7731, 252.5567
-6.990609, 0.1692639, 0.2472439, 473.4136, 255.7325
-6.990609, 0.01926386, 0.247244, 473.4136, 267.5634
-7.190121, 0.01926386, 0.2332927, 458.0776, 267.8069
-7.190121, 0.1692639, 0.2332926, 458.0776, 255.9543
box_1_Parle-G-GOLD(Clone) stack 117 Shelf_0 Rack_1_1_0
-7.368715, 0.1916559, 0.2474137, 443.5871, 253.9638
-7.568684, 0.1916559, 0.2439232, 427.9016, 254.0184
-7.572326, 0.1916559, 0.4525871, 422.6034, 250.8396
-7.372357, 0.1916559, 0.4560776, 437.8723, 250.7878
-7.572326, 0.1916559, 0.4525871, 422.6034, 250.8396
-7.572326, 0.01915592, 0.4525871, 422.6034, 264.0874
-7.372357, 0.01915592, 0.4560776, 437.8723, 264.0298
-7.372357, 0.1916559, 0.4560776, 437.8723, 250.7878
-7.372357, 0.1916559, 0.4560776, 437.8723, 250.7878
-7.372357, 0.01915592, 0.4560776, 437.8723, 264.0298
-7.368715, 0.01915589, 0.2474137, 443.5871, 267.5689
-7.368715, 0.1916559, 0.2474137, 443.5871, 253.9638
-7.568684, 0.01915589, 0.2439232, 427.9016, 267.6298
-7.368715, 0.01915589, 0.2474137, 443.5871, 267.5689
-7.372357, 0.01915592, 0.4560776, 437.8723, 264.0298
-7.572326, 0.01915592, 0.4525871, 422.6034, 264.0874
-7.568684, 0.1916559, 0.2439232, 427.9016, 254.0184
-7.568684, 0.01915589, 0.2439232, 427.9016, 267.6298
-7.572326, 0.01915592, 0.4525871, 422.6034, 264.0874
-7.572326, 0.1916559, 0.4525871, 422.6034, 250.8396
-7.368715, 0.1916559, 0.2474137, 443.5871, 253.9638
-7.368715, 0.01915589, 0.2474137, 443.5871, 267.5689
-7.568684, 0.01915589, 0.2439232, 427.9016, 267.6298
-7.568684, 0.1916559, 0.2439232, 427.9016, 254.0184
box_1_Parle-G-GOLD(Clone) stack 117 Shelf_0 Rack_1_1_0
-7.372357, 0.3641559, 0.2439232, 443.3931, 240.407
-7.572326, 0.3641559, 0.2474137, 427.5281, 240.3586
-7.568684, 0.3641559, 0.4560776, 422.8013, 237.5459
-7.368715, 0.3641559, 0.4525871, 438.2405, 237.5917
-7.568684, 0.3641559, 0.4560776, 422.8013, 237.5459
-7.568684, 0.1916559, 0.4560776, 422.8013, 250.7878
-7.368715, 0.1916559, 0.4525871, 438.2405, 250.8396
-7.368715, 0.3641559, 0.4525871, 438.2405, 237.5917
-7.368715, 0.3641559, 0.4525871, 438.2405, 237.5917
-7.368715, 0.1916559, 0.4525871, 438.2405, 250.8396
-7.372357, 0.1916559, 0.2439232, 443.3931, 254.0184
-7.372357, 0.3641559, 0.2439232, 443.3931, 240.407
-7.572326, 0.1916559, 0.2474137, 427.5281, 253.9638
-7.372357, 0.1916559, 0.2439232, 443.3931, 254.0184
-7.368715, 0.1916559, 0.4525871, 438.2405, 250.8396
-7.568684, 0.1916559, 0.4560776, 422.8013, 250.7878
-7.572326, 0.3641559, 0.2474137, 427.5281, 240.3586
-7.572326, 0.1916559, 0.2474137, 427.5281, 253.9638
-7.568684, 0.1916559, 0.4560776, 422.8013, 250.7878
-7.568684, 0.3641559, 0.4560776, 422.8013, 237.5459
-7.372357, 0.3641559, 0.2439232, 443.3931, 240.407
-7.372357, 0.1916559, 0.2439232, 443.3931, 254.0184
-7.572326, 0.1916559, 0.2474137, 427.5281, 253.9638
-7.572326, 0.3641559, 0.2474137, 427.5281, 240.3586
box4_Fairever(Clone) stack 118 Shelf_0 Rack_1_1_0
-7.730128, 0.1847178, 0.2429189, 415.1857, 254.5816
-7.929032, 0.1847178, 0.2220132, 399.9286, 254.9113
-7.953739, 0.1847178, 0.4570819, 393.223, 251.3055
-7.754835, 0.1847178, 0.4779876, 408.0404, 250.9953
-7.953739, 0.1847178, 0.4570819, 393.223, 251.3055
-7.953739, 0.01971789, 0.4570819, 393.223, 263.97
-7.754835, 0.01971789, 0.4779876, 408.0404, 263.626
-7.754835, 0.1847178, 0.4779876, 408.0404, 250.9953
-7.754835, 0.1847178, 0.4779876, 408.0404, 250.9953
-7.754835, 0.01971789, 0.4779876, 408.0404, 263.626
-7.730128, 0.01971789, 0.2429189, 415.1857, 267.6029
-7.730128, 0.1847178, 0.2429189, 415.1857, 254.5816
-7.929032, 0.01971789, 0.2220132, 399.9286, 267.9686
-7.730128, 0.01971789, 0.2429189, 415.1857, 267.6029
-7.754835, 0.01971789, 0.4779876, 408.0404, 263.626
