box_3_Hareli(Clone) stack 116 Shelf_0 Rack_1_1_0
-7.205468, 0.1692639, 0.4527568, 473.8123, 252.5567
-7.205468, 0.1692639, 0.4527568, 473.8123, 252.5567
-7.205468, 0.01926389, 0.4527568, 473.8123, 264.0763
-7.205468, 0.01926389, 0.4527568, 473.8123, 264.0763
-7.205468, 0.01926389, 0.4527568, 473.8123, 264.0763
-7.205468, 0.1692639, 0.4527568, 473.8123, 252.5567
box_1_Parle-G-GOLD(Clone) stack 117 Shelf_0 Rack_1_1_0
-7.368715, 0.1916559, 0.2474137, 467.2482, 253.9638
-7.568684, 0.1916559, 0.2439232, 451.5736, 254.0184
-7.572326, 0.1916559, 0.4525871, 445.6431, 250.8396
-7.372357, 0.1916559, 0.4560776, 460.9018, 250.7878
-7.572326, 0.1916559, 0.4525871, 445.6431, 250.8396
-7.572326, 0.01915592, 0.4525871, 445.6431, 264.0874
-7.372357, 0.01915592, 0.4560776, 460.9018, 264.0298
-7.372357, 0.1916559, 0.4560776, 460.9018, 250.7878
-7.372357, 0.1916559, 0.4560776, 460.9018, 250.7878
-7.372357, 0.01915592, 0.4560776, 460.9018, 264.0298
-7.368715, 0.01915589, 0.2474137, 467.2482, 267.5689
-7.368715, 0.1916559, 0.2474137, 467.2482, 253.9638
-7.568684, 0.01915589, 0.2439232, 451.5736, 267.6298
-7.368715, 0.01915589, 0.2474137, 467.2482, 267.5689
-7.372357, 0.01915592, 0.4560776, 460.9018, 264.0298
-7.572326, 0.01915592, 0.4525871, 445.6431, 264.0874
-7.568684, 0.1916559, 0.2439232, 451.5736, 254.0184
-7.568684, 0.01915589, 0.2439232, 451.5736, 267.6298
-7.572326, 0.01915592, 0.4525871, 445.6431, 264.0874
-7.572326, 0.1916559, 0.4525871, 445.6431, 250.8396
-7.368715, 0.1916559, 0.2474137, 467.2482, 253.9638
-7.368715, 0.01915589, 0.2474137, 467.2482, 267.5689
-7.568684, 0.01915589, 0.2439232, 451.5736, 267.6298
-7.568684, 0.1916559, 0.2439232, 451.5736, 254.0184
box_1_Parle-G-GOLD(Clone) stack 117 Shelf_0 Rack_1_1_0
-7.372357, 0.3641559, 0.2439232, 467.0651, 240.407
-7.572326, 0.3641559, 0.2474137, 451.1893, 240.3586
