box_8_lizol(Clone) stack 0 Shelf_0 Rack_0_0_0
2.884809, 0.1961813, 8.231998, 377.103, 253.8477
2.685083, 0.1961813, 8.221532, 361.486, 254.0117
2.672166, 0.1961813, 8.468002, 356.6709, 250.2646
2.871892, 0.1961813, 8.478469, 371.8032, 250.1107
2.672166, 0.1961813, 8.468002, 356.6709, 250.2646
2.672166, 0.0199313, 8.468002, 356.6709, 263.7738
2.871892, 0.0199313, 8.478469, 371.8032, 263.6018
2.871892, 0.1961813, 8.478469, 371.8032, 250.1107
2.871892, 0.1961813, 8.478469, 371.8032, 250.1107
2.871892, 0.0199313, 8.478469, 371.8032, 263.6018
2.884809, 0.0199313, 8.231998, 377.103, 267.7768
2.884809, 0.1961813, 8.231998, 377.103, 253.8477
2.685083, 0.0199313, 8.221532, 361.486, 267.9601
2.884809, 0.0199313, 8.231998, 377.103, 267.7768
2.871892, 0.0199313, 8.478469, 371.8032, 263.6018
2.672166, 0.0199313, 8.468002, 356.6709, 263.7738
2.685083, 0.1961813, 8.221532, 361.486, 254.0117
2.685083, 0.0199313, 8.221532, 361.486, 267.9601
2.672166, 0.0199313, 8.468002, 356.6709, 263.7738
2.672166, 0.1961813, 8.468002, 356.6709, 250.2646
2.884809, 0.1961813, 8.231998, 377.103, 253.8477
2.884809, 0.0199313, 8.231998, 377.103, 267.7768
2.685083, 0.0199313, 8.221532, 361.486, 267.9601
2.685083, 0.1961813, 8.221532, 361.486, 254.0117
box_5_LMRR(Clone) stack 1 Shelf_0 Rack_0_0_0
2.491613, 0.162368, 8.202856, 346.437, 256.9882
2.291887, 0.162368, 8.213324, 330.4666, 256.8196
2.306762, 0.162368, 8.497145, 328.3345, 252.4191
2.506487, 0.162368, 8.486677, 343.7245, 252.5758
2.306762, 0.162368, 8.497145, 328.3345, 252.4191
2.306762, 0.019868, 8.497145, 328.3345, 263.301
2.506487, 0.019868, 8.486677, 343.7245, 263.4721
2.506487, 0.162368, 8.486677, 343.7245, 252.5758
2.506487, 0.162368, 8.486677, 343.7245, 252.5758
2.506487, 0.019868, 8.486677, 343.7245, 263.4721
2.491613, 0.019868, 8.202856, 346.437, 268.2935
2.491613, 0.162368, 8.202856, 346.437, 256.9882
2.291887, 0.019868, 8.213324, 330.4666, 268.1092
2.491613, 0.019868, 8.202856, 346.437, 268.2935
2.506487, 0.019868, 8.486677, 343.7245, 263.4721
2.306762, 0.019868, 8.497145, 328.3345, 263.301
2.291887, 0.162368, 8.213324, 330.4666, 256.8196
2.291887, 0.019868, 8.213324, 330.4666, 268.1092
2.306762, 0.019868, 8.497145, 328.3345, 263.301
2.306762, 0.162368, 8.497145, 328.3345, 252.4191
2.491613, 0.162368, 8.202856, 346.437, 256.9882
2.491613, 0.019868, 8.202856, 346.437, 268.2935
2.291887, 0.019868, 8.213324, 330.4666, 268.1092
2.291887, 0.162368, 8.213324, 330.4666, 256.8196
box_5_LMRR(Clone) stack 1 Shelf_0 Rack_0_0_0
2.506487, 0.304868, 8.213324, 347.4683, 245.53
2.306762, 0.304868, 8.202856, 331.7718, 245.683
2.291887, 0.304868, 8.486677, 327.315, 241.6795
2.491613, 0.304868, 8.497145, 342.4505, 241.5373
2.291887, 0.304868, 8.486677, 327.315, 241.6795
2.291887, 0.162368, 8.486677, 327.315, 252.5758
2.491613, 0.162368, 8.497145, 342.4505, 252.4192
2.491613, 0.304868, 8.497145, 342.4505, 241.5373
2.491613, 0.304868, 8.497145, 342.4505, 241.5373
2.491613, 0.162368, 8.497145, 342.4505, 252.4192
2.506487, 0.162368, 8.213324, 347.4683, 256.8196
2.506487, 0.304868, 8.213324, 347.4683, 245.53
2.306762, 0.162368, 8.202856, 331.7718, 256.9882
2.506487, 0.162368, 8.213324, 347.4683, 256.8196
2.491613, 0.162368, 8.497145, 342.4505, 252.4192
2.291887, 0.162368, 8.486677, 327.315, 252.5758
2.306762, 0.304868, 8.202856, 331.7718, 245.683
2.306762, 0.162368, 8.202856, 331.7718, 256.9882
2.291887, 0.162368, 8.486677, 327.315, 252.5758
2.291887, 0.304868, 8.486677, 327.315, 241.6795
2.506487, 0.304868, 8.213324, 347.4683, 245.53
2.506487, 0.162368, 8.213324, 347.4683, 256.8196
2.306762, 0.162368, 8.202856, 331.7718, 256.9882
2.306762, 0.304868, 8.202856, 331.7718, 245.683
box_5_LMRR(Clone) stack 1 Shelf_0 Rack_0_0_0
2.501652, 0.447368, 8.209662, 347.1371, 234.2884
2.301683, 0.447368, 8.206172, 331.3288, 234.3342
2.296722, 0.447368, 8.490338, 327.6438, 230.7384
2.496692, 0.447368, 8.493829, 342.8817, 230.6959
2.296722, 0.447368, 8.490338, 327.6438, 230.7384
2.296722, 0.304868, 8.490338, 327.6438, 241.6297
