box_5_LMRR(Clone) stack 41 Shelf_0 Rack_1_0_0
-6.945427, 0.162368, 8.206172, 474.2986, 256.9348
-7.145397, 0.162368, 8.209662, 458.3403, 256.8785
-7.140437, 0.162368, 8.493829, 450.8192, 252.4687
-6.940467, 0.162368, 8.490338, 466.1966, 252.521
-7.140437, 0.162368, 8.493829, 450.8192, 252.4687
-7.140437, 0.01986802, 8.493829, 450.8192, 263.3551
-6.940467, 0.01986802, 8.490338, 466.1966, 263.4122
-6.940467, 0.162368, 8.490338, 466.1966, 252.521
-6.940467, 0.162368, 8.490338, 466.1966, 252.521
-6.940467, 0.01986802, 8.490338, 466.1966, 263.4122
-6.945427, 0.01986799, 8.206172, 474.2986, 268.235
-6.945427, 0.162368, 8.206172, 474.2986, 256.9348
-7.145397, 0.01986799, 8.209662, 458.3403, 268.1736
-6.945427, 0.01986799, 8.206172, 474.2986, 268.235
-6.940467, 0.01986802, 8.490338, 466.1966, 263.4122
-7.140437, 0.01986802, 8.493829, 450.8192, 263.3551
-7.145397, 0.162368, 8.209662, 458.3403, 256.8785
-7.145397, 0.01986799, 8.209662, 458.3403, 268.1736
-7.140437, 0.01986802, 8.493829, 450.8192, 263.3551
-7.140437, 0.162368, 8.493829, 450.8192, 252.4687
-6.945427, 0.162368, 8.206172, 474.2986, 256.9348
-6.945427, 0.01986799, 8.206172, 474.2986, 268.235
-7.145397, 0.01986799, 8.209662, 458.3403, 268.1736
-7.145397, 0.162368, 8.209662, 458.3403, 256.8785
box_1_Parle-G-GOLD(Clone) stack 42 Shelf_0 Rack_1_0_0
-7.345678, 0.1916559, 8.235771, 441.7693, 254.1461
-7.544582, 0.1916559, 8.256677, 425.5469, 253.8191
-7.522768, 0.1916559, 8.46423, 422.2977, 250.6672
-7.323863, 0.1916559, 8.443324, 438.08, 250.9771
-7.522768, 0.1916559, 8.46423, 422.2977, 250.6672
-7.522768, 0.0191559, 8.46423, 422.2977, 263.8953
-7.323863, 0.0191559, 8.443324, 438.08, 264.2406
-7.323863, 0.1916559, 8.443324, 438.08, 250.9771
-7.323863, 0.1916559, 8.443324, 438.08, 250.9771
-7.323863, 0.0191559, 8.443324, 438.08, 264.2406
-7.345678, 0.0191559, 8.235771, 441.7693, 267.7721
-7.345678, 0.1916559, 8.235771, 441.7693, 254.1461
-7.544582, 0.0191559, 8.256677, 425.5469, 267.4077
-7.345678, 0.0191559, 8.235771, 441.7693, 267.7721
-7.323863, 0.0191559, 8.443324, 438.08, 264.2406
-7.522768, 0.0191559, 8.46423, 422.2977, 263.8953
-7.544582, 0.1916559, 8.256677, 425.5469, 253.8191
-7.544582, 0.0191559, 8.256677, 425.5469, 267.4077
-7.522768, 0.0191559, 8.46423, 422.2977, 263.8953
-7.522768, 0.1916559, 8.46423, 422.2977, 250.6672
-7.345678, 0.1916559, 8.235771, 441.7693, 254.1461
-7.345678, 0.0191559, 8.235771, 441.7693, 267.7721
-7.544582, 0.0191559, 8.256677, 425.5469, 267.4077
-7.544582, 0.1916559, 8.256677, 425.5469, 253.8191
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.726587, 0.1961813, 8.21682, 412.1102, 254.0858
-7.925492, 0.1961813, 8.237725, 395.9289, 253.7581
-7.899693, 0.1961813, 8.483181, 393.0226, 250.0415
-7.700789, 0.1961813, 8.462276, 408.6884, 250.349
-7.899693, 0.1961813, 8.483181, 393.0226, 250.0415
-7.899693, 0.0199313, 8.483181, 393.0226, 263.5245
-7.700789, 0.0199313, 8.462276, 408.6884, 263.868
