box_1_Parle-G-GOLD(Clone) stack 42 Shelf_0 Rack_1_0_0
-7.544582, 0.1916559, 8.256677, 468.8729, 253.8191
-7.522768, 0.1916559, 8.46423, 464.4744, 250.6672
-7.522768, 0.1916559, 8.46423, 464.4744, 250.6672
-7.522768, 0.0191559, 8.46423, 464.4744, 263.8953
-7.544582, 0.0191559, 8.256677, 468.8729, 267.4077
-7.522768, 0.0191559, 8.46423, 464.4744, 263.8953
-7.544582, 0.1916559, 8.256677, 468.8729, 253.8191
-7.544582, 0.0191559, 8.256677, 468.8729, 267.4077
-7.522768, 0.0191559, 8.46423, 464.4744, 263.8953
-7.522768, 0.1916559, 8.46423, 464.4744, 250.6672
-7.544582, 0.0191559, 8.256677, 468.8729, 267.4077
-7.544582, 0.1916559, 8.256677, 468.8729, 253.8191
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.726587, 0.1961813, 8.21682, 455.6641, 254.0858
-7.925492, 0.1961813, 8.237725, 439.3629, 253.7581
-7.899693, 0.1961813, 8.483181, 435.0974, 250.0415
-7.700789, 0.1961813, 8.462276, 450.8755, 250.349
-7.899693, 0.1961813, 8.483181, 435.0974, 250.0415
-7.899693, 0.0199313, 8.483181, 435.0974, 263.5245
-7.700789, 0.0199313, 8.462276, 450.8755, 263.868
-7.700789, 0.1961813, 8.462276, 450.8755, 250.349
-7.700789, 0.1961813, 8.462276, 450.8755, 250.349
-7.700789, 0.0199313, 8.462276, 450.8755, 263.868
-7.726587, 0.0199313, 8.21682, 455.6641, 268.0428
-7.726587, 0.1961813, 8.21682, 455.6641, 254.0858
-7.925492, 0.0199313, 8.237725, 439.3629, 267.6767
-7.726587, 0.0199313, 8.21682, 455.6641, 268.0428
-7.700789, 0.0199313, 8.462276, 450.8755, 263.868
-7.899693, 0.0199313, 8.483181, 435.0974, 263.5245
-7.925492, 0.1961813, 8.237725, 439.3629, 253.7581
-7.925492, 0.0199313, 8.237725, 439.3629, 267.6767
-7.899693, 0.0199313, 8.483181, 435.0974, 263.5245
-7.899693, 0.1961813, 8.483181, 435.0974, 250.0415
-7.726587, 0.1961813, 8.21682, 455.6641, 254.0858
-7.726587, 0.0199313, 8.21682, 455.6641, 268.0428
-7.925492, 0.0199313, 8.237725, 439.3629, 267.6767
-7.925492, 0.1961813, 8.237725, 439.3629, 253.7581
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.698847, 0.3724313, 8.239703, 457.2048, 239.8122
-7.897356, 0.3724313, 8.215329, 442.1809, 240.1494
-7.927434, 0.3724313, 8.460298, 433.5399, 236.8556
-7.728925, 0.3724313, 8.484672, 448.1216, 236.5391
-7.927434, 0.3724313, 8.460298, 433.5399, 236.8556
-7.927434, 0.1961813, 8.460298, 433.5399, 250.3781
-7.728925, 0.1961813, 8.484672, 448.1216, 250.0196
-7.728925, 0.3724313, 8.484672, 448.1216, 236.5391
-7.728925, 0.3724313, 8.484672, 448.1216, 236.5391
-7.728925, 0.1961813, 8.484672, 448.1216, 250.0196
-7.698847, 0.1961813, 8.239703, 457.2048, 253.7272
-7.698847, 0.3724313, 8.239703, 457.2048, 239.8122
-7.897356, 0.1961813, 8.215329, 442.1809, 254.1092
-7.698847, 0.1961813, 8.239703, 457.2048, 253.7272
-7.728925, 0.1961813, 8.484672, 448.1216, 250.0196
-7.927434, 0.1961813, 8.460298, 433.5399, 250.3781
-7.897356, 0.3724313, 8.215329, 442.1809, 240.1494
-7.897356, 0.1961813, 8.215329, 442.1809, 254.1092
-7.927434, 0.1961813, 8.460298, 433.5399, 250.3781
-7.927434, 0.3724313, 8.460298, 433.5399, 236.8556
-7.698847, 0.3724313, 8.239703, 457.2048, 239.8122
-7.698847, 0.1961813, 8.239703, 457.2048, 253.7272
-7.897356, 0.1961813, 8.215329, 442.1809, 254.1092
-7.897356, 0.3724313, 8.215329, 442.1809, 240.1494
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.726587, 0.5486813, 8.21682, 455.6641, 226.1717
-7.925492, 0.5486813, 8.237725, 439.3629, 225.9208
-7.899693, 0.5486813, 8.483181, 435.0974, 223.0754
