box_5_LMRR(Clone) stack 41 Shelf_0 Rack_1_0_0
-7.145397, 0.162368, 8.209662, 478.1562, 256.8785
-7.140437, 0.162368, 8.493829, 469.9182, 252.4687
-7.140437, 0.162368, 8.493829, 469.9182, 252.4687
-7.140437, 0.01986802, 8.493829, 469.9182, 263.3551
-7.145397, 0.01986799, 8.209662, 478.1562, 268.1736
-7.140437, 0.01986802, 8.493829, 469.9182, 263.3551
-7.145397, 0.162368, 8.209662, 478.1562, 256.8785
-7.145397, 0.01986799, 8.209662, 478.1562, 268.1736
-7.140437, 0.01986802, 8.493829, 469.9182, 263.3551
-7.140437, 0.162368, 8.493829, 469.9182, 252.4687
-7.145397, 0.01986799, 8.209662, 478.1562, 268.1736
-7.145397, 0.162368, 8.209662, 478.1562, 256.8785
box_1_Parle-G-GOLD(Clone) stack 42 Shelf_0 Rack_1_0_0
-7.345678, 0.1916559, 8.235771, 461.5171, 254.1461
-7.544582, 0.1916559, 8.256677, 445.2405, 253.8191
-7.522768, 0.1916559, 8.46423, 441.4689, 250.6672
-7.323863, 0.1916559, 8.443324, 457.3025, 250.9771
-7.522768, 0.1916559, 8.46423, 441.4689, 250.6672
-7.522768, 0.0191559, 8.46423, 441.4689, 263.8953
-7.323863, 0.0191559, 8.443324, 457.3025, 264.2406
-7.323863, 0.1916559, 8.443324, 457.3025, 250.9771
-7.323863, 0.1916559, 8.443324, 457.3025, 250.9771
-7.323863, 0.0191559, 8.443324, 457.3025, 264.2406
-7.345678, 0.0191559, 8.235771, 461.5171, 267.7721
-7.345678, 0.1916559, 8.235771, 461.5171, 254.1461
-7.544582, 0.0191559, 8.256677, 445.2405, 267.4077
-7.345678, 0.0191559, 8.235771, 461.5171, 267.7721
-7.323863, 0.0191559, 8.443324, 457.3025, 264.2406
-7.522768, 0.0191559, 8.46423, 441.4689, 263.8953
-7.544582, 0.1916559, 8.256677, 445.2405, 253.8191
-7.544582, 0.0191559, 8.256677, 445.2405, 267.4077
-7.522768, 0.0191559, 8.46423, 441.4689, 263.8953
-7.522768, 0.1916559, 8.46423, 441.4689, 250.6672
-7.345678, 0.1916559, 8.235771, 461.5171, 254.1461
-7.345678, 0.0191559, 8.235771, 461.5171, 267.7721
-7.544582, 0.0191559, 8.256677, 445.2405, 267.4077
-7.544582, 0.1916559, 8.256677, 445.2405, 253.8191
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.726587, 0.1961813, 8.21682, 431.9074, 254.0858
-7.925492, 0.1961813, 8.237725, 415.6716, 253.7581
-7.899693, 0.1961813, 8.483181, 412.1475, 250.0415
-7.700789, 0.1961813, 8.462276, 427.8643, 250.349
-7.899693, 0.1961813, 8.483181, 412.1475, 250.0415
-7.899693, 0.0199313, 8.483181, 412.1475, 263.5245
-7.700789, 0.0199313, 8.462276, 427.8643, 263.868
-7.700789, 0.1961813, 8.462276, 427.8643, 250.349
-7.700789, 0.1961813, 8.462276, 427.8643, 250.349
-7.700789, 0.0199313, 8.462276, 427.8643, 263.868
-7.726587, 0.0199313, 8.21682, 431.9074, 268.0428
-7.726587, 0.1961813, 8.21682, 431.9074, 254.0858
-7.925492, 0.0199313, 8.237725, 415.6716, 267.6767
-7.726587, 0.0199313, 8.21682, 431.9074, 268.0428
-7.700789, 0.0199313, 8.462276, 427.8643, 263.868
-7.899693, 0.0199313, 8.483181, 412.1475, 263.5245
-7.925492, 0.1961813, 8.237725, 415.6716, 253.7581
-7.925492, 0.0199313, 8.237725, 415.6716, 267.6767
-7.899693, 0.0199313, 8.483181, 412.1475, 263.5245
-7.899693, 0.1961813, 8.483181, 412.1475, 250.0415
-7.726587, 0.1961813, 8.21682, 431.9074, 254.0858
-7.726587, 0.0199313, 8.21682, 431.9074, 268.0428
-7.925492, 0.0199313, 8.237725, 415.6716, 267.6767
-7.925492, 0.1961813, 8.237725, 415.6716, 253.7581
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.698847, 0.3724313, 8.239703, 433.5197, 239.8122
-7.897356, 0.3724313, 8.215329, 418.4195, 240.1494
-7.927434, 0.3724313, 8.460298, 410.5229, 236.8556
-7.728925, 0.3724313, 8.484672, 425.1761, 236.5391
-7.927434, 0.3724313, 8.460298, 410.5229, 236.8556
-7.927434, 0.1961813, 8.460298, 410.5229, 250.3781
-7.728925, 0.1961813, 8.484672, 425.1761, 250.0196
-7.728925, 0.3724313, 8.484672, 425.1761, 236.5391
-7.728925, 0.3724313, 8.484672, 425.1761, 236.5391
-7.728925, 0.1961813, 8.484672, 425.1761, 250.0196
-7.698847, 0.1961813, 8.239703, 433.5197, 253.7272
-7.698847, 0.3724313, 8.239703, 433.5197, 239.8122
-7.897356, 0.1961813, 8.215329, 418.4195, 254.1092
-7.698847, 0.1961813, 8.239703, 433.5197, 253.7272
-7.728925, 0.1961813, 8.484672, 425.1761, 250.0196
