box_3_Hareli(Clone) stack 116 Shelf_0 Rack_1_1_0
-7.205468, 0.1692639, 0.4527568, 477.6523, 252.5567
-7.205468, 0.1692639, 0.4527568, 477.6523, 252.5567
-7.205468, 0.01926389, 0.4527568, 477.6523, 264.0763
-7.205468, 0.01926389, 0.4527568, 477.6523, 264.0763
-7.205468, 0.01926389, 0.4527568, 477.6523, 264.0763
-7.205468, 0.1692639, 0.4527568, 477.6523, 252.5567
box_1_Parle-G-GOLD(Clone) stack 117 Shelf_0 Rack_1_1_0
-7.368715, 0.1916559, 0.2474137, 471.1917, 253.9638
-7.568684, 0.1916559, 0.2439232, 455.5189, 254.0184
-7.572326, 0.1916559, 0.4525871, 449.483, 250.8396
-7.372357, 0.1916559, 0.4560776, 464.7401, 250.7878
-7.572326, 0.1916559, 0.4525871, 449.483, 250.8396
-7.572326, 0.01915592, 0.4525871, 449.483, 264.0874
-7.372357, 0.01915592, 0.4560776, 464.7401, 264.0298
-7.372357, 0.1916559, 0.4560776, 464.7401, 250.7878
-7.372357, 0.1916559, 0.4560776, 464.7401, 250.7878
-7.372357, 0.01915592, 0.4560776, 464.7401, 264.0298
-7.368715, 0.01915589, 0.2474137, 471.1917, 267.5689
-7.368715, 0.1916559, 0.2474137, 471.1917, 253.9638
-7.568684, 0.01915589, 0.2439232, 455.5189, 267.6298
-7.368715, 0.01915589, 0.2474137, 471.1917, 267.5689
-7.372357, 0.01915592, 0.4560776, 464.7401, 264.0298
-7.572326, 0.01915592, 0.4525871, 449.483, 264.0874
-7.568684, 0.1916559, 0.2439232, 455.5189, 254.0184
-7.568684, 0.01915589, 0.2439232, 455.5189, 267.6298
-7.572326, 0.01915592, 0.4525871, 449.483, 264.0874
-7.572326, 0.1916559, 0.4525871, 449.483, 250.8396
-7.368715, 0.1916559, 0.2474137, 471.1917, 253.9638
-7.368715, 0.01915589, 0.2474137, 471.1917, 267.5689
-7.568684, 0.01915589, 0.2439232, 455.5189, 267.6298
-7.568684, 0.1916559, 0.2439232, 455.5189, 254.0184
box_1_Parle-G-GOLD(Clone) stack 117 Shelf_0 Rack_1_1_0
-7.372357, 0.3641559, 0.2439232, 471.0104, 240.407
-7.572326, 0.3641559, 0.2474137, 455.1328, 240.3586
-7.568684, 0.3641559, 0.4560776, 449.669, 237.5459
-7.368715, 0.3641559, 0.4525871, 465.1202, 237.5917
-7.568684, 0.3641559, 0.4560776, 449.669, 237.5459
-7.568684, 0.1916559, 0.4560776, 449.669, 250.7878
-7.368715, 0.1916559, 0.4525871, 465.1202, 250.8396
-7.368715, 0.3641559, 0.4525871, 465.1202, 237.5917
-7.368715, 0.3641559, 0.4525871, 465.1202, 237.5917
-7.368715, 0.1916559, 0.4525871, 465.1202, 250.8396
-7.372357, 0.1916559, 0.2439232, 471.0104, 254.0184
-7.372357, 0.3641559, 0.2439232, 471.0104, 240.407
-7.572326, 0.1916559, 0.2474137, 455.1328, 253.9638
-7.372357, 0.1916559, 0.2439232, 471.0104, 254.0184
-7.368715, 0.1916559, 0.4525871, 465.1202, 250.8396
-7.568684, 0.1916559, 0.4560776, 449.669, 250.7878
-7.572326, 0.3641559, 0.2474137, 455.1328, 240.3586
-7.572326, 0.1916559, 0.2474137, 455.1328, 253.9638
-7.568684, 0.1916559, 0.4560776, 449.669, 250.7878
-7.568684, 0.3641559, 0.4560776, 449.669, 237.5459
-7.372357, 0.3641559, 0.2439232, 471.0104, 240.407
-7.372357, 0.1916559, 0.2439232, 471.0104, 254.0184
-7.572326, 0.1916559, 0.2474137, 455.1328, 253.9638
-7.572326, 0.3641559, 0.2474137, 455.1328, 240.3586
box4_Fairever(Clone) stack 118 Shelf_0 Rack_1_1_0
-7.730128, 0.1847178, 0.2429189, 442.8067, 254.5816
-7.929032, 0.1847178, 0.2220132, 427.6257, 254.9113
-7.953739, 0.1847178, 0.4570819, 420.0872, 251.3055
-7.754835, 0.1847178, 0.4779876, 434.833, 250.9953
-7.953739, 0.1847178, 0.4570819, 420.0872, 251.3055
-7.953739, 0.01971789, 0.4570819, 420.0872, 263.97
-7.754835, 0.01971789, 0.4779876, 434.833, 263.626
-7.754835, 0.1847178, 0.4779876, 434.833, 250.9953
-7.754835, 0.1847178, 0.4779876, 434.833, 250.9953
-7.754835, 0.01971789, 0.4779876, 434.833, 263.626
-7.730128, 0.01971789, 0.2429189, 442.8067, 267.6029
-7.730128, 0.1847178, 0.2429189, 442.8067, 254.5816
-7.929032, 0.01971789, 0.2220132, 427.6257, 267.9686
-7.730128, 0.01971789, 0.2429189, 442.8067, 267.6029
-7.754835, 0.01971789, 0.4779876, 434.833, 263.626
-7.953739, 0.01971789, 0.4570819, 420.0872, 263.97
-7.929032, 0.1847178, 0.2220132, 427.6257, 254.9113
-7.929032, 0.01971789, 0.2220132, 427.6257, 267.9686
-7.953739, 0.01971789, 0.4570819, 420.0872, 263.97
-7.953739, 0.1847178, 0.4570819, 420.0872, 251.3055
-7.730128, 0.1847178, 0.2429189, 442.8067, 254.5816
-7.730128, 0.01971789, 0.2429189, 442.8067, 267.6029
-7.929032, 0.01971789, 0.2220132, 427.6257, 267.9686
-7.929032, 0.1847178, 0.2220132, 427.6257, 254.9113
box4_Fairever(Clone) stack 118 Shelf_0 Rack_1_1_0
-7.744011, 0.3497178, 0.2300913, 442.052, 241.7404
-7.943981, 0.3497178, 0.2335818, 426.1587, 241.6913
-7.939856, 0.3497179, 0.4699094, 420.856, 238.4711
-7.739886, 0.3497179, 0.4664189, 436.267, 238.5172
-7.939856, 0.3497179, 0.4699094, 420.856, 238.4711
-7.939856, 0.1847179, 0.4699094, 420.856, 251.1149
-7.739886, 0.1847179, 0.4664189, 436.267, 251.1667
-7.739886, 0.3497179, 0.4664189, 436.267, 238.5172
-7.739886, 0.3497179, 0.4664189, 436.267, 238.5172
-7.739886, 0.1847179, 0.4664189, 436.267, 251.1667
-7.744011, 0.1847178, 0.2300914, 442.052, 254.7837
-7.744011, 0.3497178, 0.2300913, 442.052, 241.7404
-7.943981, 0.1847178, 0.2335818, 426.1587, 254.7287
-7.744011, 0.1847178, 0.2300914, 442.052, 254.7837
-7.739886, 0.1847179, 0.4664189, 436.267, 251.1667
-7.939856, 0.1847179, 0.4699094, 420.856, 251.1149
-7.943981, 0.3497178, 0.2335818, 426.1587, 241.6913
-7.943981, 0.1847178, 0.2335818, 426.1587, 254.7287
-7.939856, 0.1847179, 0.4699094, 420.856, 251.1149
-7.939856, 0.3497179, 0.4699094, 420.856, 238.4711
-7.744011, 0.3497178, 0.2300913, 442.052, 241.7404
-7.744011, 0.1847178, 0.2300914, 442.052, 254.7837
-7.943981, 0.1847178, 0.2335818, 426.1587, 254.7287
-7.943981, 0.3497178, 0.2335818, 426.1587, 241.6913
box4_Fairever(Clone) stack 118 Shelf_0 Rack_1_1_0
-7.728276, 0.5147178, 0.2448864, 442.9004, 228.5148
-7.926785, 0.5147178, 0.2205126, 427.8407, 228.8155
-7.955591, 0.5147178, 0.4551143, 419.9904, 225.9992
-7.757082, 0.5147178, 0.4794882, 434.6238, 225.7163
-7.955591, 0.5147178, 0.4551143, 419.9904, 225.9992
-7.955591, 0.3497178, 0.4551143, 419.9904, 238.667
-7.757082, 0.3497178, 0.4794882, 434.6238, 238.3447
