box_8_lizol(Clone) stack 115 Shelf_0 Rack_1_1_0
-6.611214, 0.1961813, 0.2248697, 456.6512, 253.9594
-6.811183, 0.1961813, 0.2283601, 440.7403, 253.9046
-6.806876, 0.1961813, 0.4751311, 434.7477, 250.1597
-6.606906, 0.1961813, 0.4716406, 450.1547, 250.211
-6.806876, 0.1961813, 0.4751311, 434.7477, 250.1597
-6.806876, 0.01993132, 0.4751311, 434.7477, 263.6566
-6.606906, 0.01993132, 0.4716406, 450.1547, 263.7139
-6.606906, 0.1961813, 0.4716406, 450.1547, 250.211
-6.606906, 0.1961813, 0.4716406, 450.1547, 250.211
-6.606906, 0.01993132, 0.4716406, 450.1547, 263.7139
-6.611214, 0.01993129, 0.2248697, 456.6512, 267.9016
-6.611214, 0.1961813, 0.2248697, 456.6512, 253.9594
-6.811183, 0.01993129, 0.2283601, 440.7403, 267.8405
-6.611214, 0.01993129, 0.2248697, 456.6512, 267.9016
-6.606906, 0.01993132, 0.4716406, 450.1547, 263.7139
-6.806876, 0.01993132, 0.4751311, 434.7477, 263.6566
-6.811183, 0.1961813, 0.2283601, 440.7403, 253.9046
-6.811183, 0.01993129, 0.2283601, 440.7403, 267.8405
-6.806876, 0.01993132, 0.4751311, 434.7477, 263.6566
-6.806876, 0.1961813, 0.4751311, 434.7477, 250.1597
-6.611214, 0.1961813, 0.2248697, 456.6512, 253.9594
-6.611214, 0.01993129, 0.2248697, 456.6512, 267.9016
-6.811183, 0.01993129, 0.2283601, 440.7403, 267.8405
-6.811183, 0.1961813, 0.2283601, 440.7403, 253.9046
box_3_Hareli(Clone) stack 116 Shelf_0 Rack_1_1_0
-6.990609, 0.1692639, 0.2472439, 426.0903, 255.7325
-7.190121, 0.1692639, 0.2332926, 410.6673, 255.9543
-7.205468, 0.1692639, 0.4527568, 404.6946, 252.5567
-7.005955, 0.1692639, 0.4667081, 419.6958, 252.3471
-7.205468, 0.1692639, 0.4527568, 404.6946, 252.5567
-7.205468, 0.01926389, 0.4527568, 404.6946, 264.0763
-7.005955, 0.01926389, 0.4667081, 419.6958, 263.8462
-7.005955, 0.1692639, 0.4667081, 419.6958, 252.3471
-7.005955, 0.1692639, 0.4667081, 419.6958, 252.3471
-7.005955, 0.01926389, 0.4667081, 419.6958, 263.8462
-6.990609, 0.01926386, 0.247244, 426.0903, 267.5634
-6.990609, 0.1692639, 0.2472439, 426.0903, 255.7325
-7.190121, 0.01926386, 0.2332927, 410.6673, 267.8069
-6.990609, 0.01926386, 0.247244, 426.0903, 267.5634
-7.005955, 0.01926389, 0.4667081, 419.6958, 263.8462
-7.205468, 0.01926389, 0.4527568, 404.6946, 264.0763
-7.190121, 0.1692639, 0.2332926, 410.6673, 255.9543
-7.190121, 0.01926386, 0.2332927, 410.6673, 267.8069
-7.205468, 0.01926389, 0.4527568, 404.6946, 264.0763
-7.205468, 0.1692639, 0.4527568, 404.6946, 252.5567
-6.990609, 0.1692639, 0.2472439, 426.0903, 255.7325
-6.990609, 0.01926386, 0.247244, 426.0903, 267.5634
-7.190121, 0.01926386, 0.2332927, 410.6673, 267.8069
-7.190121, 0.1692639, 0.2332926, 410.6673, 255.9543
box_1_Parle-G-GOLD(Clone) stack 117 Shelf_0 Rack_1_1_0
-7.368715, 0.1916559, 0.2474137, 396.2647, 253.9638
-7.568684, 0.1916559, 0.2439232, 380.5576, 254.0184
-7.572326, 0.1916559, 0.4525871, 376.5238, 250.8396
-7.372357, 0.1916559, 0.4560776, 391.8134, 250.7878
-7.572326, 0.1916559, 0.4525871, 376.5238, 250.8396
-7.572326, 0.01915592, 0.4525871, 376.5238, 264.0874
-7.372357, 0.01915592, 0.4560776, 391.8134, 264.0298
-7.372357, 0.1916559, 0.4560776, 391.8134, 250.7878
-7.372357, 0.1916559, 0.4560776, 391.8134, 250.7878
-7.372357, 0.01915592, 0.4560776, 391.8134, 264.0298
-7.368715, 0.01915589, 0.2474137, 396.2647, 267.5689
-7.368715, 0.1916559, 0.2474137, 396.2647, 253.9638
-7.568684, 0.01915589, 0.2439232, 380.5576, 267.6298
-7.368715, 0.01915589, 0.2474137, 396.2647, 267.5689
-7.372357, 0.01915592, 0.4560776, 391.8134, 264.0298
-7.572326, 0.01915592, 0.4525871, 376.5238, 264.0874
-7.568684, 0.1916559, 0.2439232, 380.5576, 254.0184
-7.568684, 0.01915589, 0.2439232, 380.5576, 267.6298
-7.572326, 0.01915592, 0.4525871, 376.5238, 264.0874
-7.572326, 0.1916559, 0.4525871, 376.5238, 250.8396
-7.368715, 0.1916559, 0.2474137, 396.2647, 253.9638
-7.368715, 0.01915589, 0.2474137, 396.2647, 267.5689
-7.568684, 0.01915589, 0.2439232, 380.5576, 267.6298
-7.568684, 0.1916559, 0.2439232, 380.5576, 254.0184
box_1_Parle-G-GOLD(Clone) stack 117 Shelf_0 Rack_1_1_0
-7.372357, 0.3641559, 0.2439232, 396.0491, 240.407
-7.572326, 0.3641559, 0.2474137, 380.2059, 240.3586
-7.568684, 0.3641559, 0.4560776, 376.7424, 237.5459
-7.368715, 0.3641559, 0.4525871, 392.1609, 237.5917
-7.568684, 0.3641559, 0.4560776, 376.7424, 237.5459
-7.568684, 0.1916559, 0.4560776, 376.7424, 250.7878
-7.368715, 0.1916559, 0.4525871, 392.1609, 250.8396
-7.368715, 0.3641559, 0.4525871, 392.1609, 237.5917
-7.368715, 0.3641559, 0.4525871, 392.1609, 237.5917
-7.368715, 0.1916559, 0.4525871, 392.1609, 250.8396
-7.372357, 0.1916559, 0.2439232, 396.0491, 254.0184
-7.372357, 0.3641559, 0.2439232, 396.0491, 240.407
-7.572326, 0.1916559, 0.2474137, 380.2059, 253.9638
-7.372357, 0.1916559, 0.2439232, 396.0491, 254.0184
-7.368715, 0.1916559, 0.4525871, 392.1609, 250.8396
-7.568684, 0.1916559, 0.4560776, 376.7424, 250.7878
-7.572326, 0.3641559, 0.2474137, 380.2059, 240.3586
-7.572326, 0.1916559, 0.2474137, 380.2059, 253.9638
-7.568684, 0.1916559, 0.4560776, 376.7424, 250.7878
-7.568684, 0.3641559, 0.4560776, 376.7424, 237.5459
-7.372357, 0.3641559, 0.2439232, 396.0491, 240.407
-7.372357, 0.1916559, 0.2439232, 396.0491, 254.0184
-7.572326, 0.1916559, 0.2474137, 380.2059, 253.9638
-7.572326, 0.3641559, 0.2474137, 380.2059, 240.3586
box4_Fairever(Clone) stack 118 Shelf_0 Rack_1_1_0
-7.730128, 0.1847178, 0.2429189, 367.8354, 254.5816
-7.929032, 0.1847178, 0.2220132, 352.4477, 254.9113
-7.953739, 0.1847178, 0.4570819, 347.1699, 251.3055
-7.754835, 0.1847178, 0.4779876, 362.1102, 250.9953
-7.953739, 0.1847178, 0.4570819, 347.1699, 251.3055
-7.953739, 0.01971789, 0.4570819, 347.1699, 263.97
-7.754835, 0.01971789, 0.4779876, 362.1102, 263.626
-7.754835, 0.1847178, 0.4779876, 362.1102, 250.9953
-7.754835, 0.1847178, 0.4779876, 362.1102, 250.9953
-7.754835, 0.01971789, 0.4779876, 362.1102, 263.626
-7.730128, 0.01971789, 0.2429189, 367.8354, 267.6029
-7.730128, 0.1847178, 0.2429189, 367.8354, 254.5816
-7.929032, 0.01971789, 0.2220132, 352.4477, 267.9686
-7.730128, 0.01971789, 0.2429189, 367.8354, 267.6029
-7.754835, 0.01971789, 0.4779876, 362.1102, 263.626
-7.953739, 0.01971789, 0.4570819, 347.1699, 263.97
-7.929032, 0.1847178, 0.2220132, 352.4477, 254.9113
-7.929032, 0.01971789, 0.2220132, 352.4477, 267.9686
-7.953739, 0.01971789, 0.4570819, 347.1699, 263.97
-7.953739, 0.1847178, 0.4570819, 347.1699, 251.3055
-7.730128, 0.1847178, 0.2429189, 367.8354, 254.5816
-7.730128, 0.01971789, 0.2429189, 367.8354, 267.6029
-7.929032, 0.01971789, 0.2220132, 352.4477, 267.9686
-7.929032, 0.1847178, 0.2220132, 352.4477, 254.9113
box4_Fairever(Clone) stack 118 Shelf_0 Rack_1_1_0
-7.744011, 0.3497178, 0.2300913, 366.954, 241.7404
-7.943981, 0.3497178, 0.2335818, 351.0952, 241.6913
-7.939856, 0.3497179, 0.4699094, 348.0582, 238.4711
-7.739886, 0.3497179, 0.4664189, 363.4367, 238.5172
-7.939856, 0.3497179, 0.4699094, 348.0582, 238.4711
-7.939856, 0.1847179, 0.4699094, 348.0582, 251.1149
-7.739886, 0.1847179, 0.4664189, 363.4367, 251.1667
-7.739886, 0.3497179, 0.4664189, 363.4367, 238.5172
-7.739886, 0.3497179, 0.4664189, 363.4367, 238.5172
-7.739886, 0.1847179, 0.4664189, 363.4367, 251.1667
-7.744011, 0.1847178, 0.2300914, 366.954, 254.7837
-7.744011, 0.3497178, 0.2300913, 366.954, 241.7404
-7.943981, 0.1847178, 0.2335818, 351.0952, 254.7287
-7.744011, 0.1847178, 0.2300914, 366.954, 254.7837
-7.739886, 0.1847179, 0.4664189, 363.4367, 251.1667
-7.939856, 0.1847179, 0.4699094, 348.0582, 251.1149
-7.943981, 0.3497178, 0.2335818, 351.0952, 241.6913
-7.943981, 0.1847178, 0.2335818, 351.0952, 254.7287
-7.939856, 0.1847179, 0.4699094, 348.0582, 251.1149
-7.939856, 0.3497179, 0.4699094, 348.0582, 238.4711
-7.744011, 0.3497178, 0.2300913, 366.954, 241.7404
-7.744011, 0.1847178, 0.2300914, 366.954, 254.7837
-7.943981, 0.1847178, 0.2335818, 351.0952, 254.7287
-7.943981, 0.3497178, 0.2335818, 351.0952, 241.6913
box4_Fairever(Clone) stack 118 Shelf_0 Rack_1_1_0
-7.728276, 0.5147178, 0.2448864, 367.9485, 228.5148
-7.926785, 0.5147178, 0.2205126, 352.6479, 228.8155
-7.955591, 0.5147178, 0.4551143, 347.0547, 225.9992
-7.757082, 0.5147178, 0.4794882, 361.9149, 225.7163
-7.955591, 0.5147178, 0.4551143, 347.0547, 225.9992
-7.955591, 0.3497178, 0.4551143, 347.0547, 238.667
-7.757082, 0.3497178, 0.4794882, 361.9149, 238.3447
-7.757082, 0.5147178, 0.4794882, 361.9149, 225.7163
-7.757082, 0.5147178, 0.4794882, 361.9149, 225.7163
-7.757082, 0.3497178, 0.4794882, 361.9149, 238.3447
-7.728276, 0.3497178, 0.2448865, 367.9485, 241.5327
-7.728276, 0.5147178, 0.2448864, 367.9485, 228.5148
-7.926785, 0.3497178, 0.2205126, 352.6479, 241.8753
-7.728276, 0.3497178, 0.2448865, 367.9485, 241.5327
-7.757082, 0.3497178, 0.4794882, 361.9149, 238.3447
-7.955591, 0.3497178, 0.4551143, 347.0547, 238.667
-7.926785, 0.5147178, 0.2205126, 352.6479, 228.8155
-7.926785, 0.3497178, 0.2205126, 352.6479, 241.8753
-7.955591, 0.3497178, 0.4551143, 347.0547, 238.667
-7.955591, 0.5147178, 0.4551143, 347.0547, 225.9992
