box_8_lizol(Clone) stack 115 Shelf_0 Rack_1_1_0
-6.811183, 0.1961813, 0.2283601, 472.3677, 253.9046
-6.806876, 0.1961813, 0.4751311, 465.379, 250.1597
-6.806876, 0.1961813, 0.4751311, 465.379, 250.1597
-6.806876, 0.01993132, 0.4751311, 465.379, 263.6566
-6.811183, 0.01993129, 0.2283601, 472.3677, 267.8405
-6.806876, 0.01993132, 0.4751311, 465.379, 263.6566
-6.811183, 0.1961813, 0.2283601, 472.3677, 253.9046
-6.811183, 0.01993129, 0.2283601, 472.3677, 267.8405
-6.806876, 0.01993132, 0.4751311, 465.379, 263.6566
-6.806876, 0.1961813, 0.4751311, 465.379, 250.1597
-6.811183, 0.01993129, 0.2283601, 472.3677, 267.8405
-6.811183, 0.1961813, 0.2283601, 472.3677, 253.9046
box_3_Hareli(Clone) stack 116 Shelf_0 Rack_1_1_0
-6.990609, 0.1692639, 0.2472439, 457.6392, 255.7325
-7.190121, 0.1692639, 0.2332926, 442.2742, 255.9543
-7.205468, 0.1692639, 0.4527568, 435.4136, 252.5567
-7.005955, 0.1692639, 0.4667081, 450.36, 252.3471
-7.205468, 0.1692639, 0.4527568, 435.4136, 252.5567
-7.205468, 0.01926389, 0.4527568, 435.4136, 264.0763
-7.005955, 0.01926389, 0.4667081, 450.36, 263.8462
-7.005955, 0.1692639, 0.4667081, 450.36, 252.3471
-7.005955, 0.1692639, 0.4667081, 450.36, 252.3471
-7.005955, 0.01926389, 0.4667081, 450.36, 263.8462
-6.990609, 0.01926386, 0.247244, 457.6392, 267.5634
-6.990609, 0.1692639, 0.2472439, 457.6392, 255.7325
-7.190121, 0.01926386, 0.2332927, 442.2742, 267.8069
-6.990609, 0.01926386, 0.247244, 457.6392, 267.5634
-7.005955, 0.01926389, 0.4667081, 450.36, 263.8462
-7.205468, 0.01926389, 0.4527568, 435.4136, 264.0763
-7.190121, 0.1692639, 0.2332926, 442.2742, 255.9543
-7.190121, 0.01926386, 0.2332927, 442.2742, 267.8069
-7.205468, 0.01926389, 0.4527568, 435.4136, 264.0763
-7.205468, 0.1692639, 0.4527568, 435.4136, 252.5567
-6.990609, 0.1692639, 0.2472439, 457.6392, 255.7325
-6.990609, 0.01926386, 0.247244, 457.6392, 267.5634
-7.190121, 0.01926386, 0.2332927, 442.2742, 267.8069
-7.190121, 0.1692639, 0.2332926, 442.2742, 255.9543
box_1_Parle-G-GOLD(Clone) stack 117 Shelf_0 Rack_1_1_0
-7.368715, 0.1916559, 0.2474137, 427.813, 253.9638
-7.568684, 0.1916559, 0.2439232, 412.1203, 254.0184
-7.572326, 0.1916559, 0.4525871, 407.2435, 250.8396
-7.372357, 0.1916559, 0.4560776, 422.5194, 250.7878
-7.572326, 0.1916559, 0.4525871, 407.2435, 250.8396
-7.572326, 0.01915592, 0.4525871, 407.2435, 264.0874
-7.372357, 0.01915592, 0.4560776, 422.5194, 264.0298
-7.372357, 0.1916559, 0.4560776, 422.5194, 250.7878
-7.372357, 0.1916559, 0.4560776, 422.5194, 250.7878
-7.372357, 0.01915592, 0.4560776, 422.5194, 264.0298
-7.368715, 0.01915589, 0.2474137, 427.813, 267.5689
-7.368715, 0.1916559, 0.2474137, 427.813, 253.9638
-7.568684, 0.01915589, 0.2439232, 412.1203, 267.6298
-7.368715, 0.01915589, 0.2474137, 427.813, 267.5689
-7.372357, 0.01915592, 0.4560776, 422.5194, 264.0298
-7.572326, 0.01915592, 0.4525871, 407.2435, 264.0874
-7.568684, 0.1916559, 0.2439232, 412.1203, 254.0184
-7.568684, 0.01915589, 0.2439232, 412.1203, 267.6298
-7.572326, 0.01915592, 0.4525871, 407.2435, 264.0874
-7.572326, 0.1916559, 0.4525871, 407.2435, 250.8396
-7.368715, 0.1916559, 0.2474137, 427.813, 253.9638
-7.368715, 0.01915589, 0.2474137, 427.813, 267.5689
-7.568684, 0.01915589, 0.2439232, 412.1203, 267.6298
