box_5_LMRR(Clone) stack 41 Shelf_0 Rack_1_0_0
-7.140437, 0.162368, 8.493829, 477.5578, 252.4687
-7.140437, 0.162368, 8.493829, 477.5578, 252.4687
-7.140437, 0.01986802, 8.493829, 477.5578, 263.3551
-7.140437, 0.01986802, 8.493829, 477.5578, 263.3551
-7.140437, 0.01986802, 8.493829, 477.5578, 263.3551
-7.140437, 0.162368, 8.493829, 477.5578, 252.4687
box_1_Parle-G-GOLD(Clone) stack 42 Shelf_0 Rack_1_0_0
-7.345678, 0.1916559, 8.235771, 469.4163, 254.1461
-7.544582, 0.1916559, 8.256677, 453.118, 253.8191
-7.522768, 0.1916559, 8.46423, 449.1375, 250.6672
-7.323863, 0.1916559, 8.443324, 464.9915, 250.9771
-7.522768, 0.1916559, 8.46423, 449.1375, 250.6672
-7.522768, 0.0191559, 8.46423, 449.1375, 263.8953
-7.323863, 0.0191559, 8.443324, 464.9915, 264.2406
-7.323863, 0.1916559, 8.443324, 464.9915, 250.9771
-7.323863, 0.1916559, 8.443324, 464.9915, 250.9771
-7.323863, 0.0191559, 8.443324, 464.9915, 264.2406
-7.345678, 0.0191559, 8.235771, 469.4163, 267.7721
-7.345678, 0.1916559, 8.235771, 469.4163, 254.1461
-7.544582, 0.0191559, 8.256677, 453.118, 267.4077
-7.345678, 0.0191559, 8.235771, 469.4163, 267.7721
-7.323863, 0.0191559, 8.443324, 464.9915, 264.2406
-7.522768, 0.0191559, 8.46423, 449.1375, 263.8953
-7.544582, 0.1916559, 8.256677, 453.118, 253.8191
-7.544582, 0.0191559, 8.256677, 453.118, 267.4077
-7.522768, 0.0191559, 8.46423, 449.1375, 263.8953
-7.522768, 0.1916559, 8.46423, 449.1375, 250.6672
-7.345678, 0.1916559, 8.235771, 469.4163, 254.1461
-7.345678, 0.0191559, 8.235771, 469.4163, 267.7721
-7.544582, 0.0191559, 8.256677, 453.118, 267.4077
-7.544582, 0.1916559, 8.256677, 453.118, 253.8191
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.726587, 0.1961813, 8.21682, 439.8263, 254.0858
-7.925492, 0.1961813, 8.237725, 423.5687, 253.7581
-7.899693, 0.1961813, 8.483181, 419.7974, 250.0415
-7.700789, 0.1961813, 8.462276, 435.5348, 250.349
-7.899693, 0.1961813, 8.483181, 419.7974, 250.0415
-7.899693, 0.0199313, 8.483181, 419.7974, 263.5245
-7.700789, 0.0199313, 8.462276, 435.5348, 263.868
-7.700789, 0.1961813, 8.462276, 435.5348, 250.349
-7.700789, 0.1961813, 8.462276, 435.5348, 250.349
-7.700789, 0.0199313, 8.462276, 435.5348, 263.868
-7.726587, 0.0199313, 8.21682, 439.8263, 268.0428
-7.726587, 0.1961813, 8.21682, 439.8263, 254.0858
-7.925492, 0.0199313, 8.237725, 423.5687, 267.6767
-7.726587, 0.0199313, 8.21682, 439.8263, 268.0428
-7.700789, 0.0199313, 8.462276, 435.5348, 263.868
-7.899693, 0.0199313, 8.483181, 419.7974, 263.5245
-7.925492, 0.1961813, 8.237725, 423.5687, 253.7581
-7.925492, 0.0199313, 8.237725, 423.5687, 267.6767
-7.899693, 0.0199313, 8.483181, 419.7974, 263.5245
-7.899693, 0.1961813, 8.483181, 419.7974, 250.0415
-7.726587, 0.1961813, 8.21682, 439.8263, 254.0858
-7.726587, 0.0199313, 8.21682, 439.8263, 268.0428
-7.925492, 0.0199313, 8.237725, 423.5687, 267.6767
-7.925492, 0.1961813, 8.237725, 423.5687, 253.7581
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.698847, 0.3724313, 8.239703, 441.4147, 239.8122
-7.897356, 0.3724313, 8.215329, 426.34, 240.1494
-7.927434, 0.3724313, 8.460298, 418.1952, 236.8556
-7.728925, 0.3724313, 8.484672, 432.8245, 236.5391
-7.927434, 0.3724313, 8.460298, 418.1952, 236.8556
-7.927434, 0.1961813, 8.460298, 418.1952, 250.3781
-7.728925, 0.1961813, 8.484672, 432.8245, 250.0196
-7.728925, 0.3724313, 8.484672, 432.8245, 236.5391
-7.728925, 0.3724313, 8.484672, 432.8245, 236.5391
-7.728925, 0.1961813, 8.484672, 432.8245, 250.0196
-7.698847, 0.1961813, 8.239703, 441.4147, 253.7272
-7.698847, 0.3724313, 8.239703, 441.4147, 239.8122
-7.897356, 0.1961813, 8.215329, 426.34, 254.1092
-7.698847, 0.1961813, 8.239703, 441.4147, 253.7272
-7.728925, 0.1961813, 8.484672, 432.8245, 250.0196
-7.927434, 0.1961813, 8.460298, 418.1952, 250.3781
-7.897356, 0.3724313, 8.215329, 426.34, 240.1494
-7.897356, 0.1961813, 8.215329, 426.34, 254.1092
-7.927434, 0.1961813, 8.460298, 418.1952, 250.3781
-7.927434, 0.3724313, 8.460298, 418.1952, 236.8556
-7.698847, 0.3724313, 8.239703, 441.4147, 239.8122
-7.698847, 0.1961813, 8.239703, 441.4147, 253.7272
-7.897356, 0.1961813, 8.215329, 426.34, 254.1092
-7.897356, 0.3724313, 8.215329, 426.34, 240.1494
