box_3_Hareli(Clone) stack 116 Shelf_0 Rack_1_1_0
-7.190121, 0.1692639, 0.2332926, 473.881, 255.9543
-7.205468, 0.1692639, 0.4527568, 466.1326, 252.5567
-7.205468, 0.1692639, 0.4527568, 466.1326, 252.5567
-7.205468, 0.01926389, 0.4527568, 466.1326, 264.0763
-7.190121, 0.01926386, 0.2332927, 473.881, 267.8069
-7.205468, 0.01926389, 0.4527568, 466.1326, 264.0763
-7.190121, 0.1692639, 0.2332926, 473.881, 255.9543
-7.190121, 0.01926386, 0.2332927, 473.881, 267.8069
-7.205468, 0.01926389, 0.4527568, 466.1326, 264.0763
-7.205468, 0.1692639, 0.4527568, 466.1326, 252.5567
-7.190121, 0.01926386, 0.2332927, 473.881, 267.8069
-7.190121, 0.1692639, 0.2332926, 473.881, 255.9543
box_1_Parle-G-GOLD(Clone) stack 117 Shelf_0 Rack_1_1_0
-7.368715, 0.1916559, 0.2474137, 459.3611, 253.9638
-7.568684, 0.1916559, 0.2439232, 443.6829, 254.0184
-7.572326, 0.1916559, 0.4525871, 437.9632, 250.8396
-7.372357, 0.1916559, 0.4560776, 453.2253, 250.7878
-7.572326, 0.1916559, 0.4525871, 437.9632, 250.8396
-7.572326, 0.01915592, 0.4525871, 437.9632, 264.0874
-7.372357, 0.01915592, 0.4560776, 453.2253, 264.0298
-7.372357, 0.1916559, 0.4560776, 453.2253, 250.7878
-7.372357, 0.1916559, 0.4560776, 453.2253, 250.7878
-7.372357, 0.01915592, 0.4560776, 453.2253, 264.0298
-7.368715, 0.01915589, 0.2474137, 459.3611, 267.5689
-7.368715, 0.1916559, 0.2474137, 459.3611, 253.9638
-7.568684, 0.01915589, 0.2439232, 443.6829, 267.6298
-7.368715, 0.01915589, 0.2474137, 459.3611, 267.5689
-7.372357, 0.01915592, 0.4560776, 453.2253, 264.0298
-7.572326, 0.01915592, 0.4525871, 437.9632, 264.0874
-7.568684, 0.1916559, 0.2439232, 443.6829, 254.0184
-7.568684, 0.01915589, 0.2439232, 443.6829, 267.6298
-7.572326, 0.01915592, 0.4525871, 437.9632, 264.0874
-7.572326, 0.1916559, 0.4525871, 437.9632, 250.8396
-7.368715, 0.1916559, 0.2474137, 459.3611, 253.9638
-7.368715, 0.01915589, 0.2474137, 459.3611, 267.5689
-7.568684, 0.01915589, 0.2439232, 443.6829, 267.6298
-7.568684, 0.1916559, 0.2439232, 443.6829, 254.0184
box_1_Parle-G-GOLD(Clone) stack 117 Shelf_0 Rack_1_1_0
-7.372357, 0.3641559, 0.2439232, 459.1744, 240.407
-7.572326, 0.3641559, 0.2474137, 443.3022, 240.3586
-7.568684, 0.3641559, 0.4560776, 438.1543, 237.5459
-7.368715, 0.3641559, 0.4525871, 453.6003, 237.5917
-7.568684, 0.3641559, 0.4560776, 438.1543, 237.5459
-7.568684, 0.1916559, 0.4560776, 438.1543, 250.7878
-7.368715, 0.1916559, 0.4525871, 453.6003, 250.8396
-7.368715, 0.3641559, 0.4525871, 453.6003, 237.5917
-7.368715, 0.3641559, 0.4525871, 453.6003, 237.5917
-7.368715, 0.1916559, 0.4525871, 453.6003, 250.8396
-7.372357, 0.1916559, 0.2439232, 459.1744, 254.0184
-7.372357, 0.3641559, 0.2439232, 459.1744, 240.407
-7.572326, 0.1916559, 0.2474137, 443.3022, 253.9638
-7.372357, 0.1916559, 0.2439232, 459.1744, 254.0184
-7.368715, 0.1916559, 0.4525871, 453.6003, 250.8396
-7.568684, 0.1916559, 0.4560776, 438.1543, 250.7878
-7.572326, 0.3641559, 0.2474137, 443.3022, 240.3586
-7.572326, 0.1916559, 0.2474137, 443.3022, 253.9638
-7.568684, 0.1916559, 0.4560776, 438.1543, 250.7878
-7.568684, 0.3641559, 0.4560776, 438.1543, 237.5459
-7.372357, 0.3641559, 0.2439232, 459.1744, 240.407
-7.372357, 0.1916559, 0.2439232, 459.1744, 254.0184
-7.572326, 0.1916559, 0.2474137, 443.3022, 253.9638
-7.572326, 0.3641559, 0.2474137, 443.3022, 240.3586
box4_Fairever(Clone) stack 118 Shelf_0 Rack_1_1_0
-7.730128, 0.1847178, 0.2429189, 430.9691, 254.5816
-7.929032, 0.1847178, 0.2220132, 415.7555, 254.9113
-7.953739, 0.1847178, 0.4570819, 408.574, 251.3055
-7.754835, 0.1847178, 0.4779876, 423.3504, 250.9953
-7.953739, 0.1847178, 0.4570819, 408.574, 251.3055
-7.953739, 0.01971789, 0.4570819, 408.574, 263.97
-7.754835, 0.01971789, 0.4779876, 423.3504, 263.626
-7.754835, 0.1847178, 0.4779876, 423.3504, 250.9953
-7.754835, 0.1847178, 0.4779876, 423.3504, 250.9953
-7.754835, 0.01971789, 0.4779876, 423.3504, 263.626
-7.730128, 0.01971789, 0.2429189, 430.9691, 267.6029
-7.730128, 0.1847178, 0.2429189, 430.9691, 254.5816
-7.929032, 0.01971789, 0.2220132, 415.7555, 267.9686
-7.730128, 0.01971789, 0.2429189, 430.9691, 267.6029
-7.754835, 0.01971789, 0.4779876, 423.3504, 263.626
-7.953739, 0.01971789, 0.4570819, 408.574, 263.97
-7.929032, 0.1847178, 0.2220132, 415.7555, 254.9113
-7.929032, 0.01971789, 0.2220132, 415.7555, 267.9686
-7.953739, 0.01971789, 0.4570819, 408.574, 263.97
-7.953739, 0.1847178, 0.4570819, 408.574, 251.3055
-7.730128, 0.1847178, 0.2429189, 430.9691, 254.5816
-7.730128, 0.01971789, 0.2429189, 430.9691, 267.6029
-7.929032, 0.01971789, 0.2220132, 415.7555, 267.9686
-7.929032, 0.1847178, 0.2220132, 415.7555, 254.9113
box4_Fairever(Clone) stack 118 Shelf_0 Rack_1_1_0
-7.744011, 0.3497178, 0.2300913, 430.1944, 241.7404
-7.943981, 0.3497178, 0.2335818, 414.3066, 241.6913
-7.939856, 0.3497179, 0.4699094, 409.3616, 238.4711
-7.739886, 0.3497179, 0.4664189, 424.7675, 238.5172
-7.939856, 0.3497179, 0.4699094, 409.3616, 238.4711
-7.939856, 0.1847179, 0.4699094, 409.3616, 251.1149
-7.739886, 0.1847179, 0.4664189, 424.7675, 251.1667
-7.739886, 0.3497179, 0.4664189, 424.7675, 238.5172
-7.739886, 0.3497179, 0.4664189, 424.7675, 238.5172
-7.739886, 0.1847179, 0.4664189, 424.7675, 251.1667
-7.744011, 0.1847178, 0.2300914, 430.1944, 254.7837
-7.744011, 0.3497178, 0.2300913, 430.1944, 241.7404
-7.943981, 0.1847178, 0.2335818, 414.3066, 254.7287
-7.744011, 0.1847178, 0.2300914, 430.1944, 254.7837
-7.739886, 0.1847179, 0.4664189, 424.7675, 251.1667
