box_3_Hareli(Clone) stack 80 Shelf_0 Rack_0_1_0
1.512241, 0.1692639, 0.2365774, 470.0173, 255.902
1.504563, 0.1692639, 0.4564434, 462.9579, 252.5012
1.704441, 0.1692639, 0.4634233, 478.0882, 252.3964
1.504563, 0.1692639, 0.4564434, 462.9579, 252.5012
1.504563, 0.01926389, 0.4564435, 462.9579, 264.0154
1.704441, 0.01926389, 0.4634234, 478.0882, 263.9003
1.704441, 0.1692639, 0.4634233, 478.0882, 252.3964
1.704441, 0.1692639, 0.4634233, 478.0882, 252.3964
1.704441, 0.01926389, 0.4634234, 478.0882, 263.9003
1.512241, 0.01926386, 0.2365774, 470.0173, 267.7495
1.704441, 0.01926389, 0.4634234, 478.0882, 263.9003
1.504563, 0.01926389, 0.4564435, 462.9579, 264.0154
1.512241, 0.1692639, 0.2365774, 470.0173, 255.902
1.512241, 0.01926386, 0.2365774, 470.0173, 267.7495
1.504563, 0.01926389, 0.4564435, 462.9579, 264.0154
1.504563, 0.1692639, 0.4564434, 462.9579, 252.5012
1.512241, 0.01926386, 0.2365774, 470.0173, 267.7495
1.512241, 0.1692639, 0.2365774, 470.0173, 255.902
box_6_melody(Clone) stack 84 Shelf_1 Rack_0_1_0
1.522443, 1.391943, 0.2187079, 471.3674, 159.3886
1.493194, 1.391943, 0.456919, 462.0717, 158.6454
1.691703, 1.391943, 0.4812929, 476.571, 158.5719
1.493194, 1.391943, 0.456919, 462.0717, 158.6454
1.493194, 1.204443, 0.456919, 462.0717, 173.0373
1.691703, 1.204443, 0.4812929, 476.571, 172.919
1.691703, 1.391943, 0.4812929, 476.571, 158.5719
1.691703, 1.391943, 0.4812929, 476.571, 158.5719
1.691703, 1.204443, 0.4812929, 476.571, 172.919
1.522443, 1.204443, 0.2187079, 471.3674, 174.2328
1.691703, 1.204443, 0.4812929, 476.571, 172.919
1.493194, 1.204443, 0.456919, 462.0717, 173.0373
1.522443, 1.391943, 0.2187079, 471.3674, 159.3886
1.522443, 1.204443, 0.2187079, 471.3674, 174.2328
1.493194, 1.204443, 0.456919, 462.0717, 173.0373
1.493194, 1.391943, 0.456919, 462.0717, 158.6454
1.522443, 1.204443, 0.2187079, 471.3674, 174.2328
1.522443, 1.391943, 0.2187079, 471.3674, 159.3886
box_6_melody(Clone) stack 84 Shelf_1 Rack_0_1_0
