box_3_Hareli(Clone) stack 80 Shelf_0 Rack_0_1_0
1.712119, 0.1692639, 0.2435573, 477.6876, 255.7911
1.512241, 0.1692639, 0.2365774, 462.119, 255.902
1.504563, 0.1692639, 0.4564434, 455.2818, 252.5012
1.704441, 0.1692639, 0.4634233, 470.4189, 252.3964
1.504563, 0.1692639, 0.4564434, 455.2818, 252.5012
1.504563, 0.01926389, 0.4564435, 455.2818, 264.0154
1.704441, 0.01926389, 0.4634234, 470.4189, 263.9003
1.704441, 0.1692639, 0.4634233, 470.4189, 252.3964
1.704441, 0.1692639, 0.4634233, 470.4189, 252.3964
1.704441, 0.01926389, 0.4634234, 470.4189, 263.9003
1.712119, 0.01926386, 0.2435573, 477.6876, 267.6276
1.712119, 0.1692639, 0.2435573, 477.6876, 255.7911
1.512241, 0.01926386, 0.2365774, 462.119, 267.7495
1.712119, 0.01926386, 0.2435573, 477.6876, 267.6276
1.704441, 0.01926389, 0.4634234, 470.4189, 263.9003
1.504563, 0.01926389, 0.4564435, 455.2818, 264.0154
1.512241, 0.1692639, 0.2365774, 462.119, 255.902
1.512241, 0.01926386, 0.2365774, 462.119, 267.7495
1.504563, 0.01926389, 0.4564435, 455.2818, 264.0154
1.504563, 0.1692639, 0.4564434, 455.2818, 252.5012
1.712119, 0.1692639, 0.2435573, 477.6876, 255.7911
1.712119, 0.01926386, 0.2435573, 477.6876, 267.6276
1.512241, 0.01926386, 0.2365774, 462.119, 267.7495
1.512241, 0.1692639, 0.2365774, 462.119, 255.902
box_6_melody(Clone) stack 84 Shelf_1 Rack_0_1_0
1.720952, 1.391943, 0.2430817, 478.3995, 159.3105
1.522443, 1.391943, 0.2187079, 463.4505, 159.3886
1.493194, 1.391943, 0.456919, 454.396, 158.6454
1.691703, 1.391943, 0.4812929, 468.9191, 158.5719
1.493194, 1.391943, 0.456919, 454.396, 158.6454
1.493194, 1.204443, 0.456919, 454.396, 173.0373
1.691703, 1.204443, 0.4812929, 468.9191, 172.919
1.691703, 1.391943, 0.4812929, 468.9191, 158.5719
1.691703, 1.391943, 0.4812929, 468.9191, 158.5719
1.691703, 1.204443, 0.4812929, 468.9191, 172.919
1.720952, 1.204443, 0.2430817, 478.3995, 174.1071
1.720952, 1.391943, 0.2430817, 478.3995, 159.3105
1.522443, 1.204443, 0.2187079, 463.4505, 174.2328
1.720952, 1.204443, 0.2430817, 478.3995, 174.1071
1.691703, 1.204443, 0.4812929, 468.9191, 172.919
1.493194, 1.204443, 0.456919, 454.396, 173.0373
1.522443, 1.391943, 0.2187079, 463.4505, 159.3886
1.522443, 1.204443, 0.2187079, 463.4505, 174.2328
1.493194, 1.204443, 0.456919, 454.396, 173.0373
1.493194, 1.391943, 0.456919, 454.396, 158.6454
1.720952, 1.391943, 0.2430817, 478.3995, 159.3105
1.720952, 1.204443, 0.2430817, 478.3995, 174.1071
1.522443, 1.204443, 0.2187079, 463.4505, 174.2328
1.522443, 1.391943, 0.2187079, 463.4505, 159.3886
box_6_melody(Clone) stack 84 Shelf_1 Rack_0_1_0
1.702824, 1.579443, 0.2265834, 477.4843, 144.5345
1.502946, 1.579443, 0.2335633, 461.4727, 144.5257
1.511322, 1.579443, 0.4734173, 455.333, 144.2341
1.7112, 1.579443, 0.4664374, 470.8483, 144.2423
1.511322, 1.579443, 0.4734173, 455.333, 144.2341
1.511322, 1.391943, 0.4734173, 455.333, 158.5956
1.7112, 1.391943, 0.4664374, 470.8483, 158.6166
1.7112, 1.579443, 0.4664374, 470.8483, 144.2423
1.7112, 1.579443, 0.4664374, 470.8483, 144.2423
1.7112, 1.391943, 0.4664374, 470.8483, 158.6166
1.702824, 1.391943, 0.2265835, 477.4843, 159.3633
1.702824, 1.579443, 0.2265834, 477.4843, 144.5345
1.502946, 1.391943, 0.2335634, 461.4727, 159.3409
1.702824, 1.391943, 0.2265835, 477.4843, 159.3633
1.7112, 1.391943, 0.4664374, 470.8483, 158.6166
1.511322, 1.391943, 0.4734173, 455.333, 158.5956
1.502946, 1.579443, 0.2335633, 461.4727, 144.5257
1.502946, 1.391943, 0.2335634, 461.4727, 159.3409
1.511322, 1.391943, 0.4734173, 455.333, 158.5956
1.511322, 1.579443, 0.4734173, 455.333, 144.2341
1.702824, 1.579443, 0.2265834, 477.4843, 144.5345
1.702824, 1.391943, 0.2265835, 477.4843, 159.3633
1.502946, 1.391943, 0.2335634, 461.4727, 159.3409
1.502946, 1.579443, 0.2335633, 461.4727, 144.5257
box_6_melody(Clone) stack 84 Shelf_1 Rack_0_1_0
1.698459, 1.766943, 0.223317, 477.2412, 129.7034
1.498946, 1.766943, 0.2372683, 461.0489, 129.7131
1.515687, 1.766943, 0.4766837, 455.5775, 129.8746
1.7152, 1.766943, 0.4627324, 471.2645, 129.8655
1.515687, 1.766943, 0.4766837, 455.5775, 129.8746
1.515687, 1.579443, 0.4766838, 455.5775, 144.2302
1.7152, 1.579443, 0.4627325, 471.2645, 144.2467
1.7152, 1.766943, 0.4627324, 471.2645, 129.8655
1.7152, 1.766943, 0.4627324, 471.2645, 129.8655
1.7152, 1.579443, 0.4627325, 471.2645, 144.2467
1.698459, 1.579443, 0.223317, 477.2412, 144.5386
