box_1_Parle-G-GOLD(Clone) stack 42 Shelf_0 Rack_1_0_0
-7.522768, 0.1916559, 8.46423, 479.8114, 250.6672
-7.522768, 0.1916559, 8.46423, 479.8114, 250.6672
-7.522768, 0.0191559, 8.46423, 479.8114, 263.8953
-7.522768, 0.0191559, 8.46423, 479.8114, 263.8953
-7.522768, 0.0191559, 8.46423, 479.8114, 263.8953
-7.522768, 0.1916559, 8.46423, 479.8114, 250.6672
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.726587, 0.1961813, 8.21682, 471.5018, 254.0858
-7.925492, 0.1961813, 8.237725, 455.1571, 253.7581
-7.899693, 0.1961813, 8.483181, 450.3973, 250.0415
-7.700789, 0.1961813, 8.462276, 466.2164, 250.349
-7.899693, 0.1961813, 8.483181, 450.3973, 250.0415
-7.899693, 0.0199313, 8.483181, 450.3973, 263.5245
-7.700789, 0.0199313, 8.462276, 466.2164, 263.868
-7.700789, 0.1961813, 8.462276, 466.2164, 250.349
-7.700789, 0.1961813, 8.462276, 466.2164, 250.349
-7.700789, 0.0199313, 8.462276, 466.2164, 263.868
-7.726587, 0.0199313, 8.21682, 471.5018, 268.0428
-7.726587, 0.1961813, 8.21682, 471.5018, 254.0858
-7.925492, 0.0199313, 8.237725, 455.1571, 267.6767
-7.726587, 0.0199313, 8.21682, 471.5018, 268.0428
-7.700789, 0.0199313, 8.462276, 466.2164, 263.868
-7.899693, 0.0199313, 8.483181, 450.3973, 263.5245
-7.925492, 0.1961813, 8.237725, 455.1571, 253.7581
-7.925492, 0.0199313, 8.237725, 455.1571, 267.6767
-7.899693, 0.0199313, 8.483181, 450.3973, 263.5245
-7.899693, 0.1961813, 8.483181, 450.3973, 250.0415
-7.726587, 0.1961813, 8.21682, 471.5018, 254.0858
-7.726587, 0.0199313, 8.21682, 471.5018, 268.0428
-7.925492, 0.0199313, 8.237725, 455.1571, 267.6767
-7.925492, 0.1961813, 8.237725, 455.1571, 253.7581
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.698847, 0.3724313, 8.239703, 472.9949, 239.8122
-7.897356, 0.3724313, 8.215329, 458.0218, 240.1494
-7.927434, 0.3724313, 8.460298, 448.8846, 236.8556
-7.728925, 0.3724313, 8.484672, 463.4185, 236.5391
-7.927434, 0.3724313, 8.460298, 448.8846, 236.8556
-7.927434, 0.1961813, 8.460298, 448.8846, 250.3781
-7.728925, 0.1961813, 8.484672, 463.4185, 250.0196
-7.728925, 0.3724313, 8.484672, 463.4185, 236.5391
-7.728925, 0.3724313, 8.484672, 463.4185, 236.5391
-7.728925, 0.1961813, 8.484672, 463.4185, 250.0196
-7.698847, 0.1961813, 8.239703, 472.9949, 253.7272
-7.698847, 0.3724313, 8.239703, 472.9949, 239.8122
-7.897356, 0.1961813, 8.215329, 458.0218, 254.1092
-7.698847, 0.1961813, 8.239703, 472.9949, 253.7272
-7.728925, 0.1961813, 8.484672, 463.4185, 250.0196
-7.927434, 0.1961813, 8.460298, 448.8846, 250.3781
-7.897356, 0.3724313, 8.215329, 458.0218, 240.1494
-7.897356, 0.1961813, 8.215329, 458.0218, 254.1092
-7.927434, 0.1961813, 8.460298, 448.8846, 250.3781
-7.927434, 0.3724313, 8.460298, 448.8846, 236.8556
-7.698847, 0.3724313, 8.239703, 472.9949, 239.8122
-7.698847, 0.1961813, 8.239703, 472.9949, 253.7272
-7.897356, 0.1961813, 8.215329, 458.0218, 254.1092
