box_3_Hareli(Clone) stack 116 Shelf_0 Rack_1_1_0
-7.190121, 0.1692639, 0.2332926, 465.9793, 255.9543
-7.205468, 0.1692639, 0.4527568, 458.4529, 252.5567
-7.005955, 0.1692639, 0.4667081, 473.3582, 252.3471
-7.205468, 0.1692639, 0.4527568, 458.4529, 252.5567
-7.205468, 0.01926389, 0.4527568, 458.4529, 264.0763
-7.005955, 0.01926389, 0.4667081, 473.3582, 263.8462
-7.005955, 0.1692639, 0.4667081, 473.3582, 252.3471
-7.005955, 0.1692639, 0.4667081, 473.3582, 252.3471
-7.005955, 0.01926389, 0.4667081, 473.3582, 263.8462
-7.190121, 0.01926386, 0.2332927, 465.9793, 267.8069
-7.005955, 0.01926389, 0.4667081, 473.3582, 263.8462
-7.205468, 0.01926389, 0.4527568, 458.4529, 264.0763
-7.190121, 0.1692639, 0.2332926, 465.9793, 255.9543
-7.190121, 0.01926386, 0.2332927, 465.9793, 267.8069
-7.205468, 0.01926389, 0.4527568, 458.4529, 264.0763
-7.205468, 0.1692639, 0.4527568, 458.4529, 252.5567
-7.190121, 0.01926386, 0.2332927, 465.9793, 267.8069
-7.190121, 0.1692639, 0.2332926, 465.9793, 255.9543
box_1_Parle-G-GOLD(Clone) stack 117 Shelf_0 Rack_1_1_0
-7.368715, 0.1916559, 0.2474137, 451.4741, 253.9638
-7.568684, 0.1916559, 0.2439232, 435.7923, 254.0184
-7.572326, 0.1916559, 0.4525871, 430.2833, 250.8396
-7.372357, 0.1916559, 0.4560776, 445.5489, 250.7878
-7.572326, 0.1916559, 0.4525871, 430.2833, 250.8396
-7.572326, 0.01915592, 0.4525871, 430.2833, 264.0874
-7.372357, 0.01915592, 0.4560776, 445.5489, 264.0298
-7.372357, 0.1916559, 0.4560776, 445.5489, 250.7878
-7.372357, 0.1916559, 0.4560776, 445.5489, 250.7878
-7.372357, 0.01915592, 0.4560776, 445.5489, 264.0298
-7.368715, 0.01915589, 0.2474137, 451.4741, 267.5689
-7.368715, 0.1916559, 0.2474137, 451.4741, 253.9638
-7.568684, 0.01915589, 0.2439232, 435.7923, 267.6298
-7.368715, 0.01915589, 0.2474137, 451.4741, 267.5689
-7.372357, 0.01915592, 0.4560776, 445.5489, 264.0298
-7.572326, 0.01915592, 0.4525871, 430.2833, 264.0874
-7.568684, 0.1916559, 0.2439232, 435.7923, 254.0184
-7.568684, 0.01915589, 0.2439232, 435.7923, 267.6298
-7.572326, 0.01915592, 0.4525871, 430.2833, 264.0874
-7.572326, 0.1916559, 0.4525871, 430.2833, 250.8396
-7.368715, 0.1916559, 0.2474137, 451.4741, 253.9638
-7.368715, 0.01915589, 0.2474137, 451.4741, 267.5689
-7.568684, 0.01915589, 0.2439232, 435.7923, 267.6298
-7.568684, 0.1916559, 0.2439232, 435.7923, 254.0184
box_1_Parle-G-GOLD(Clone) stack 117 Shelf_0 Rack_1_1_0
-7.372357, 0.3641559, 0.2439232, 451.2838, 240.407
-7.572326, 0.3641559, 0.2474137, 435.4152, 240.3586
-7.568684, 0.3641559, 0.4560776, 430.4778, 237.5459
-7.368715, 0.3641559, 0.4525871, 445.9204, 237.5917
-7.568684, 0.3641559, 0.4560776, 430.4778, 237.5459
-7.568684, 0.1916559, 0.4560776, 430.4778, 250.7878
-7.368715, 0.1916559, 0.4525871, 445.9204, 250.8396
-7.368715, 0.3641559, 0.4525871, 445.9204, 237.5917
-7.368715, 0.3641559, 0.4525871, 445.9204, 237.5917
-7.368715, 0.1916559, 0.4525871, 445.9204, 250.8396
-7.372357, 0.1916559, 0.2439232, 451.2838, 254.0184
-7.372357, 0.3641559, 0.2439232, 451.2838, 240.407
-7.572326, 0.1916559, 0.2474137, 435.4152, 253.9638
-7.372357, 0.1916559, 0.2439232, 451.2838, 254.0184
-7.368715, 0.1916559, 0.4525871, 445.9204, 250.8396
-7.568684, 0.1916559, 0.4560776, 430.4778, 250.7878
-7.572326, 0.3641559, 0.2474137, 435.4152, 240.3586
-7.572326, 0.1916559, 0.2474137, 435.4152, 253.9638
