box_3_Hareli(Clone) stack 80 Shelf_0 Rack_0_1_0
1.504563, 0.1692639, 0.4564434, 478.3102, 252.5012
1.504563, 0.1692639, 0.4564434, 478.3102, 252.5012
1.504563, 0.01926389, 0.4564435, 478.3102, 264.0154
1.504563, 0.01926389, 0.4564435, 478.3102, 264.0154
1.504563, 0.01926389, 0.4564435, 478.3102, 264.0154
1.504563, 0.1692639, 0.4564434, 478.3102, 252.5012
box_6_melody(Clone) stack 84 Shelf_1 Rack_0_1_0
1.493194, 1.391943, 0.456919, 477.423, 158.6454
1.493194, 1.391943, 0.456919, 477.423, 158.6454
1.493194, 1.204443, 0.456919, 477.423, 173.0373
1.493194, 1.204443, 0.456919, 477.423, 173.0373
1.493194, 1.204443, 0.456919, 477.423, 173.0373
1.493194, 1.391943, 0.456919, 477.423, 158.6454
box_6_melody(Clone) stack 84 Shelf_1 Rack_0_1_0
1.511322, 1.579443, 0.4734173, 478.3115, 144.2341
1.511322, 1.579443, 0.4734173, 478.3115, 144.2341
1.511322, 1.391943, 0.4734173, 478.3115, 158.5956
1.511322, 1.391943, 0.4734173, 478.3115, 158.5956
1.511322, 1.391943, 0.4734173, 478.3115, 158.5956
1.511322, 1.579443, 0.4734173, 478.3115, 144.2341
box_6_melody(Clone) stack 84 Shelf_1 Rack_0_1_0
1.515687, 1.766943, 0.4766837, 478.5464, 129.8746
1.515687, 1.766943, 0.4766837, 478.5464, 129.8746
1.515687, 1.579443, 0.4766838, 478.5464, 144.2302
1.515687, 1.579443, 0.4766838, 478.5464, 144.2302
1.515687, 1.579443, 0.4766838, 478.5464, 144.2302
1.515687, 1.766943, 0.4766837, 478.5464, 129.8746
box_6_melody(Clone) stack 84 Shelf_1 Rack_0_1_0
1.498946, 1.954443, 0.4627324, 477.6877, 115.4843
1.498946, 1.954443, 0.4627324, 477.6877, 115.4843
1.498946, 1.766943, 0.4627325, 477.6877, 129.8655
1.498946, 1.766943, 0.4627325, 477.6877, 129.8655
