box_8_lizol(Clone) stack 115 Shelf_0 Rack_1_1_0
-6.611214, 0.1961813, 0.2248697, 401.2779, 253.9594
-6.811183, 0.1961813, 0.2283601, 385.3924, 253.9046
-6.806876, 0.1961813, 0.4751311, 381.143, 250.1597
-6.606906, 0.1961813, 0.4716406, 396.5261, 250.211
-6.806876, 0.1961813, 0.4751311, 381.143, 250.1597
-6.806876, 0.01993132, 0.4751311, 381.143, 263.6566
-6.606906, 0.01993132, 0.4716406, 396.5261, 263.7139
-6.606906, 0.1961813, 0.4716406, 396.5261, 250.211
-6.606906, 0.1961813, 0.4716406, 396.5261, 250.211
-6.606906, 0.01993132, 0.4716406, 396.5261, 263.7139
-6.611214, 0.01993129, 0.2248697, 401.2779, 267.9016
-6.611214, 0.1961813, 0.2248697, 401.2779, 253.9594
-6.811183, 0.01993129, 0.2283601, 385.3924, 267.8405
-6.611214, 0.01993129, 0.2248697, 401.2779, 267.9016
-6.606906, 0.01993132, 0.4716406, 396.5261, 263.7139
-6.806876, 0.01993132, 0.4751311, 381.143, 263.6566
-6.811183, 0.1961813, 0.2283601, 385.3924, 253.9046
-6.811183, 0.01993129, 0.2283601, 385.3924, 267.8405
-6.806876, 0.01993132, 0.4751311, 381.143, 263.6566
-6.806876, 0.1961813, 0.4751311, 381.143, 250.1597
-6.611214, 0.1961813, 0.2248697, 401.2779, 253.9594
-6.611214, 0.01993129, 0.2248697, 401.2779, 267.9016
-6.811183, 0.01993129, 0.2283601, 385.3924, 267.8405
-6.811183, 0.1961813, 0.2283601, 385.3924, 253.9046
box_3_Hareli(Clone) stack 116 Shelf_0 Rack_1_1_0
-6.990609, 0.1692639, 0.2472439, 370.8798, 255.7325
-7.190121, 0.1692639, 0.2332926, 355.3553, 255.9543
-7.205468, 0.1692639, 0.4527568, 350.9364, 252.5567
-7.005955, 0.1692639, 0.4667081, 366.0334, 252.3471
-7.205468, 0.1692639, 0.4527568, 350.9364, 252.5567
-7.205468, 0.01926389, 0.4527568, 350.9364, 264.0763
-7.005955, 0.01926389, 0.4667081, 366.0334, 263.8462
-7.005955, 0.1692639, 0.4667081, 366.0334, 252.3471
-7.005955, 0.1692639, 0.4667081, 366.0334, 252.3471
-7.005955, 0.01926389, 0.4667081, 366.0334, 263.8462
-6.990609, 0.01926386, 0.247244, 370.8798, 267.5634
-6.990609, 0.1692639, 0.2472439, 370.8798, 255.7325
-7.190121, 0.01926386, 0.2332927, 355.3553, 267.8069
-6.990609, 0.01926386, 0.247244, 370.8798, 267.5634
-7.005955, 0.01926389, 0.4667081, 366.0334, 263.8462
-7.205468, 0.01926389, 0.4527568, 350.9364, 264.0763
-7.190121, 0.1692639, 0.2332926, 355.3553, 255.9543
-7.190121, 0.01926386, 0.2332927, 355.3553, 267.8069
