box_1_Parle-G-GOLD(Clone) stack 42 Shelf_0 Rack_1_0_0
-7.544582, 0.1916559, 8.256677, 472.8116, 253.8191
-7.522768, 0.1916559, 8.46423, 468.3087, 250.6672
-7.522768, 0.1916559, 8.46423, 468.3087, 250.6672
-7.522768, 0.0191559, 8.46423, 468.3087, 263.8953
-7.544582, 0.0191559, 8.256677, 472.8116, 267.4077
-7.522768, 0.0191559, 8.46423, 468.3087, 263.8953
-7.544582, 0.1916559, 8.256677, 472.8116, 253.8191
-7.544582, 0.0191559, 8.256677, 472.8116, 267.4077
-7.522768, 0.0191559, 8.46423, 468.3087, 263.8953
-7.522768, 0.1916559, 8.46423, 468.3087, 250.6672
-7.544582, 0.0191559, 8.256677, 472.8116, 267.4077
-7.544582, 0.1916559, 8.256677, 472.8116, 253.8191
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.726587, 0.1961813, 8.21682, 459.6235, 254.0858
-7.925492, 0.1961813, 8.237725, 443.3115, 253.7581
-7.899693, 0.1961813, 8.483181, 438.9224, 250.0415
-7.700789, 0.1961813, 8.462276, 454.7108, 250.349
-7.899693, 0.1961813, 8.483181, 438.9224, 250.0415
-7.899693, 0.0199313, 8.483181, 438.9224, 263.5245
-7.700789, 0.0199313, 8.462276, 454.7108, 263.868
-7.700789, 0.1961813, 8.462276, 454.7108, 250.349
-7.700789, 0.1961813, 8.462276, 454.7108, 250.349
-7.700789, 0.0199313, 8.462276, 454.7108, 263.868
-7.726587, 0.0199313, 8.21682, 459.6235, 268.0428
-7.726587, 0.1961813, 8.21682, 459.6235, 254.0858
-7.925492, 0.0199313, 8.237725, 443.3115, 267.6767
-7.726587, 0.0199313, 8.21682, 459.6235, 268.0428
-7.700789, 0.0199313, 8.462276, 454.7108, 263.868
-7.899693, 0.0199313, 8.483181, 438.9224, 263.5245
-7.925492, 0.1961813, 8.237725, 443.3115, 253.7581
-7.925492, 0.0199313, 8.237725, 443.3115, 267.6767
-7.899693, 0.0199313, 8.483181, 438.9224, 263.5245
-7.899693, 0.1961813, 8.483181, 438.9224, 250.0415
-7.726587, 0.1961813, 8.21682, 459.6235, 254.0858
-7.726587, 0.0199313, 8.21682, 459.6235, 268.0428
-7.925492, 0.0199313, 8.237725, 443.3115, 267.6767
-7.925492, 0.1961813, 8.237725, 443.3115, 253.7581
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.698847, 0.3724313, 8.239703, 461.1523, 239.8122
-7.897356, 0.3724313, 8.215329, 446.1411, 240.1494
-7.927434, 0.3724313, 8.460298, 437.3761, 236.8556
-7.728925, 0.3724313, 8.484672, 451.9458, 236.5391
-7.927434, 0.3724313, 8.460298, 437.3761, 236.8556
-7.927434, 0.1961813, 8.460298, 437.3761, 250.3781
-7.728925, 0.1961813, 8.484672, 451.9458, 250.0196
-7.728925, 0.3724313, 8.484672, 451.9458, 236.5391
-7.728925, 0.3724313, 8.484672, 451.9458, 236.5391
-7.728925, 0.1961813, 8.484672, 451.9458, 250.0196
-7.698847, 0.1961813, 8.239703, 461.1523, 253.7272
-7.698847, 0.3724313, 8.239703, 461.1523, 239.8122
-7.897356, 0.1961813, 8.215329, 446.1411, 254.1092
-7.698847, 0.1961813, 8.239703, 461.1523, 253.7272
-7.728925, 0.1961813, 8.484672, 451.9458, 250.0196
-7.927434, 0.1961813, 8.460298, 437.3761, 250.3781
-7.897356, 0.3724313, 8.215329, 446.1411, 240.1494
-7.897356, 0.1961813, 8.215329, 446.1411, 254.1092
-7.927434, 0.1961813, 8.460298, 437.3761, 250.3781
-7.927434, 0.3724313, 8.460298, 437.3761, 236.8556
-7.698847, 0.3724313, 8.239703, 461.1523, 239.8122
-7.698847, 0.1961813, 8.239703, 461.1523, 253.7272
-7.897356, 0.1961813, 8.215329, 446.1411, 254.1092
-7.897356, 0.3724313, 8.215329, 446.1411, 240.1494
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.726587, 0.5486813, 8.21682, 459.6235, 226.1717
-7.925492, 0.5486813, 8.237725, 443.3115, 225.9208
-7.899693, 0.5486813, 8.483181, 438.9224, 223.0754
-7.700789, 0.5486813, 8.462276, 454.7108, 223.3108
-7.899693, 0.5486813, 8.483181, 438.9224, 223.0754
-7.899693, 0.3724313, 8.483181, 438.9224, 236.5584
-7.700789, 0.3724313, 8.462276, 454.7108, 236.8299
-7.700789, 0.5486813, 8.462276, 454.7108, 223.3108
-7.700789, 0.5486813, 8.462276, 454.7108, 223.3108
-7.700789, 0.3724313, 8.462276, 454.7108, 236.8299
-7.726587, 0.3724313, 8.21682, 459.6235, 240.1287
-7.726587, 0.5486813, 8.21682, 459.6235, 226.1717
-7.925492, 0.3724313, 8.237725, 443.3115, 239.8394
-7.726587, 0.3724313, 8.21682, 459.6235, 240.1287
-7.700789, 0.3724313, 8.462276, 454.7108, 236.8299
-7.899693, 0.3724313, 8.483181, 438.9224, 236.5584
-7.925492, 0.5486813, 8.237725, 443.3115, 225.9208
-7.925492, 0.3724313, 8.237725, 443.3115, 239.8394
-7.899693, 0.3724313, 8.483181, 438.9224, 236.5584
-7.899693, 0.5486813, 8.483181, 438.9224, 223.0754
-7.726587, 0.5486813, 8.21682, 459.6235, 226.1717
-7.726587, 0.3724313, 8.21682, 459.6235, 240.1287
-7.925492, 0.3724313, 8.237725, 443.3115, 239.8394
-7.925492, 0.5486813, 8.237725, 443.3115, 225.9208
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.708895, 0.7249313, 8.230162, 460.636, 212.0789
-7.908773, 0.7249313, 8.223182, 445.0242, 212.1498
-7.917386, 0.7249314, 8.469839, 437.9055, 209.7195
-7.717508, 0.7249314, 8.476819, 453.0322, 209.6529
-7.917386, 0.7249314, 8.469839, 437.9055, 209.7195
-7.917386, 0.5486813, 8.469839, 437.9055, 223.2255
-7.717508, 0.5486813, 8.476819, 453.0322, 223.1469
-7.717508, 0.7249314, 8.476819, 453.0322, 209.6529
-7.717508, 0.7249314, 8.476819, 453.0322, 209.6529
-7.717508, 0.5486813, 8.476819, 453.0322, 223.1469
-7.708895, 0.5486813, 8.230162, 460.636, 226.0114
-7.708895, 0.7249313, 8.230162, 460.636, 212.0789
-7.908773, 0.5486813, 8.223182, 445.0242, 226.0952
-7.708895, 0.5486813, 8.230162, 460.636, 226.0114
-7.717508, 0.5486813, 8.476819, 453.0322, 223.1469
-7.917386, 0.5486813, 8.469839, 437.9055, 223.2255
-7.908773, 0.7249313, 8.223182, 445.0242, 212.1498
-7.908773, 0.5486813, 8.223182, 445.0242, 226.0952
-7.917386, 0.5486813, 8.469839, 437.9055, 223.2255
-7.917386, 0.7249314, 8.469839, 437.9055, 209.7195
-7.708895, 0.7249313, 8.230162, 460.636, 212.0789
-7.708895, 0.5486813, 8.230162, 460.636, 226.0114
-7.908773, 0.5486813, 8.223182, 445.0242, 226.0952
-7.908773, 0.7249313, 8.223182, 445.0242, 212.1498
box4_Fairever(Clone) stack 44 Shelf_1 Rack_1_0_0
-8.096589, 1.369311, 8.225131, 430.1149, 161.1582
-8.296103, 1.369311, 8.239082, 414.0129, 161.1102
-8.279614, 1.369311, 8.47487, 410.0388, 160.3244
-8.080101, 1.369311, 8.460918, 425.6482, 160.3696
-8.279614, 1.369311, 8.47487, 410.0388, 160.3244
-8.279614, 1.204311, 8.47487, 410.0388, 172.9602
-8.080101, 1.204311, 8.460918, 425.6482, 173.0279
-8.080101, 1.369311, 8.460918, 425.6482, 160.3696
-8.080101, 1.369311, 8.460918, 425.6482, 160.3696
-8.080101, 1.204311, 8.460918, 425.6482, 173.0279
-8.096589, 1.204311, 8.225131, 430.1149, 174.21
-8.096589, 1.369311, 8.225131, 430.1149, 161.1582
-8.296103, 1.204311, 8.239082, 414.0129, 174.1381
-8.096589, 1.204311, 8.225131, 430.1149, 174.21
-8.080101, 1.204311, 8.460918, 425.6482, 173.0279
