box_3_Hareli(Clone) stack 116 Shelf_0 Rack_1_1_0
-7.190121, 0.1692639, 0.2332926, 477.8318, 255.9543
-7.205468, 0.1692639, 0.4527568, 469.9725, 252.5567
-7.205468, 0.1692639, 0.4527568, 469.9725, 252.5567
-7.205468, 0.01926389, 0.4527568, 469.9725, 264.0763
-7.190121, 0.01926386, 0.2332927, 477.8318, 267.8069
-7.205468, 0.01926389, 0.4527568, 469.9725, 264.0763
-7.190121, 0.1692639, 0.2332926, 477.8318, 255.9543
-7.190121, 0.01926386, 0.2332927, 477.8318, 267.8069
-7.205468, 0.01926389, 0.4527568, 469.9725, 264.0763
-7.205468, 0.1692639, 0.4527568, 469.9725, 252.5567
-7.190121, 0.01926386, 0.2332927, 477.8318, 267.8069
-7.190121, 0.1692639, 0.2332926, 477.8318, 255.9543
box_1_Parle-G-GOLD(Clone) stack 117 Shelf_0 Rack_1_1_0
-7.368715, 0.1916559, 0.2474137, 463.3047, 253.9638
-7.568684, 0.1916559, 0.2439232, 447.6283, 254.0184
-7.572326, 0.1916559, 0.4525871, 441.8031, 250.8396
-7.372357, 0.1916559, 0.4560776, 457.0636, 250.7878
-7.572326, 0.1916559, 0.4525871, 441.8031, 250.8396
-7.572326, 0.01915592, 0.4525871, 441.8031, 264.0874
-7.372357, 0.01915592, 0.4560776, 457.0636, 264.0298
-7.372357, 0.1916559, 0.4560776, 457.0636, 250.7878
-7.372357, 0.1916559, 0.4560776, 457.0636, 250.7878
-7.372357, 0.01915592, 0.4560776, 457.0636, 264.0298
-7.368715, 0.01915589, 0.2474137, 463.3047, 267.5689
-7.368715, 0.1916559, 0.2474137, 463.3047, 253.9638
-7.568684, 0.01915589, 0.2439232, 447.6283, 267.6298
-7.368715, 0.01915589, 0.2474137, 463.3047, 267.5689
-7.372357, 0.01915592, 0.4560776, 457.0636, 264.0298
-7.572326, 0.01915592, 0.4525871, 441.8031, 264.0874
-7.568684, 0.1916559, 0.2439232, 447.6283, 254.0184
-7.568684, 0.01915589, 0.2439232, 447.6283, 267.6298
-7.572326, 0.01915592, 0.4525871, 441.8031, 264.0874
-7.572326, 0.1916559, 0.4525871, 441.8031, 250.8396
-7.368715, 0.1916559, 0.2474137, 463.3047, 253.9638
-7.368715, 0.01915589, 0.2474137, 463.3047, 267.5689
-7.568684, 0.01915589, 0.2439232, 447.6283, 267.6298
-7.568684, 0.1916559, 0.2439232, 447.6283, 254.0184
box_1_Parle-G-GOLD(Clone) stack 117 Shelf_0 Rack_1_1_0
-7.372357, 0.3641559, 0.2439232, 463.1198, 240.407
-7.572326, 0.3641559, 0.2474137, 447.2458, 240.3586
-7.568684, 0.3641559, 0.4560776, 441.9926, 237.5459
-7.368715, 0.3641559, 0.4525871, 457.4402, 237.5917
-7.568684, 0.3641559, 0.4560776, 441.9926, 237.5459
-7.568684, 0.1916559, 0.4560776, 441.9926, 250.7878
-7.368715, 0.1916559, 0.4525871, 457.4402, 250.8396
-7.368715, 0.3641559, 0.4525871, 457.4402, 237.5917
-7.368715, 0.3641559, 0.4525871, 457.4402, 237.5917
-7.368715, 0.1916559, 0.4525871, 457.4402, 250.8396
-7.372357, 0.1916559, 0.2439232, 463.1198, 254.0184
-7.372357, 0.3641559, 0.2439232, 463.1198, 240.407
-7.572326, 0.1916559, 0.2474137, 447.2458, 253.9638
-7.372357, 0.1916559, 0.2439232, 463.1198, 254.0184
-7.368715, 0.1916559, 0.4525871, 457.4402, 250.8396
-7.568684, 0.1916559, 0.4560776, 441.9926, 250.7878
-7.572326, 0.3641559, 0.2474137, 447.2458, 240.3586
-7.572326, 0.1916559, 0.2474137, 447.2458, 253.9638
-7.568684, 0.1916559, 0.4560776, 441.9926, 250.7878
-7.568684, 0.3641559, 0.4560776, 441.9926, 237.5459
-7.372357, 0.3641559, 0.2439232, 463.1198, 240.407
-7.372357, 0.1916559, 0.2439232, 463.1198, 254.0184
-7.572326, 0.1916559, 0.2474137, 447.2458, 253.9638
-7.572326, 0.3641559, 0.2474137, 447.2458, 240.3586
box4_Fairever(Clone) stack 118 Shelf_0 Rack_1_1_0
-7.730128, 0.1847178, 0.2429189, 434.915, 254.5816
-7.929032, 0.1847178, 0.2220132, 419.7122, 254.9113
-7.953739, 0.1847178, 0.4570819, 412.4117, 251.3055
-7.754835, 0.1847178, 0.4779876, 427.178, 250.9953
-7.953739, 0.1847178, 0.4570819, 412.4117, 251.3055
-7.953739, 0.01971789, 0.4570819, 412.4117, 263.97
-7.754835, 0.01971789, 0.4779876, 427.178, 263.626
-7.754835, 0.1847178, 0.4779876, 427.178, 250.9953
-7.754835, 0.1847178, 0.4779876, 427.178, 250.9953
-7.754835, 0.01971789, 0.4779876, 427.178, 263.626
-7.730128, 0.01971789, 0.2429189, 434.915, 267.6029
-7.730128, 0.1847178, 0.2429189, 434.915, 254.5816
-7.929032, 0.01971789, 0.2220132, 419.7122, 267.9686
-7.730128, 0.01971789, 0.2429189, 434.915, 267.6029
-7.754835, 0.01971789, 0.4779876, 427.178, 263.626
-7.953739, 0.01971789, 0.4570819, 412.4117, 263.97
-7.929032, 0.1847178, 0.2220132, 419.7122, 254.9113
-7.929032, 0.01971789, 0.2220132, 419.7122, 267.9686
-7.953739, 0.01971789, 0.4570819, 412.4117, 263.97
-7.953739, 0.1847178, 0.4570819, 412.4117, 251.3055
-7.730128, 0.1847178, 0.2429189, 434.915, 254.5816
-7.730128, 0.01971789, 0.2429189, 434.915, 267.6029
-7.929032, 0.01971789, 0.2220132, 419.7122, 267.9686
-7.929032, 0.1847178, 0.2220132, 419.7122, 254.9113
box4_Fairever(Clone) stack 118 Shelf_0 Rack_1_1_0
-7.744011, 0.3497178, 0.2300913, 434.1469, 241.7404
-7.943981, 0.3497178, 0.2335818, 418.2573, 241.6913
-7.939856, 0.3497179, 0.4699094, 413.1931, 238.4711
-7.739886, 0.3497179, 0.4664189, 428.6007, 238.5172
-7.939856, 0.3497179, 0.4699094, 413.1931, 238.4711
-7.939856, 0.1847179, 0.4699094, 413.1931, 251.1149
-7.739886, 0.1847179, 0.4664189, 428.6007, 251.1667
-7.739886, 0.3497179, 0.4664189, 428.6007, 238.5172
-7.739886, 0.3497179, 0.4664189, 428.6007, 238.5172
-7.739886, 0.1847179, 0.4664189, 428.6007, 251.1667
-7.744011, 0.1847178, 0.2300914, 434.1469, 254.7837
-7.744011, 0.3497178, 0.2300913, 434.1469, 241.7404
-7.943981, 0.1847178, 0.2335818, 418.2573, 254.7287
-7.744011, 0.1847178, 0.2300914, 434.1469, 254.7837
-7.739886, 0.1847179, 0.4664189, 428.6007, 251.1667
-7.939856, 0.1847179, 0.4699094, 413.1931, 251.1149
-7.943981, 0.3497178, 0.2335818, 418.2573, 241.6913
-7.943981, 0.1847178, 0.2335818, 418.2573, 254.7287
-7.939856, 0.1847179, 0.4699094, 413.1931, 251.1149
-7.939856, 0.3497179, 0.4699094, 413.1931, 238.4711
-7.744011, 0.3497178, 0.2300913, 434.1469, 241.7404
-7.744011, 0.1847178, 0.2300914, 434.1469, 254.7837
-7.943981, 0.1847178, 0.2335818, 418.2573, 254.7287
-7.943981, 0.3497178, 0.2335818, 418.2573, 241.6913
box4_Fairever(Clone) stack 118 Shelf_0 Rack_1_1_0
-7.728276, 0.5147178, 0.2448864, 435.0107, 228.5148
-7.926785, 0.5147178, 0.2205126, 419.9257, 228.8155
-7.955591, 0.5147178, 0.4551143, 412.313, 225.9992
-7.757082, 0.5147178, 0.4794882, 426.9702, 225.7163
-7.955591, 0.5147178, 0.4551143, 412.313, 225.9992
-7.955591, 0.3497178, 0.4551143, 412.313, 238.667
-7.757082, 0.3497178, 0.4794882, 426.9702, 238.3447
-7.757082, 0.5147178, 0.4794882, 426.9702, 225.7163
-7.757082, 0.5147178, 0.4794882, 426.9702, 225.7163
-7.757082, 0.3497178, 0.4794882, 426.9702, 238.3447
-7.728276, 0.3497178, 0.2448865, 435.0107, 241.5327
-7.728276, 0.5147178, 0.2448864, 435.0107, 228.5148
-7.926785, 0.3497178, 0.2205126, 419.9257, 241.8753
-7.728276, 0.3497178, 0.2448865, 435.0107, 241.5327
-7.757082, 0.3497178, 0.4794882, 426.9702, 238.3447
-7.955591, 0.3497178, 0.4551143, 412.313, 238.667
-7.926785, 0.5147178, 0.2205126, 419.9257, 228.8155
-7.926785, 0.3497178, 0.2205126, 419.9257, 241.8753
-7.955591, 0.3497178, 0.4551143, 412.313, 238.667
-7.955591, 0.5147178, 0.4551143, 412.313, 225.9992
-7.728276, 0.5147178, 0.2448864, 435.0107, 228.5148
-7.728276, 0.3497178, 0.2448865, 435.0107, 241.5327
-7.926785, 0.3497178, 0.2205126, 419.9257, 241.8753
-7.926785, 0.5147178, 0.2205126, 419.9257, 228.8155
box4_Fairever(Clone) stack 118 Shelf_0 Rack_1_1_0
-7.733933, 0.6797177, 0.2390821, 434.713, 215.5583
-7.933446, 0.6797177, 0.2251308, 419.2892, 215.7065
-7.949934, 0.6797178, 0.4609186, 412.619, 213.2733
-7.750421, 0.6797178, 0.4748699, 427.5905, 213.134
-7.949934, 0.6797178, 0.4609186, 412.619, 213.2733
-7.949934, 0.5147178, 0.4609186, 412.619, 225.9317
-7.750421, 0.5147178, 0.4748699, 427.5905, 225.7698
-7.750421, 0.6797178, 0.4748699, 427.5905, 213.134
-7.750421, 0.6797178, 0.4748699, 427.5905, 213.134
-7.750421, 0.5147178, 0.4748699, 427.5905, 225.7698
-7.733933, 0.5147178, 0.2390821, 434.713, 228.5862
-7.733933, 0.6797177, 0.2390821, 434.713, 215.5583
-7.933446, 0.5147178, 0.2251309, 419.2892, 228.7583
