box_1_Parle-G-GOLD(Clone) stack 42 Shelf_0 Rack_1_0_0
-7.345678, 0.1916559, 8.235771, 477.3153, 254.1461
-7.544582, 0.1916559, 8.256677, 460.9953, 253.8191
-7.522768, 0.1916559, 8.46423, 456.8058, 250.6672
-7.323863, 0.1916559, 8.443324, 472.6805, 250.9771
-7.522768, 0.1916559, 8.46423, 456.8058, 250.6672
-7.522768, 0.0191559, 8.46423, 456.8058, 263.8953
-7.323863, 0.0191559, 8.443324, 472.6805, 264.2406
-7.323863, 0.1916559, 8.443324, 472.6805, 250.9771
-7.323863, 0.1916559, 8.443324, 472.6805, 250.9771
-7.323863, 0.0191559, 8.443324, 472.6805, 264.2406
-7.345678, 0.0191559, 8.235771, 477.3153, 267.7721
-7.345678, 0.1916559, 8.235771, 477.3153, 254.1461
-7.544582, 0.0191559, 8.256677, 460.9953, 267.4077
-7.345678, 0.0191559, 8.235771, 477.3153, 267.7721
-7.323863, 0.0191559, 8.443324, 472.6805, 264.2406
-7.522768, 0.0191559, 8.46423, 456.8058, 263.8953
-7.544582, 0.1916559, 8.256677, 460.9953, 253.8191
-7.544582, 0.0191559, 8.256677, 460.9953, 267.4077
-7.522768, 0.0191559, 8.46423, 456.8058, 263.8953
-7.522768, 0.1916559, 8.46423, 456.8058, 250.6672
-7.345678, 0.1916559, 8.235771, 477.3153, 254.1461
-7.345678, 0.0191559, 8.235771, 477.3153, 267.7721
-7.544582, 0.0191559, 8.256677, 460.9953, 267.4077
-7.544582, 0.1916559, 8.256677, 460.9953, 253.8191
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.726587, 0.1961813, 8.21682, 447.7451, 254.0858
-7.925492, 0.1961813, 8.237725, 431.4658, 253.7581
-7.899693, 0.1961813, 8.483181, 427.4474, 250.0415
-7.700789, 0.1961813, 8.462276, 443.2051, 250.349
-7.899693, 0.1961813, 8.483181, 427.4474, 250.0415
-7.899693, 0.0199313, 8.483181, 427.4474, 263.5245
-7.700789, 0.0199313, 8.462276, 443.2051, 263.868
-7.700789, 0.1961813, 8.462276, 443.2051, 250.349
-7.700789, 0.1961813, 8.462276, 443.2051, 250.349
-7.700789, 0.0199313, 8.462276, 443.2051, 263.868
-7.726587, 0.0199313, 8.21682, 447.7451, 268.0428
-7.726587, 0.1961813, 8.21682, 447.7451, 254.0858
-7.925492, 0.0199313, 8.237725, 431.4658, 267.6767
-7.726587, 0.0199313, 8.21682, 447.7451, 268.0428
-7.700789, 0.0199313, 8.462276, 443.2051, 263.868
-7.899693, 0.0199313, 8.483181, 427.4474, 263.5245
-7.925492, 0.1961813, 8.237725, 431.4658, 253.7581
-7.925492, 0.0199313, 8.237725, 431.4658, 267.6767
-7.899693, 0.0199313, 8.483181, 427.4474, 263.5245
-7.899693, 0.1961813, 8.483181, 427.4474, 250.0415
-7.726587, 0.1961813, 8.21682, 447.7451, 254.0858
-7.726587, 0.0199313, 8.21682, 447.7451, 268.0428
-7.925492, 0.0199313, 8.237725, 431.4658, 267.6767
-7.925492, 0.1961813, 8.237725, 431.4658, 253.7581
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.698847, 0.3724313, 8.239703, 449.3097, 239.8122
-7.897356, 0.3724313, 8.215329, 434.2604, 240.1494
-7.927434, 0.3724313, 8.460298, 425.8675, 236.8556
-7.728925, 0.3724313, 8.484672, 440.473, 236.5391
-7.927434, 0.3724313, 8.460298, 425.8675, 236.8556
-7.927434, 0.1961813, 8.460298, 425.8675, 250.3781
-7.728925, 0.1961813, 8.484672, 440.473, 250.0196
-7.728925, 0.3724313, 8.484672, 440.473, 236.5391
-7.728925, 0.3724313, 8.484672, 440.473, 236.5391
-7.728925, 0.1961813, 8.484672, 440.473, 250.0196
