box_8_lizol(Clone) stack 115 Shelf_0 Rack_1_1_0
-6.806876, 0.1961813, 0.4751311, 473.0368, 250.1597
-6.806876, 0.1961813, 0.4751311, 473.0368, 250.1597
-6.806876, 0.01993132, 0.4751311, 473.0368, 263.6566
-6.806876, 0.01993132, 0.4751311, 473.0368, 263.6566
-6.806876, 0.01993132, 0.4751311, 473.0368, 263.6566
-6.806876, 0.1961813, 0.4751311, 473.0368, 250.1597
box_3_Hareli(Clone) stack 116 Shelf_0 Rack_1_1_0
-6.990609, 0.1692639, 0.2472439, 465.5264, 255.7325
-7.190121, 0.1692639, 0.2332926, 450.1758, 255.9543
-7.205468, 0.1692639, 0.4527568, 443.0933, 252.5567
-7.005955, 0.1692639, 0.4667081, 458.026, 252.3471
-7.205468, 0.1692639, 0.4527568, 443.0933, 252.5567
-7.205468, 0.01926389, 0.4527568, 443.0933, 264.0763
-7.005955, 0.01926389, 0.4667081, 458.026, 263.8462
-7.005955, 0.1692639, 0.4667081, 458.026, 252.3471
-7.005955, 0.1692639, 0.4667081, 458.026, 252.3471
-7.005955, 0.01926389, 0.4667081, 458.026, 263.8462
-6.990609, 0.01926386, 0.247244, 465.5264, 267.5634
-6.990609, 0.1692639, 0.2472439, 465.5264, 255.7325
-7.190121, 0.01926386, 0.2332927, 450.1758, 267.8069
-6.990609, 0.01926386, 0.247244, 465.5264, 267.5634
-7.005955, 0.01926389, 0.4667081, 458.026, 263.8462
-7.205468, 0.01926389, 0.4527568, 443.0933, 264.0763
-7.190121, 0.1692639, 0.2332926, 450.1758, 255.9543
-7.190121, 0.01926386, 0.2332927, 450.1758, 267.8069
-7.205468, 0.01926389, 0.4527568, 443.0933, 264.0763
-7.205468, 0.1692639, 0.4527568, 443.0933, 252.5567
-6.990609, 0.1692639, 0.2472439, 465.5264, 255.7325
-6.990609, 0.01926386, 0.247244, 465.5264, 267.5634
-7.190121, 0.01926386, 0.2332927, 450.1758, 267.8069
-7.190121, 0.1692639, 0.2332926, 450.1758, 255.9543
box_1_Parle-G-GOLD(Clone) stack 117 Shelf_0 Rack_1_1_0
-7.368715, 0.1916559, 0.2474137, 435.7, 253.9638
-7.568684, 0.1916559, 0.2439232, 420.0109, 254.0184
-7.572326, 0.1916559, 0.4525871, 414.9234, 250.8396
-7.372357, 0.1916559, 0.4560776, 430.1958, 250.7878
-7.572326, 0.1916559, 0.4525871, 414.9234, 250.8396
-7.572326, 0.01915592, 0.4525871, 414.9234, 264.0874
-7.372357, 0.01915592, 0.4560776, 430.1958, 264.0298
-7.372357, 0.1916559, 0.4560776, 430.1958, 250.7878
-7.372357, 0.1916559, 0.4560776, 430.1958, 250.7878
-7.372357, 0.01915592, 0.4560776, 430.1958, 264.0298
-7.368715, 0.01915589, 0.2474137, 435.7, 267.5689
-7.368715, 0.1916559, 0.2474137, 435.7, 253.9638
-7.568684, 0.01915589, 0.2439232, 420.0109, 267.6298
-7.368715, 0.01915589, 0.2474137, 435.7, 267.5689
-7.372357, 0.01915592, 0.4560776, 430.1958, 264.0298
-7.572326, 0.01915592, 0.4525871, 414.9234, 264.0874
-7.568684, 0.1916559, 0.2439232, 420.0109, 254.0184
-7.568684, 0.01915589, 0.2439232, 420.0109, 267.6298
