box_3_Hareli(Clone) stack 80 Shelf_0 Rack_0_1_0
1.512241, 0.1692639, 0.2365774, 466.0682, 255.902
1.504563, 0.1692639, 0.4564434, 459.1198, 252.5012
1.704441, 0.1692639, 0.4634233, 474.2535, 252.3964
1.504563, 0.1692639, 0.4564434, 459.1198, 252.5012
1.504563, 0.01926389, 0.4564435, 459.1198, 264.0154
1.704441, 0.01926389, 0.4634234, 474.2535, 263.9003
1.704441, 0.1692639, 0.4634233, 474.2535, 252.3964
1.704441, 0.1692639, 0.4634233, 474.2535, 252.3964
1.704441, 0.01926389, 0.4634234, 474.2535, 263.9003
1.512241, 0.01926386, 0.2365774, 466.0682, 267.7495
1.704441, 0.01926389, 0.4634234, 474.2535, 263.9003
1.504563, 0.01926389, 0.4564435, 459.1198, 264.0154
1.512241, 0.1692639, 0.2365774, 466.0682, 255.902
1.512241, 0.01926386, 0.2365774, 466.0682, 267.7495
1.504563, 0.01926389, 0.4564435, 459.1198, 264.0154
1.504563, 0.1692639, 0.4564434, 459.1198, 252.5012
1.512241, 0.01926386, 0.2365774, 466.0682, 267.7495
1.512241, 0.1692639, 0.2365774, 466.0682, 255.902
box_6_melody(Clone) stack 84 Shelf_1 Rack_0_1_0
1.522443, 1.391943, 0.2187079, 467.4089, 159.3886
1.493194, 1.391943, 0.456919, 458.2339, 158.6454
1.691703, 1.391943, 0.4812929, 472.7451, 158.5719
1.493194, 1.391943, 0.456919, 458.2339, 158.6454
1.493194, 1.204443, 0.456919, 458.2339, 173.0373
1.691703, 1.204443, 0.4812929, 472.7451, 172.919
1.691703, 1.391943, 0.4812929, 472.7451, 158.5719
1.691703, 1.391943, 0.4812929, 472.7451, 158.5719
1.691703, 1.204443, 0.4812929, 472.7451, 172.919
1.522443, 1.204443, 0.2187079, 467.4089, 174.2328
1.691703, 1.204443, 0.4812929, 472.7451, 172.919
1.493194, 1.204443, 0.456919, 458.2339, 173.0373
1.522443, 1.391943, 0.2187079, 467.4089, 159.3886
1.522443, 1.204443, 0.2187079, 467.4089, 174.2328
1.493194, 1.204443, 0.456919, 458.2339, 173.0373
1.493194, 1.391943, 0.456919, 458.2339, 158.6454
1.522443, 1.204443, 0.2187079, 467.4089, 174.2328
1.522443, 1.391943, 0.2187079, 467.4089, 159.3886
box_6_melody(Clone) stack 84 Shelf_1 Rack_0_1_0
1.502946, 1.579443, 0.2335633, 465.4235, 144.5257
1.511322, 1.579443, 0.4734173, 459.1628, 144.2341
1.7112, 1.579443, 0.4664374, 474.6815, 144.2423
1.511322, 1.579443, 0.4734173, 459.1628, 144.2341
