box_8_lizol(Clone) stack 0 Shelf_0 Rack_0_0_0
2.884809, 0.1961813, 8.231998, 404.7637, 253.8477
2.685083, 0.1961813, 8.221532, 389.1849, 254.0117
2.672166, 0.1961813, 8.468002, 383.4977, 250.2646
2.871892, 0.1961813, 8.478469, 398.5942, 250.1107
2.672166, 0.1961813, 8.468002, 383.4977, 250.2646
2.672166, 0.0199313, 8.468002, 383.4977, 263.7738
2.871892, 0.0199313, 8.478469, 398.5942, 263.6018
2.871892, 0.1961813, 8.478469, 398.5942, 250.1107
2.871892, 0.1961813, 8.478469, 398.5942, 250.1107
2.871892, 0.0199313, 8.478469, 398.5942, 263.6018
2.884809, 0.0199313, 8.231998, 404.7637, 267.7768
2.884809, 0.1961813, 8.231998, 404.7637, 253.8477
2.685083, 0.0199313, 8.221532, 389.1849, 267.9601
2.884809, 0.0199313, 8.231998, 404.7637, 267.7768
2.871892, 0.0199313, 8.478469, 398.5942, 263.6018
2.672166, 0.0199313, 8.468002, 383.4977, 263.7738
2.685083, 0.1961813, 8.221532, 389.1849, 254.0117
2.685083, 0.0199313, 8.221532, 389.1849, 267.9601
2.672166, 0.0199313, 8.468002, 383.4977, 263.7738
2.672166, 0.1961813, 8.468002, 383.4977, 250.2646
2.884809, 0.1961813, 8.231998, 404.7637, 253.8477
2.884809, 0.0199313, 8.231998, 404.7637, 267.7768
2.685083, 0.0199313, 8.221532, 389.1849, 267.9601
2.685083, 0.1961813, 8.221532, 389.1849, 254.0117
box_5_LMRR(Clone) stack 1 Shelf_0 Rack_0_0_0
2.491613, 0.162368, 8.202856, 374.2043, 256.9882
2.291887, 0.162368, 8.213324, 358.1955, 256.8196
2.306762, 0.162368, 8.497145, 355.0618, 252.4191
2.506487, 0.162368, 8.486677, 370.4874, 252.5758
2.306762, 0.162368, 8.497145, 355.0618, 252.4191
2.306762, 0.019868, 8.497145, 355.0618, 263.301
2.506487, 0.019868, 8.486677, 370.4874, 263.4721
2.506487, 0.162368, 8.486677, 370.4874, 252.5758
2.506487, 0.162368, 8.486677, 370.4874, 252.5758
2.506487, 0.019868, 8.486677, 370.4874, 263.4721
