box_3_Hareli(Clone) stack 80 Shelf_0 Rack_0_1_0
1.512241, 0.1692639, 0.2365774, 477.9156, 255.902
1.504563, 0.1692639, 0.4564434, 470.634, 252.5012
1.504563, 0.1692639, 0.4564434, 470.634, 252.5012
1.504563, 0.01926389, 0.4564435, 470.634, 264.0154
1.512241, 0.01926386, 0.2365774, 477.9156, 267.7495
1.504563, 0.01926389, 0.4564435, 470.634, 264.0154
1.512241, 0.1692639, 0.2365774, 477.9156, 255.902
1.512241, 0.01926386, 0.2365774, 477.9156, 267.7495
1.504563, 0.01926389, 0.4564435, 470.634, 264.0154
1.504563, 0.1692639, 0.4564434, 470.634, 252.5012
1.512241, 0.01926386, 0.2365774, 477.9156, 267.7495
1.512241, 0.1692639, 0.2365774, 477.9156, 255.902
box_6_melody(Clone) stack 84 Shelf_1 Rack_0_1_0
1.522443, 1.391943, 0.2187079, 479.2843, 159.3886
1.493194, 1.391943, 0.456919, 469.7473, 158.6454
1.493194, 1.391943, 0.456919, 469.7473, 158.6454
1.493194, 1.204443, 0.456919, 469.7473, 173.0373
1.522443, 1.204443, 0.2187079, 479.2843, 174.2328
1.493194, 1.204443, 0.456919, 469.7473, 173.0373
1.522443, 1.391943, 0.2187079, 479.2843, 159.3886
1.522443, 1.204443, 0.2187079, 479.2843, 174.2328
1.493194, 1.204443, 0.456919, 469.7473, 173.0373
1.493194, 1.391943, 0.456919, 469.7473, 158.6454
1.522443, 1.204443, 0.2187079, 479.2843, 174.2328
1.522443, 1.391943, 0.2187079, 479.2843, 159.3886
box_6_melody(Clone) stack 84 Shelf_1 Rack_0_1_0
1.502946, 1.579443, 0.2335633, 477.2756, 144.5257
1.511322, 1.579443, 0.4734173, 470.652, 144.2341
1.511322, 1.579443, 0.4734173, 470.652, 144.2341
1.511322, 1.391943, 0.4734173, 470.652, 158.5956
1.502946, 1.391943, 0.2335634, 477.2756, 159.3409
1.511322, 1.391943, 0.4734173, 470.652, 158.5956
1.502946, 1.579443, 0.2335633, 477.2756, 144.5257
1.502946, 1.391943, 0.2335634, 477.2756, 159.3409
1.511322, 1.391943, 0.4734173, 470.652, 158.5956
1.511322, 1.579443, 0.4734173, 470.652, 144.2341
1.502946, 1.391943, 0.2335634, 477.2756, 159.3409
1.502946, 1.579443, 0.2335633, 477.2756, 144.5257
box_6_melody(Clone) stack 84 Shelf_1 Rack_0_1_0
1.498946, 1.766943, 0.2372683, 476.844, 129.7131
1.515687, 1.766943, 0.4766837, 470.8901, 129.8746
1.515687, 1.766943, 0.4766837, 470.8901, 129.8746
1.515687, 1.579443, 0.4766838, 470.8901, 144.2302
1.498946, 1.579443, 0.2372683, 476.844, 144.5211
1.515687, 1.579443, 0.4766838, 470.8901, 144.2302
1.498946, 1.766943, 0.2372683, 476.844, 129.7131
1.498946, 1.579443, 0.2372683, 476.844, 144.5211
1.515687, 1.579443, 0.4766838, 470.8901, 144.2302
1.515687, 1.766943, 0.4766837, 470.8901, 129.8746
1.498946, 1.579443, 0.2372683, 476.844, 144.5211
1.498946, 1.766943, 0.2372683, 476.844, 129.7131
box_6_melody(Clone) stack 84 Shelf_1 Rack_0_1_0
1.515687, 1.954443, 0.223317, 478.6043, 114.8682
1.498946, 1.954443, 0.4627324, 470.0178, 115.4843
1.498946, 1.954443, 0.4627324, 470.0178, 115.4843
1.498946, 1.766943, 0.4627325, 470.0178, 129.8655
1.515687, 1.766943, 0.223317, 478.6043, 129.7034
1.498946, 1.766943, 0.4627325, 470.0178, 129.8655
1.515687, 1.954443, 0.223317, 478.6043, 114.8682
1.515687, 1.766943, 0.223317, 478.6043, 129.7034
1.498946, 1.766943, 0.4627325, 470.0178, 129.8655
1.498946, 1.954443, 0.4627324, 470.0178, 115.4843
1.515687, 1.766943, 0.223317, 478.6043, 129.7034
1.515687, 1.954443, 0.223317, 478.6043, 114.8682
box4_Fairever(Clone) stack 85 Shelf_1 Rack_0_1_0
1.308248, 1.369311, 0.226747, 462.0911, 161.1526
1.108523, 1.369311, 0.2372142, 446.0115, 161.1166
1.120893, 1.369311, 0.4732538, 440.7513, 160.3296
1.320619, 1.369311, 0.4627866, 456.3387, 160.3635
1.120893, 1.369311, 0.4732538, 440.7513, 160.3296
1.120893, 1.204311, 0.4732538, 440.7513, 172.968
1.320619, 1.204311, 0.4627866, 456.3387, 173.0188
1.320619, 1.369311, 0.4627866, 456.3387, 160.3635
1.320619, 1.369311, 0.4627866, 456.3387, 160.3635
1.320619, 1.204311, 0.4627866, 456.3387, 173.0188
1.308248, 1.204311, 0.226747, 462.0911, 174.2017
1.308248, 1.369311, 0.226747, 462.0911, 161.1526
1.108523, 1.204311, 0.2372142, 446.0115, 174.1477
1.308248, 1.204311, 0.226747, 462.0911, 174.2017
1.320619, 1.204311, 0.4627866, 456.3387, 173.0188
1.120893, 1.204311, 0.4732538, 440.7513, 172.968
1.108523, 1.369311, 0.2372142, 446.0115, 161.1166
1.108523, 1.204311, 0.2372142, 446.0115, 174.1477
1.120893, 1.204311, 0.4732538, 440.7513, 172.968
1.120893, 1.369311, 0.4732538, 440.7513, 160.3296
1.308248, 1.369311, 0.226747, 462.0911, 161.1526
1.308248, 1.204311, 0.226747, 462.0911, 174.2017
1.108523, 1.204311, 0.2372142, 446.0115, 174.1477
1.108523, 1.369311, 0.2372142, 446.0115, 161.1166
box4_Fairever(Clone) stack 85 Shelf_1 Rack_0_1_0
